Compound Id	R maximal autocorrelation of lag 2/weighted by mass
1	0.069
2	0.082
3	0.069
4	0.11
5	0.023
6	0.021
7	0.064
8	0.113
9	0.027
10	0.077
11	0.092
12	0.06
13	0.133
14	0.192
15	0.123
16	0.108
17	0.081
18	0.1
19	0.087
20	0.083
21	0.085
22	0.072
23	0.068
24	0.069
25	0.103
26	0.04
27	0.039
28	0.068
29	0.045
30	0.073
31	0.118
32	0.093
33	0.104
34	0.064
35	0.123
36	0.073
37	0.087
38	0.066
39	0.087
40	0.029
41	0.068
