Compound Id	Radial Distribution Function – 095/weighted by van der Waals volume
1	5.484
2	0
3	0
4	0.166
5	2.31
6	2.309
7	2.939
8	0.137
9	4.033
10	0.304
11	1.952
12	6.248
13	0
14	0
15	0
16	0
17	0
18	0
19	4.108
20	0.194
21	0.137
22	0.155
23	0.132
24	3.857
25	4.985
26	4.727
27	0.048
28	9.438
29	10.333
30	0.285
31	0.033
32	3.478
33	0.426
34	5.149
35	0
36	2.273
37	0
38	0.786
39	1.526
40	4.553
41	2.182
