Compound Id	number of multiple bonds
1	12
2	24
3	26
4	7
5	0
6	9
7	21
8	1
9	0
10	0
11	1
12	1
13	6
14	1
15	1
16	12
17	0
18	1
19	1
20	7
21	0
22	0
23	1
24	0
25	0
26	7
27	0
28	0
29	0
30	6
31	12
32	13
33	0
34	1
35	0
36	1
37	0
38	0
39	0
40	1
41	0
42	0
43	0
44	1
45	1
46	2
47	1
48	1
49	0
50	2
51	8
52	8
53	16
54	14
55	13
56	12
57	6
58	6
59	8
60	8
61	8
62	6
63	11
64	11
65	11
66	11
67	12
68	12
69	7
70	7
71	10
72	6
73	6
74	6
75	6
76	6
77	6
78	6
79	6
80	6
81	6
82	0
83	1
84	6
85	7
86	8
87	8
88	8
89	6
90	7
91	6
92	6
93	12
94	6
95	7
96	6
97	6
98	6
99	6
100	2
101	2
102	0
103	1
104	2
105	1
106	0
107	0
108	1
109	1
110	1
111	2
112	1
113	6
114	0
115	6
116	6
117	6
118	0
119	6
120	6
121	6
122	0
123	0
124	1
125	6
126	6
127	1
128	0
129	1
130	0
131	1
132	0
133	5
134	5
135	1
136	0
137	1
138	0
139	1
140	6
141	0
142	0
143	0
144	0
145	0
146	1
147	0
148	0
149	0
150	7
151	0
152	2
153	6
154	7
155	7
156	13
157	16
158	6
159	6
160	6
161	10
162	6
163	3
164	6
165	12
166	1
167	1
168	1
169	0
170	0
171	0
172	2
173	19
174	8
175	15
176	11
177	2
178	0
179	1
180	1
181	1
182	24
183	19
184	24
185	21
186	0
187	0
188	9
189	2
190	0
191	7
192	7
193	7
194	6
195	6
196	6
197	10
198	6
199	0
200	11
201	6
202	1
203	2
204	2
205	1
206	6
207	1
208	2
209	2
210	1
211	6
212	6
213	1
214	1
215	11
216	7
217	10
218	0
219	12
220	6
221	7
222	12
223	12
224	2
225	2
226	6
227	12
228	13
229	15
230	12
231	7
232	1
233	12
234	12
235	12
236	12
237	12
238	12
239	12
240	10
241	12
242	12
243	12
244	15
245	12
246	12
247	12
248	15
249	7
250	12
