Compound Id	maximal electrotopological positive variation
1	2.002
2	0.309
3	0.333
4	3.423
5	0.715
6	3.504
7	0.299
8	2.508
9	1.77
10	1.333
11	2.222
12	2.713
13	1.358
14	0.843
15	2.181
16	4.092
17	1.569
18	1.361
19	2
20	3.201
21	1
22	2.056
23	2.444
24	0.694
25	1.033
26	3.262
27	1.875
28	2.066
29	2.197
30	0
31	2.073
32	1.86
33	0.804
34	0.651
35	0.847
36	1.806
37	0.653
38	0.846
39	2.521
40	2.757
41	1.024
42	2.144
43	1.219
44	2.813
45	0.846
46	2.25
47	2.236
48	2.59
49	1.003
50	3.19
51	4.544
52	4.945
53	0.178
54	5.243
55	3.782
56	0.218
57	1.682
58	3.008
59	3.227
60	3.067
61	3.463
62	2.986
63	0.157
64	0.12
65	1.181
66	1.624
67	0.12
68	1.609
69	3.157
70	3.223
71	0.139
72	0.12
73	2.919
74	1.466
75	1.473
76	1.52
77	0.204
78	0.241
79	1.5
80	2.95
81	1.595
82	1.275
83	3.181
84	0.204
85	3.645
86	3.006
87	3.118
88	3.036
89	0.162
90	0.631
91	2.538
92	1.414
93	2.078
94	0.201
95	3.169
96	3.044
97	0.12
98	1.442
99	1.445
100	0.361
101	2.056
102	0.943
103	1.625
104	1.507
105	1.757
106	1.625
107	0.853
108	1.951
109	3.044
110	2.599
111	2.75
112	3.254
113	0.167
114	1.785
115	0.188
116	1.47
117	0.561
118	0.36
119	0.083
120	0.846
121	1.429
122	1.635
123	2.909
124	3.463
125	2.632
126	0.884
127	2.98
128	0.212
129	0.55
130	1.139
131	2.183
132	1.444
133	1.083
134	0.042
135	3.319
136	0.232
137	1.115
138	0
139	0.267
140	0.785
141	2.293
142	2.149
143	1.632
144	1.368
145	0.256
146	0.658
147	2.423
148	1.372
149	0.279
150	4.03
151	0.75
152	3.532
153	1.558
154	3.422
155	3.337
156	4.846
157	0.241
158	2.669
159	1.486
160	2.853
161	3.38
162	0.083
163	4.802
164	1.568
165	0.804
166	2.174
167	2.405
168	3.096
169	1.444
170	0.27
171	0.25
172	1.039
173	0.212
174	4.225
175	2.152
176	1.756
177	1.406
178	1.75
179	2.822
180	0.236
181	2.874
182	0.247
183	0.22
184	0.333
185	0.236
186	0
187	0
188	3.412
189	2.651
190	1.77
191	4.247
192	4.353
193	2.185
194	3.907
195	0.238
196	0.157
197	3.372
198	1.449
199	0.884
200	0.241
201	0.16
202	3.203
203	2.933
204	0.479
205	2.457
206	1.544
207	2.961
208	2.528
209	0.181
210	3.185
211	1.523
212	1.516
213	0.965
214	4.412
215	0.197
216	4.154
217	4.845
218	1.438
219	2.138
220	1.616
221	3.731
222	2.092
223	1.784
224	4.806
225	4.875
226	3.399
227	2.128
228	2.056
229	2.145
230	2.075
231	3.531
232	2.488
233	5.305
234	2.006
235	2.01
236	1.961
237	1.86
238	2.062
239	2.14
240	4.441
241	2.145
242	2.132
243	2.145
244	2.128
245	2.149
246	2.144
247	2.137
248	2.138
249	5.188
250	2.085
