Compound Id	Eye irritation in rabbits and in humans as log(MMAS/P) and log(1/EIT), respectively
1	-5.16
2	-3.34
3	-2.77
4	-5.24
5	-2.9
6	2.37
7	-3.73
8	-5.06
9	-1.89
10	-2.75
11	-2.15
12	-3.6
13	2.26
14	-3.92
15	-3.17
16	-0.91
17	-2.32
18	-5.15
19	-3.08
20	-3.23
21	-4.16
22	-5.02
23	-2.9
24	-3.48
25	4.38
26	-4.69
27	-3.55
28	-2
29	-1.41
30	-2.89
31	1.26
32	-1.83
33	-4.8
34	-3.73
35	-3.24
36	-3.11
37	-3.3
38	-2.7
39	-3.62
40	-3.11
41	-2.68
42	-2.26
43	-2.65
44	-2.2
45	-3.91
46	-2.49
47	-1.58
48	-2.12
49	-3.51
50	-0.78
51	-3.27
52	-3.85
53	-0.39
54	-0.94
55	-1.34
56	-0.65
57	-2.1
58	-2.75
59	-3.38
60	-0.57
61	-2.36
62	-2.13
63	-0.83
64	-1.13
65	-3.66
66	-1.32
67	-1.06
68	-1
69	-5.27
70	-4.05
71	-2.49
72	-2.35
73	-4.69
74	-2.87
75	-2.41
76	-2.02
77	-1.3
78	-4.76
79	-3.74
80	-3.37
81	-2.6
82	-1.71
83	-4.41
84	-3.87
85	-3.43
86	-3.39
87	-3.11
88	-3.3
89	-2.55
90	-2.15
91	-1.35
