Compound Id	Length
1	2.06
2	2.06
3	4.06
4	5.97
5	2.06
6	2.06
7	2.06
8	2.06
9	2.06
10	4.77
11	2.06
12	2.06
13	2.06
14	4.06
15	2.06
16	2.06
17	2.06
18	2.06
19	2.06
20	2.06
21	4.1
22	2.06
23	2.06
24	2.06
25	2.06
26	2.06
27	2.06
28	2.06
29	2.06
30	2.06
31	2.06
32	2.06
33	2.06
34	2.06
35	2.06
36	2.06
37	2.06
38	4.06
39	2.06
40	2.06
41	2.06
42	2.06
43	2.06
44	2.06
45	4.06
46	2.06
47	4.06
48	4.65
49	2.06
50	2.06
51	4.06
52	4.06
53	2.06
54	2.06
55	2.06
56	2.06
57	2.06
58	2.06
59	2.06
60	2.06
61	2.06
62	2.06
63	2.06
64	2.06
