Compound Id	Tot 2 center exchange energy
ANP	-155.5156
BATR	-224.7415
23BF	-214.1836
BP	-246.1904
BGP	-267.7083
CH	-224.7577
CO	-289.2245
DBA	-272.9415
FA	-197.8625
FL	-165.9727
NPTHC	-224.6051
TPHNL	-224.7451
C20Ih	-204.4791
C28Td	-289.8383
C32D3	-333.407
C36C1	-375.3943
C36C2v	-375.0785
C36Cs	-374.7615
C36D2	-374.1821
C36D6h	-375.7541
C40D2	-416.3969
C44D2	-455.001
C44C1	-461.8221
C44C2v	-462.0455
C44Cs	-462.0747
C44D3h	-462.6357
C50D3	-524.1939
C72D6h	-763.5082
C74D3h	-783.1212
C76Td	-805.15
C78C2v	-827.6823
C80C2v1	-849.0507
C80C2v	-849.9875
C80D2	-850.3123
C80D3	-848.4856
C80D5d	-848.4634
C80D5h	-848.4162
C80Ih	-846.8869
C82C2	-870.4156
C84Td	-891.78
ATR	-176.528
BPH	-155.1414
NPTH	-128.414
PRL	-246.1714
PHN	-176.5963
PY	-198.0421
C60Ih	-635.9079
C70D5h	-742.3305
