Compound Id	Mode of action
1	Narcosis
2	Narcosis
3	Narcosis
4	Narcosis
5	Electro(nucleo)philicity
6	Narcosis
7	Narcosis
8	Narcosis
9	Electro(nucleo)philicity
10	Narcosis
11	Narcosis
12	Narcosis
13	Electro(nucleo)philicity
14	Narcosis
15	Narcosis
16	Narcosis
17	Narcosis
18	Electro(nucleo)philicity
19	Narcosis
20	Narcosis
21	Narcosis
22	Narcosis
23	Narcosis
24	Narcosis
25	Narcosis
26	Narcosis
27	Narcosis
28	Electro(nucleo)philicity
29	Electro(nucleo)philicity
30	Electro(nucleo)philicity
31	Electro(nucleo)philicity
32	Electro(nucleo)philicity
33	Electro(nucleo)philicity
34	Electro(nucleo)philicity
35	Electro(nucleo)philicity
36	Electro(nucleo)philicity
37	Electro(nucleo)philicity
38	Electro(nucleo)philicity
39	Electro(nucleo)philicity
40	Electro(nucleo)philicity
41	Electro(nucleo)philicity
42	Electro(nucleo)philicity
43	Narcosis
44	Electro(nucleo)philicity
45	Electro(nucleo)philicity
46	Electro(nucleo)philicity
47	Electro(nucleo)philicity
48	Electro(nucleo)philicity
49	Electro(nucleo)philicity
50	Electro(nucleo)philicity
