Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	0.3369
2	0.9623
3	-1.2968
4	-1.9912
5	-0.3759
6	0.3252
7	2.0327
8	1.6701
9	-1.8390
10	-0.5593
11	-0.2956
12	-2.2365
13	0.4011
14	1.3724
15	-0.3533
16	-2.4911
17	1.5841
18	-1.4348
19	0.2240
20	-1.0573
21	1.2493
22	-0.8795
23	0.2962
24	-0.8905
25	-0.2851
26	-0.8005
27	1.8020
28	0.6998
29	0.0746
30	-2.1464
31	1.3860
32	1.1982
33	0.6159
34	2.1087
35	-0.7588
36	-1.1932
37	0.0032
38	1.1880
