Compound Id	Broto-Moreau autocorrelation of a topological structuree lag 1/ weighted by atomic masses
375-17-7	2.904
76-11-9	2.831
630-20-6	2.625
811-97-2	2.12
4259-43-2	2.984
2366-36-1	2.521
354-58-5	2.747
76-12-0	2.831
354-14-3	2.734
354-15-4	2.64
811-95-0	2.521
76-13-1	2.747
812-04-4	2.538
79-35-6	2.404
374-07-2	2.655
124-73-2	3.074
354-23-4	2.538
71-55-6	2.385
679-86-7	2.39
79-34-5	2.625
40723-63-5	2.233
359-28-4	2.521
471-43-2	2.404
75-34-3	2.067
75-38-7	1.642
141563-84-0	2.822
430-57-9	2.25
76-14-2	2.655
624-72-6	1.642
354-25-6	2.423
359-58-0	2.737
421-04-5	2.272
75-68-3	2.094
431-07-2	2.272
338-64-7	2.094
1615-75-4	1.877
306-83-2	2.538
2837-89-0	2.423
460-35-5	2.37
75-63-8	2.518
54597-66-9	1.386
56-23-5	2.55
75-45-6	1.962
110587-14-9	1.877
79-38-9	2.272
75-72-9	2.163
355-25-9	2.987
75-61-6	2.86
431-06-1	2.404
75-71-8	2.309
356-18-3	3.015
75-09-2	1.932
60-29-7	1.734
75-10-5	1.426
74-84-0	0.693
75-04-7	1.153
75-02-5	1.276
593-53-3	0.949
67-72-1	2.981
460-13-9	1.522
76-16-4	2.442
116-15-4	2.525
75-28-5	1.386
107-31-3	1.609
22410-44-2	2.532
74-89-5	0.773
115-25-3	2.871
76-19-7	2.751
76-01-7	2.819
3822-68-2	2.449
354-33-6	2.294
109-66-0	1.609
40811-14-1	1.099
115-07-1	1.099
75-73-0	1.992
79-01-6	2.385
67-66-3	2.288
2356-61-8	2.756
662-00-0	2.713
431-31-2	2.39
690-39-1	2.525
354-12-1	2.64
2252-84-8	2.644
359-35-3	2.12
354-21-2	2.64
25167-88-8	2.25
57041-67-5	2.65
1649-08-7	2.404
107-06-2	2.067
507-55-1	2.822
431-87-8	2.737
422-56-0	2.822
679-85-6	2.508
593-70-4	1.711
76-15-3	2.554
74-85-1	0.693
78-78-4	1.609
421-14-7	2.129
354-56-3	2.909
375-03-1	2.818
75-69-4	2.437
75-46-7	1.749
96-14-0	1.792
589-34-4	1.946
760-20-3	1.792
563-45-1	1.609
620-14-4	2.303
107-05-1	1.784
95-75-0	2.632
75-33-2	1.735
591-76-4	1.946
763-29-1	1.792
591-78-6	1.992
611-14-3	2.303
95-49-8	2.393
75-29-6	1.784
78-93-3	1.674
513-53-1	1.898
108-08-7	1.946
95-73-8	2.632
107-40-4	2.079
107-39-1	2.079
565-59-3	1.946
463-82-1	1.609
590-35-2	1.946
75-83-2	1.792
540-84-1	2.079
464-06-2	1.946
75-35-4	2.067
106-93-4	2.728
78-87-5	2.186
106-99-0	1.386
591-93-5	1.609
106-98-9	1.386
109-69-3	1.939
540-54-5	1.784
592-76-7	1.946
111-27-3	1.992
124-19-6	2.335
64-19-7	1.54
123-86-4	2.197
123-72-8	1.674
124-18-5	2.303
142-82-5	1.946
109-60-4	2.079
354-11-0	2.734
1842-05-3	2.404
75-82-1	2.916
431-89-0	2.644
431-63-0	2.525
460-73-1	2.39
420-46-2	1.909
79-00-5	2.385
662-01-1	2.912
75-88-7	2.272
146916-90-7	2.723
338-75-0	2.614
75-00-3	1.6
75-01-4	1.6
74-87-3	1.374
75-43-4	2.138
116-14-3	2.12
24270-67-5	2.047
661-97-2	2.912
422-48-0	2.822
353-59-3	2.622
589-53-7	2.079
96-22-0	1.846
43133-95-5	1.792
513-35-9	1.609
563-46-2	1.609
137-32-6	1.846
79-29-8	1.792
590-19-2	1.386
592-41-6	1.792
75-07-0	1.204
67-64-1	1.466
617-84-5	2.058
111-65-9	2.079
