Compound Id	Moran autocorrelation - lag 1/ weighted by atomic masses
375-17-7	-0.187
354-11-0	-0.303
630-20-6	-0.4
811-97-2	-0.4
2366-36-1	-0.284
354-58-5	-0.198
811-95-0	-0.284
76-13-1	-0.198
812-04-4	-0.186
1842-05-3	-0.213
79-35-6	-0.213
374-07-2	-0.168
75-82-1	-0.134
124-73-2	-0.079
354-23-4	-0.186
431-89-0	-0.259
431-63-0	-0.25
460-73-1	-0.238
420-46-2	-0.375
79-34-5	-0.4
40723-63-5	-0.222
359-28-4	-0.284
79-00-5	-0.375
471-43-2	-0.213
75-34-3	-0.333
141563-84-0	-0.11
430-57-9	-0.256
76-14-2	-0.168
662-01-1	-0.106
354-25-6	-0.171
359-58-0	-0.114
421-04-5	-0.179
75-68-3	-0.191
338-64-7	-0.191
1615-75-4	-0.21
460-43-5	-0.428
306-83-2	-0.186
146916-90-7	-0.116
338-75-0	-0.123
76-18-6	-0.115
2837-89-0	-0.171
460-35-5	-0.113
1691-17-4	-0.695
1511-62-2	-0.184
54597-66-9	1
56-23-5	-1
75-45-6	-0.393
377-41-3	0
74-87-3	-1
79-38-9	-0.179
75-72-9	-0.327
355-25-9	-0.192
75-61-6	-0.232
431-06-1	-0.213
75-71-8	-0.406
75-43-4	-0.573
356-18-3	0
75-09-2	-1
462-39-5	-0.167
74-84-0	1
75-04-7	-0.25
353-36-6	-0.25
593-53-3	-1
67-72-1	-0.429
460-13-9	-0.111
76-16-4	-0.429
116-15-4	-0.25
425-88-7	-0.435
22410-44-2	-0.441
74-89-5	-1
115-25-3	0
76-01-7	-0.417
3822-68-2	-0.697
354-33-6	-0.417
109-66-0	1
40811-14-1	1
115-07-1	1
116-14-3	-0.4
75-73-0	-1
67-66-3	-1
7125-83-9	-0.133
2356-62-9	-0.451
24270-67-5	-0.2
2356-61-8	-0.451
662-00-0	-0.175
431-31-2	-0.238
690-39-1	-0.25
2252-84-8	-0.259
359-35-3	-0.4
25167-88-8	-0.256
1649-08-7	-0.213
107-06-2	-0.333
507-55-1	-0.11
422-48-0	-0.11
422-56-0	-0.11
679-85-6	-0.114
353-59-3	-0.183
76-15-3	-0.166
69948-24-9	-0.441
74-85-1	1
78-78-4	1
421-14-7	-0.693
354-56-3	-0.317
375-03-1	-0.324
589-53-7	1
25550-14-5	1
96-22-0	-0.04
96-14-0	1
589-34-4	1
760-20-3	1
620-14-4	1
107-05-1	-0.111
95-75-0	0
75-33-2	-0.111
43133-95-5	1
591-76-4	1
513-35-9	1
763-29-1	1
563-46-2	1
137-32-6	-0.04
591-78-6	-0.028
95-49-8	0
78-93-3	-0.062
78-92-2	-0.062
513-53-1	-0.063
108-08-7	1
107-40-4	1
107-39-1	1
565-59-3	1
79-29-8	1
463-82-1	1
590-35-2	1
75-83-2	1
464-06-2	1
75-35-4	-0.333
590-19-2	1
106-93-4	-0.333
106-99-0	1
591-93-5	1
106-98-9	1
540-54-5	-0.111
592-76-7	1
111-27-3	-0.028
592-41-6	1
124-19-6	-0.012
75-07-0	-0.25
67-64-1	-0.111
617-84-5	-0.328
123-86-4	-0.238
109-73-9	-0.062
123-72-8	-0.062
124-18-5	1
142-82-5	1
76-11-9	-0.245
4259-43-2	-0.114
76-12-0	-0.245
354-14-3	-0.303
354-15-4	-0.232
677-68-9	-0.129
71-55-6	-0.375
420-97-3	-0.146
624-72-6	-0.333
431-07-2	-0.179
75-88-7	-0.179
420-99-5	-0.113
754-12-1	-0.222
75-63-8	-0.124
75-00-3	-0.25
75-01-4	-0.25
1885-48-9	-0.441
75-28-5	1
76-19-7	-0.267
79-01-6	-0.375
57041-67-5	-0.446
661-97-2	-0.106
431-87-8	-0.114
593-70-4	-0.533
355-42-0	-0.123
75-69-4	-0.596
75-46-7	-1
563-45-1	1
611-14-3	1
75-29-6	-0.111
95-73-8	0
540-84-1	1
78-87-5	-0.167
109-69-3	-0.062
111-65-9	1
109-60-4	-0.3
354-12-1	-0.232
354-21-2	-0.232
