Compound Id	First Zagreb index by valence vertex degrees
375-17-7	505
76-11-9	132.42
630-20-6	34.42
811-97-2	228
4259-43-2	294.815
2366-36-1	82.815
354-58-5	180.815
76-12-0	132.42
354-14-3	83.42
354-15-4	131.815
811-95-0	82.815
76-13-1	180.815
812-04-4	180.21
79-35-6	131.21
374-07-2	229.21
124-73-2	228.134
354-23-4	180.21
71-55-6	18.815
679-86-7	274
79-34-5	20.42
40723-63-5	222
359-28-4	68.815
471-43-2	117.21
75-34-3	11.21
75-38-7	118
141563-84-0	287.21
430-57-9	63.21
76-14-2	229.21
624-72-6	106
354-25-6	221.605
359-58-0	335.605
421-04-5	167.605
75-68-3	115.605
431-07-2	165.605
338-64-7	111.605
1615-75-4	59.605
306-83-2	173.21
2837-89-0	221.605
460-35-5	171.605
75-63-8	163.067
54597-66-9	10
56-23-5	18.42
75-45-6	107.605
110587-14-9	57.605
79-38-9	179.605
75-72-9	163.605
355-25-9	554
75-61-6	114.134
431-06-1	119.21
75-71-8	115.21
356-18-3	359.21
75-09-2	5.21
60-29-7	46
75-10-5	102
74-84-0	2
75-04-7	14
75-02-5	62
593-53-3	50
67-72-1	35.63
460-13-9	58
76-16-4	326
116-15-4	342
75-28-5	12
107-31-3	82
22410-44-2	314
74-89-5	10
115-25-3	456
76-19-7	440
76-01-7	28.025
3822-68-2	306
354-33-6	270
109-66-0	14
40811-14-1	6
115-07-1	14
75-73-0	212
79-01-6	26.815
67-66-3	10.815
2356-61-8	420
662-00-0	392
431-31-2	274
690-39-1	330
354-12-1	124.815
2252-84-8	384
359-35-3	214
354-21-2	124.815
25167-88-8	63.21
57041-67-5	364
1649-08-7	119.21
107-06-2	9.21
507-55-1	287.21
431-87-8	335.605
422-56-0	287.21
679-85-6	225.605
593-70-4	53.605
76-15-3	277.605
74-85-1	8
78-78-4	16
421-14-7	200
354-56-3	84.025
375-03-1	428
75-69-4	66.815
75-46-7	156
96-14-0	20
589-34-4	24
760-20-3	28
563-45-1	24
620-14-4	74
107-05-1	17.605
95-75-0	77.21
75-33-2	11.309
591-76-4	24
763-29-1	30
591-78-6	66
611-14-3	74
95-49-8	69.605
75-29-6	11.605
78-93-3	58
513-53-1	15.309
108-08-7	26
95-73-8	77.21
107-40-4	46
107-39-1	44
565-59-3	26
463-82-1	20
590-35-2	28
75-83-2	24
540-84-1	34
464-06-2	30
75-35-4	21.21
106-93-4	8.134
78-87-5	15.21
106-99-0	26
591-93-5	30
106-98-9	18
109-69-3	13.605
540-54-5	9.605
592-76-7	30
111-27-3	46
124-19-6	74
64-19-7	78
123-86-4	102
123-72-8	54
124-18-5	34
142-82-5	22
109-60-4	98
354-11-0	83.42
1842-05-3	131.21
75-82-1	130.134
431-89-0	384
431-63-0	328
460-73-1	274
420-46-2	164
79-00-5	14.815
662-01-1	343.21
75-88-7	167.605
146916-90-7	231.21
338-75-0	177.21
75-00-3	5.605
75-01-4	13.605
74-87-3	1.605
75-43-4	59.21
116-14-3	228
24270-67-5	164
661-97-2	343.21
422-48-0	287.21
353-59-3	114.672
589-53-7	28
96-22-0	62
43133-95-5	20
513-35-9	28
563-46-2	26
137-32-6	44
79-29-8	22
590-19-2	30
592-41-6	26
75-07-0	46
67-64-1	54
617-84-5	80
111-65-9	26
