Compound Id	Harary H index
375-17-7	21.094
76-11-9	11
630-20-6	7.083
811-97-2	7.083
4259-43-2	17.063
2366-36-1	7.083
354-58-5	11
76-12-0	11
354-14-3	8.917
354-15-4	8.917
811-95-0	7.083
76-13-1	11
812-04-4	8.917
79-35-6	6.944
374-07-2	11
124-73-2	11
354-23-4	8.917
71-55-6	5.5
679-86-7	10.625
79-34-5	6.944
40723-63-5	8.917
359-28-4	6.944
471-43-2	6.944
75-34-3	3.75
75-38-7	3.75
141563-84-0	14.646
430-57-9	5.222
76-14-2	11
624-72-6	3.611
354-25-6	8.917
359-58-0	14.646
421-04-5	7.083
75-68-3	5.5
431-07-2	6.944
338-64-7	5.222
1615-75-4	3.75
306-83-2	8.917
2837-89-0	8.917
460-35-5	8.632
75-63-8	5.5
54597-66-9	3.611
56-23-5	5.5
75-45-6	3.75
110587-14-9	3.611
79-38-9	6.944
75-72-9	5.5
355-25-9	23.485
75-61-6	5.5
431-06-1	7.083
75-71-8	5.5
356-18-3	20.667
75-09-2	2.25
60-29-7	5.035
75-10-5	2.25
74-84-0	1
75-04-7	2.25
75-02-5	2.25
593-53-3	1
67-72-1	11
460-13-9	3.611
76-16-4	11
116-15-4	12.486
75-28-5	3.75
107-31-3	3.611
22410-44-2	12.771
74-89-5	1
115-25-3	20.667
76-19-7	17.063
76-01-7	8.917
3822-68-2	10.431
354-33-6	8.917
109-66-0	5.035
40811-14-1	2.25
115-07-1	2.25
75-73-0	5.5
79-01-6	5.222
67-66-3	3.75
2356-61-8	16.261
662-00-0	17.063
431-31-2	10.576
690-39-1	12.479
354-12-1	8.917
2252-84-8	14.792
359-35-3	6.944
354-21-2	8.917
25167-88-8	5.222
57041-67-5	14.039
1649-08-7	7.083
107-06-2	3.611
507-55-1	14.792
431-87-8	14.646
422-56-0	14.792
679-85-6	10.625
593-70-4	2.25
76-15-3	11
74-85-1	1
78-78-4	5.222
421-14-7	7.083
354-56-3	11
375-03-1	18.953
75-69-4	5.5
75-46-7	3.75
96-14-0	6.757
589-34-4	8.283
760-20-3	6.757
563-45-1	5.222
620-14-4	13.143
107-05-1	3.611
95-75-0	13.401
75-33-2	3.75
591-76-4	8.212
763-29-1	6.708
591-78-6	8.212
611-14-3	13.214
95-49-8	11.514
75-29-6	3.75
78-93-3	5.222
513-53-1	5.222
108-08-7	8.444
95-73-8	13.401
107-40-4	10.431
107-39-1	10.431
565-59-3	8.542
463-82-1	5.5
590-35-2	8.632
75-83-2	7.083
540-84-1	10.431
464-06-2	8.917
75-35-4	3.75
106-93-4	3.611
78-87-5	5.222
106-99-0	3.611
591-93-5	5.035
106-98-9	3.611
109-69-3	5.035
540-54-5	3.611
592-76-7	7.99
111-27-3	7.99
124-19-6	12.569
64-19-7	3.75
123-86-4	9.731
123-72-8	5.035
124-18-5	12.569
142-82-5	7.99
109-60-4	8.212
354-11-0	8.917
1842-05-3	7.083
75-82-1	7.083
431-89-0	14.646
431-63-0	12.486
460-73-1	10.431
420-46-2	5.5
79-00-5	5.222
662-01-1	17.063
75-88-7	7.083
146916-90-7	12.486
338-75-0	10.576
75-00-3	2.25
75-01-4	2.25
74-87-3	1
75-43-4	3.75
116-14-3	6.944
24270-67-5	6.708
661-97-2	17.063
422-48-0	14.792
353-59-3	5.5
589-53-7	9.837
96-22-0	6.757
43133-95-5	6.708
513-35-9	5.222
563-46-2	5.222
137-32-6	6.757
79-29-8	6.944
590-19-2	3.611
592-41-6	6.498
75-07-0	2.25
67-64-1	3.75
617-84-5	8.354
111-65-9	9.502
