Compound Id	R maximal autocorrelation of lag 1/weighted by atomic Sanderson electronegativities
375-17-7	0.252
354-11-0	0.24
630-20-6	0.384
811-97-2	0.442
2366-36-1	0.442
354-58-5	0.182
811-95-0	0.384
76-13-1	0.182
812-04-4	0.24
1842-05-3	0.442
79-35-6	0.286
374-07-2	0.182
75-82-1	0.355
124-73-2	0.22
354-23-4	0.24
431-89-0	0.182
431-63-0	0.192
460-73-1	0.193
420-46-2	0.184
79-34-5	0.142
40723-63-5	0.192
359-28-4	0.184
79-00-5	0.138
471-43-2	0.165
75-34-3	0.15
141563-84-0	0.176
430-57-9	0.186
76-14-2	0.168
662-01-1	0.164
354-25-6	0.179
359-58-0	0.176
421-04-5	0.179
75-68-3	0.18
338-64-7	0.192
1615-75-4	0.19
460-43-5	0.216
306-83-2	0.181
146916-90-7	0.179
338-75-0	0.185
76-18-6	0.176
2837-89-0	0.182
460-35-5	0.187
1691-17-4	0.206
1511-62-2	0.073
54597-66-9	0.142
56-23-5	0
75-45-6	0.064
377-41-3	0.165
74-87-3	0.056
79-38-9	0.173
75-72-9	0.037
355-25-9	0.166
75-61-6	0.06
431-06-1	0.179
75-71-8	0.045
75-43-4	0.078
356-18-3	0.164
75-09-2	0.072
462-39-5	0.202
74-84-0	0.154
75-04-7	0.251
353-36-6	0.196
593-53-3	0.037
67-72-1	0.106
460-13-9	0.174
76-16-4	0.172
116-15-4	0.223
425-88-7	0.212
22410-44-2	0.209
74-89-5	0.294
115-25-3	0.165
76-01-7	0.121
3822-68-2	0.202
354-33-6	0.183
109-66-0	0.138
40811-14-1	0.157
115-07-1	0.197
116-14-3	0.173
75-73-0	0
67-66-3	0.07
7125-83-9	0.169
2356-62-9	0.204
24270-67-5	0.197
2356-61-8	0.202
662-00-0	0.172
431-31-2	0.193
690-39-1	0.182
2252-84-8	0.185
359-35-3	0.179
25167-88-8	0.191
1649-08-7	0.179
107-06-2	0.15
507-55-1	0.173
422-48-0	0.172
422-56-0	0.177
679-85-6	0.18
353-59-3	0.053
76-15-3	0.172
69948-24-9	0.198
74-85-1	0.152
78-78-4	0.143
421-14-7	0.209
354-56-3	0.151
375-03-1	0.172
589-53-7	0.122
25550-14-5	0.156
96-22-0	0.146
96-14-0	0.134
589-34-4	0.126
760-20-3	0.173
620-14-4	0.155
107-05-1	0.187
95-75-0	0.231
75-33-2	0.258
43133-95-5	0.137
591-76-4	0.133
513-35-9	0.169
763-29-1	0.165
563-46-2	0.169
137-32-6	0.255
591-78-6	0.131
95-49-8	0.235
78-93-3	0.156
78-92-2	0.36
513-53-1	0.251
108-08-7	0.129
107-40-4	0.131
107-39-1	0.12
565-59-3	0.13
79-29-8	0.119
463-82-1	0.131
590-35-2	0.123
75-83-2	0.128
464-06-2	0.122
75-35-4	0.136
590-19-2	0.224
106-93-4	0.15
106-99-0	0.158
591-93-5	0.161
106-98-9	0.182
540-54-5	0.151
592-76-7	0.151
111-27-3	0.199
592-41-6	0.16
124-19-6	0.133
75-07-0	0.238
67-64-1	0.174
617-84-5	0.214
123-86-4	0.151
109-73-9	0.203
123-72-8	0.218
124-18-5	0.089
142-82-5	0.116
76-11-9	0.182
4259-43-2	0.208
76-12-0	0.16
354-14-3	0.209
354-15-4	0.24
677-68-9	0.208
71-55-6	0.129
420-97-3	0.143
624-72-6	0.184
431-07-2	0.178
75-88-7	0.183
420-99-5	0.144
754-12-1	0.227
75-63-8	0.048
75-00-3	0.153
75-01-4	0.15
1885-48-9	0.205
75-28-5	0.151
76-19-7	0.176
79-01-6	0.128
57041-67-5	0.205
661-97-2	0.17
431-87-8	0.182
593-70-4	0.071
355-42-0	0.143
75-69-4	0.041
75-46-7	0.041
563-45-1	0.179
611-14-3	0.159
75-29-6	0.156
95-73-8	0.229
540-84-1	0.117
78-87-5	0.149
109-69-3	0.141
111-65-9	0.103
109-60-4	0.146
354-12-1	0.163
354-21-2	0.177
