Compound Id	Hydrophilic factor
375-17-7	-0.299
76-11-9	-0.237
630-20-6	-0.307
811-97-2	-0.307
4259-43-2	-0.263
2366-36-1	-0.307
354-58-5	-0.237
76-12-0	-0.237
354-14-3	-0.267
354-15-4	-0.267
811-95-0	-0.307
76-13-1	-0.237
812-04-4	-0.267
79-35-6	-0.307
374-07-2	-0.237
124-73-2	-0.237
354-23-4	-0.267
71-55-6	-0.359
679-86-7	-0.355
79-34-5	-0.307
40723-63-5	-0.401
359-28-4	-0.307
471-43-2	-0.307
75-34-3	-0.431
75-38-7	-0.431
141563-84-0	-0.288
430-57-9	-0.359
76-14-2	-0.237
624-72-6	-0.431
354-25-6	-0.267
359-58-0	-0.288
421-04-5	-0.307
75-68-3	-0.359
431-07-2	-0.307
338-64-7	-0.359
1615-75-4	-0.431
306-83-2	-0.267
2837-89-0	-0.267
460-35-5	-0.401
75-63-8	-0.18
54597-66-9	-0.861
56-23-5	-0.18
75-45-6	-0.215
110587-14-9	-0.431
79-38-9	-0.307
75-72-9	-0.18
355-25-9	-0.278
75-61-6	-0.18
431-06-1	-0.307
75-71-8	-0.18
356-18-3	-0.323
75-09-2	-0.264
60-29-7	-0.719
75-10-5	-0.264
74-84-0	-0.631
75-04-7	2.085
75-02-5	-0.528
593-53-3	-0.315
67-72-1	-0.237
460-13-9	-0.646
76-16-4	-0.237
116-15-4	-0.318
75-28-5	-0.861
107-31-3	-0.431
22410-44-2	-0.318
74-89-5	3.131
115-25-3	-0.323
76-19-7	-0.263
76-01-7	-0.267
3822-68-2	-0.237
354-33-6	-0.267
109-66-0	-0.898
40811-14-1	-0.792
115-07-1	-0.792
75-73-0	-0.18
79-01-6	-0.359
67-66-3	-0.215
2356-61-8	-0.263
662-00-0	-0.351
431-31-2	-0.355
690-39-1	-0.318
354-12-1	-0.267
2252-84-8	-0.288
359-35-3	-0.307
354-21-2	-0.267
25167-88-8	-0.359
57041-67-5	-0.288
1649-08-7	-0.307
107-06-2	-0.431
507-55-1	-0.288
431-87-8	-0.288
422-56-0	-0.288
679-85-6	-0.355
593-70-4	-0.264
76-15-3	-0.237
74-85-1	-0.631
78-78-4	-0.898
421-14-7	-0.307
354-56-3	-0.237
375-03-1	-0.323
75-69-4	-0.18
75-46-7	-0.215
96-14-0	-0.921
589-34-4	-0.936
760-20-3	-0.921
563-45-1	-0.898
620-14-4	-0.954
107-05-1	-0.646
95-75-0	-0.742
75-33-2	0.323
591-76-4	-0.936
763-29-1	-0.921
591-78-6	-0.802
611-14-3	-0.954
95-49-8	-0.828
75-29-6	-0.646
78-93-3	-0.719
513-53-1	0.132
108-08-7	-0.936
95-73-8	-0.742
107-40-4	-0.946
107-39-1	-0.946
565-59-3	-0.936
463-82-1	-0.898
590-35-2	-0.936
75-83-2	-0.921
540-84-1	-0.946
464-06-2	-0.936
75-35-4	-0.431
106-93-4	-0.431
78-87-5	-0.539
106-99-0	-0.861
591-93-5	-0.898
106-98-9	-0.861
109-69-3	-0.719
540-54-5	-0.646
592-76-7	-0.936
111-27-3	-0.088
124-19-6	-0.864
64-19-7	0.538
123-86-4	-0.71
123-72-8	-0.719
124-18-5	-0.96
142-82-5	-0.936
109-60-4	-0.668
354-11-0	-0.267
1842-05-3	-0.307
75-82-1	-0.307
431-89-0	-0.288
431-63-0	-0.318
460-73-1	-0.355
420-46-2	-0.359
79-00-5	-0.359
662-01-1	-0.263
75-88-7	-0.307
146916-90-7	-0.318
338-75-0	-0.355
75-00-3	-0.528
75-01-4	-0.528
74-87-3	-0.315
75-43-4	-0.215
116-14-3	-0.307
24270-67-5	-0.46
661-97-2	-0.263
422-48-0	-0.288
353-59-3	-0.18
589-53-7	-0.946
96-22-0	-0.767
43133-95-5	-0.921
513-35-9	-0.898
563-46-2	-0.898
137-32-6	0.004
79-29-8	-0.921
590-19-2	-0.861
592-41-6	-0.921
75-07-0	-0.528
67-64-1	-0.646
617-84-5	-0.668
111-65-9	-0.946
