Compound Id	Octanol/water partition coef?cient
375-17-7	3.55
76-11-9	3.39
630-20-6	2.73
811-97-2	1.39
4259-43-2	3.63
2366-36-1	2.13
354-58-5	3.17
76-12-0	3.38
354-14-3	2.94
354-15-4	2.62
811-95-0	2.45
76-13-1	3.03
812-04-4	2.4
79-35-6	2.29
374-07-2	2.71
124-73-2	2.43
354-23-4	2.39
71-55-6	2.45
679-86-7	2.24
79-34-5	2.57
40723-63-5	1.73
359-28-4	2.05
471-43-2	1.71
75-34-3	1.72
75-38-7	1.56
141563-84-0	2.92
430-57-9	1.57
76-14-2	2.57
624-72-6	0.2
354-25-6	2.27
359-58-0	2.7
421-04-5	1.63
75-68-3	1.68
431-07-2	1.25
338-64-7	0.82
1615-75-4	1.27
306-83-2	2.49
2837-89-0	2.32
460-35-5	1.87
75-63-8	1.55
54597-66-9	2.81
56-23-5	2.64
75-45-6	0.98
110587-14-9	0.8
79-38-9	1.84
75-72-9	1.8
355-25-9	3.63
75-61-6	1.97
431-06-1	2.08
75-71-8	2.06
356-18-3	3.42
75-09-2	1.12
60-29-7	1.12
75-10-5	0.29
74-84-0	1.44
75-04-7	-0.2
75-02-5	1.02
593-53-3	0.41
67-72-1	3.93
460-13-9	1.67
76-16-4	2.46
116-15-4	1.84
75-28-5	2.16
107-31-3	-0.31
22410-44-2	1.86
74-89-5	-1.06
115-25-3	2.98
76-19-7	2.96
76-01-7	3.21
3822-68-2	1.77
354-33-6	2.25
109-66-0	3.41
40811-14-1	2.19
115-07-1	1.68
75-73-0	1.75
79-01-6	2.45
67-66-3	1.67
2356-61-8	3.1
662-00-0	2.2
431-31-2	2.06
690-39-1	2.17
354-12-1	2.65
2252-84-8	2.97
359-35-3	1.25
354-21-2	2.69
25167-88-8	1.47
57041-67-5	2.19
1649-08-7	2.08
107-06-2	1.48
507-55-1	3.13
431-87-8	2.7
422-56-0	3.28
679-85-6	2.27
593-70-4	0.62
76-15-3	2.41
74-85-1	0.9
78-78-4	3.12
421-14-7	1.21
354-56-3	3.68
375-03-1	2.54
75-69-4	2.25
75-46-7	0.97
96-14-0	3.98
589-34-4	4.18
760-20-3	3.32
563-45-1	2.3
620-14-4	3.79
107-05-1	1.79
95-75-0	3.97
75-33-2	1.69
591-76-4	4.17
763-29-1	3.42
591-78-6	1.45
611-14-3	3.87
95-49-8	3.27
75-29-6	1.49
78-93-3	0.41
513-53-1	2.52
108-08-7	3.87
95-73-8	3.95
107-40-4	4.11
107-39-1	4.03
565-59-3	3.93
463-82-1	2.95
590-35-2	4.35
75-83-2	3.74
540-84-1	4.49
464-06-2	4.01
75-35-4	1.97
106-93-4	2.08
78-87-5	2.13
106-99-0	1.94
591-93-5	2.39
106-98-9	2.21
109-69-3	2.37
540-54-5	2.09
592-76-7	4
111-27-3	2.03
124-19-6	3.81
64-19-7	-0.12
123-86-4	1.84
123-72-8	1.1
124-18-5	5.87
142-82-5	4.33
109-60-4	1.28
354-11-0	2.94
1842-05-3	1.9
75-82-1	2.1
431-89-0	2.71
431-63-0	2.75
460-73-1	1.52
420-46-2	0.94
79-00-5	2.02
662-01-1	3.17
75-88-7	1.82
146916-90-7	3.01
338-75-0	2.52
75-00-3	1.47
75-01-4	1.43
74-87-3	0.67
75-43-4	1.28
116-14-3	1.35
24270-67-5	0.64
661-97-2	3.19
422-48-0	3.24
353-59-3	1.94
589-53-7	4.82
96-22-0	1.19
43133-95-5	3.6
513-35-9	2.7
563-46-2	2.82
137-32-6	1.24
79-29-8	2.84
590-19-2	2.3
592-41-6	3.38
75-07-0	-0.01
67-64-1	-0.29
617-84-5	0.26
111-65-9	4.73
