Compound Id	Maximum E-States for weak Hydrogen Bond acceptors
1	1.89
2	2.381
3	2.381
4	0.5
5	1.04
6	4.427
7	2.381
8	4.427
9	2.381
10	1.89
11	1
12	1.89
13	1
14	1.89
15	2.066
16	0
17	0
18	0.5
19	0.5
20	0.5
21	4.427
22	1.911
23	1.89
24	1.89
25	4.427
26	0.5
27	2.381
28	3.147
29	2.381
30	0.5
31	1
32	4.427
33	0.5
34	0.5
35	0.5
36	1.89
37	3.147
38	0.5
39	1.89
40	1.89
41	2.066
42	2.066
43	2.066
44	2.732
45	1.105
46	0.965
47	2.381
48	2.294
49	2.066
50	0.5
51	0.5
52	0.5
53	2.381
54	0.5
55	2.381
56	1
57	1.89
58	1.89
59	0
60	1
61	1
62	0.5
63	1.89
64	2.066
65	0.5
66	2.381
67	2.381
68	1.89
69	0.5
70	1.89
71	1.89
72	1.89
73	1.89
74	1.31
75	3.147
76	1
77	3.147
78	2.381
79	1
80	1
81	2.066
82	1.31
83	1
84	3.586
85	1
86	1
87	2.381
88	3.111
89	0.5
90	0
91	1
92	1
93	1.651
94	1
95	0.5
96	1.5
97	0.5
98	0.5
99	1
100	1
101	2.381
102	1
103	1.31
104	1.31
105	0.5
106	2.381
107	1.31
108	0.5
109	1
110	0.5
111	2.621
112	1.442
113	0.55
114	1
115	0.877
116	3.147
117	0.5
118	0.5
119	2.57
120	1
121	1.442
122	1.31
123	0.5
124	2.621
125	2.621
126	1.89
127	0.5
128	1.31
129	0.5
130	0.5
131	1.5
132	1
133	1.651
134	1.89
135	1
136	1
137	1
138	1
139	1
140	0.5
141	1.442
142	0.5
143	1.72
144	2.381
145	1.105
146	1.105
147	1.105
148	1.105
149	1.105
150	1.105
151	1.105
152	1.105
153	1.105
154	1.105
155	1.105
156	1.105
157	1.31
158	0.5
159	0.5
160	0.5
161	5.348
162	1.442
163	1.442
164	1.442
165	1.191
166	1.31
167	1.31
168	0.5
169	2.381
170	2.381
171	2.25
172	0.5
173	0.5
174	0.5
175	2.381
176	1
177	0.5
178	0.5
179	2.381
180	1.651
181	3.147
182	1.31
183	1.31
184	0.5
185	0.5
186	0.5
187	4.68
188	2.066
189	2.066
190	0
191	0.5
192	1
193	0.5
194	2.381
195	0.5
196	0.5
197	0.5
198	0.5
199	2.982
200	0.5
201	2.08
202	0.5
203	0.5
204	0.5
205	0.5
206	0.5
207	0.5
208	0.5
209	0.5
210	2.08
211	0.5
212	0.5
213	0.5
214	0.5
215	0.5
216	2.381
217	0.5
218	0.5
219	0.5
220	0.5
221	0.5
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	0.5
236	0.5
237	0.5
238	0.5
239	0
240	0.5
241	0.5
242	0.5
243	1.826
244	1.306
245	0.877
246	0.5
247	0.5
248	1
249	1
250	0.5
251	1
252	1
253	0.5
254	0.5
255	0.5
256	0.5
257	0.5
258	0.5
259	0.5
260	0.5
261	0.5
262	0.5
263	0.5
264	0.5
265	0.5
266	0.5
267	0.5
268	0.5
269	0.5
270	0.5
271	0.5
272	0.5
273	0.5
274	0.5
275	0.5
276	0.5
277	0.5
278	0.5
279	0.5
280	0.5
281	0.5
282	0.5
283	0.5
284	0.5
285	0.5
286	0.5
287	0.5
288	0.5
289	0.5
290	0.5
291	0.5
292	0.5
293	0.5
294	0.5
295	0.5
296	0.5
297	2.103
298	0.5
299	0.5
300	0.5
301	0.5
302	1.026
303	1.475
304	0.877
305	0.5
306	0.5
307	0.5
308	0.5
309	1.316
310	0.5
311	0.5
312	0.5
313	0.5
314	0.2
315	0.5
316	0.5
317	0.5
318	0.5
319	0.5
320	1
321	0
322	0.5
323	0.333
324	0.5
325	1.04
326	1
327	1
328	1
329	2.103
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	0.333
353	1.817
354	1.817
355	1.817
356	1.91
357	0.5
358	0.2
359	0.5
360	0
361	2.144
362	0.333
363	0.5
364	2.921
365	1.31
366	2.144
367	0.5
368	3.147
369	0.5
370	0
371	0.5
372	1.89
373	0
374	0.5
375	0.5
376	0.5
377	1.817
378	0.5
379	2.621
380	0.5
381	0.5
382	2.621
383	0.5
384	0.5
385	2.103
386	0.5
387	1.5
388	1.5
389	0
390	0.5
391	0.5
392	0.5
393	1.5
394	0.5
395	3.639
396	4.061
397	0.825
398	1.5
399	0.5
400	0
401	0.25
402	0
403	1.17
404	1.18
