Compound Id	Molecular distance edge between all secondary nitrogens
1	1.426
2	2.103
3	1.947
4	1.49
5	1.488
6	0.297
7	2.03
8	1.603
9	1.583
10	1.514
11	1.417
12	0
13	1.936
14	1.911
15	1.77
16	1.935
17	1.952
18	2.251
19	0.693
20	1.919
21	1.347
22	1.985
23	1.949
24	0.248
25	0.171
26	1.451
27	1.998
28	1.454
29	1.657
30	1.914
31	1.844
32	1.285
33	2.016
34	2
35	1.939
36	0
37	1.942
38	2.058
39	1.987
40	1.778
41	1.937
42	1.944
43	3.72
44	2.055
45	2.008
46	1.96
47	2.126
48	1.568
49	1.915
50	2.099
51	2.11
52	2.085
53	2.036
54	1.355
55	0.559
56	2.071
57	1.142
58	1.312
59	0
60	2.037
61	2.051
62	2.301
63	1.9
64	2.004
65	2.071
66	1.738
67	1.182
68	1.592
69	2.027
70	1.481
71	1.165
72	1.495
73	1.379
74	1.474
75	1.536
76	1.526
77	1.547
78	1.87
79	1.967
80	1.995
81	1.876
82	2.036
83	2.09
84	2.079
85	2.023
86	2.027
87	1.856
88	1.89
89	2.006
90	2.328
91	2.036
92	1.111
93	1.515
94	2.193
95	1.963
96	1.515
97	2.162
98	1.356
99	1.819
100	1.994
101	1.859
102	2.015
103	2.294
104	2.263
105	1.318
106	2.019
107	2.25
108	1.884
109	2.197
110	1.837
111	1.945
112	2.049
113	2.002
114	1.904
115	3.595
116	1.662
117	2.121
118	1.153
119	2.02
120	2.071
121	1.733
122	2.427
123	2.192
124	1.452
125	1.462
126	1.436
127	1.416
128	1.545
129	1.526
130	1.439
131	1.568
132	1.439
133	1.443
134	1.568
135	1.619
136	1.424
137	1.54
138	2.244
139	1.523
140	1.022
141	2.124
142	2.012
143	1.686
144	1.699
145	2.267
146	2.245
147	2.279
148	2.38
149	2.225
150	2.259
151	2.248
152	2.111
153	2.089
154	2.097
155	2.104
156	2.056
157	2.445
158	2.067
159	2.042
160	2.11
161	2.023
162	2.051
163	1.981
164	2.117
165	1.758
166	2.476
167	2.484
168	1.193
169	1.63
170	1.53
171	3.787
172	2.288
173	2.31
174	2.303
175	1.613
176	1.95
177	1.665
178	1.685
179	1.755
180	1.512
181	1.492
182	1.876
183	2.056
184	2.409
185	2.072
186	2.155
187	1.68
188	1.88
189	1.913
190	5.271
191	1.551
192	2.003
193	2.148
194	1.847
195	2.323
196	1.992
197	1.633
198	2.167
199	1.881
200	0.654
201	1.989
202	0.682
203	2.059
204	0.629
205	0.705
206	0.634
207	1.841
208	1.981
209	0.541
210	1.906
211	0.664
212	1.373
213	0.715
214	0.77
215	1.546
216	1.754
217	0
218	0
219	0
220	0.662
221	2.264
222	2.135
223	2.018
224	2.001
225	2.156
226	2.172
227	2.034
228	2.182
229	2.078
230	2.192
231	3.86
232	2.206
233	2.072
234	2.205
235	2.042
236	2.068
237	2.068
238	2.053
239	2.331
240	2.123
241	2.279
242	1.851
243	1.92
244	1.397
245	2.346
246	2.549
247	2.042
248	3.751
249	2.156
250	2.13
251	1.716
252	2.026
253	2.008
254	1.98
255	2.012
256	2.259
257	2.258
258	2.254
259	2.16
260	2.156
261	2.168
262	2.164
263	2.004
264	2.261
265	2.255
266	1.993
267	1.998
268	1.996
269	1.998
270	2.018
271	2.023
272	2.03
273	2.017
274	2.034
275	2.012
276	2.252
277	2.168
278	2.004
279	1.993
280	2
281	2.261
282	2.253
283	2.255
284	1.878
285	2.246
286	1.998
287	1.996
288	2.251
289	2.007
290	2.012
291	2.262
292	2.03
293	2.025
294	2.017
295	2.012
296	2.034
297	1.63
298	2.203
299	1.979
300	2.276
301	2.231
302	2.084
303	2.062
304	1.174
305	2.144
306	2.187
307	0.691
308	2.043
309	2.036
310	2.571
311	2.391
312	1.794
313	2.116
314	1.814
315	2.218
316	2.229
317	2.093
318	1.841
319	1.97
320	2.077
321	1.418
322	2.139
323	0.374
324	2.173
325	2.12
326	1.386
327	1.42
328	2.245
329	2.035
330	2.093
331	2.078
332	2.16
333	2.033
334	2.316
335	2.096
336	2.081
337	2.162
338	2.036
339	2.318
340	2.149
341	2.169
342	2.114
343	2.04
344	2.113
345	1.911
346	2.269
347	2.116
348	2.107
349	2.122
350	2.081
351	2.278
352	1.462
353	1.926
354	1.083
355	1.715
356	1.592
357	1.661
358	0.929
359	2.204
360	2.045
361	1.217
362	1.635
363	1.577
364	1.365
365	1.507
366	1.061
367	2.007
368	0.799
369	2.284
370	1.714
371	2.206
372	2.182
373	1.339
374	2.098
375	2.114
376	1.941
377	1.063
378	1.054
379	1.07
380	2.117
381	2.381
382	2.036
383	2.277
384	2.117
385	2.015
386	2.137
387	1.615
388	0.042
389	1.127
390	1.885
391	0.797
392	1.552
393	0.777
394	1.479
395	1.767
396	0.434
397	1.904
398	2.091
399	2.057
400	1.768
401	1.593
402	0.898
403	1.918
404	2.015
