Compound Id	a GSFragment
1	0
2	2
3	0
4	23
5	26
6	2
7	2
8	0
9	0
10	0
11	0
12	1
13	0
14	1
15	1
16	2
17	2
18	0
19	5
20	7
21	0
22	23
23	5
24	0
25	2
26	4
27	0
28	3
29	3
30	5
31	0
32	0
33	5
34	11
35	8
36	0
37	0
38	13
39	0
40	0
41	1
42	1
43	1
44	1
45	1
46	1
47	2
48	2
49	1
50	18
51	20
52	14
53	4
54	0
55	0
56	0
57	0
58	0
59	3
60	0
61	1
62	11
63	4
64	1
65	0
66	1
67	0
68	0
69	13
70	0
71	0
72	3
73	1
74	5
75	3
76	3
77	3
78	4
79	0
80	0
81	0
82	4
83	1
84	4
85	14
86	0
87	0
88	2
89	11
90	3
91	0
92	0
93	3
94	3
95	1
96	3
97	18
98	1
99	6
100	7
101	2
102	8
103	9
104	8
105	2
106	0
107	7
108	6
109	3
110	5
111	1
112	6
113	12
114	6
115	5
116	1
117	14
118	4
119	7
120	1
121	0
122	8
123	0
124	4
125	4
126	4
127	7
128	4
129	3
130	5
131	3
132	6
133	4
134	3
135	3
136	6
137	3
138	1
139	4
140	1
141	4
142	7
143	13
144	0
145	10
146	11
147	13
148	10
149	10
150	9
151	11
152	7
153	8
154	9
155	4
156	10
157	8
158	7
159	7
160	0
161	3
162	4
163	4
164	6
165	2
166	8
167	8
168	4
169	5
170	5
171	6
172	3
173	5
174	5
175	3
176	1
177	25
178	23
179	6
180	4
181	4
182	6
183	7
184	3
185	5
186	7
187	8
188	2
189	2
190	8
191	8
192	4
193	19
194	9
195	8
196	5
197	5
198	7
199	2
200	4
201	3
202	5
203	9
204	5
205	5
206	7
207	9
208	6
209	5
210	5
211	5
212	2
213	5
214	5
215	2
216	12
217	7
218	7
219	7
220	5
221	3
222	1
223	3
224	2
225	2
226	3
227	3
228	5
229	5
230	3
231	3
232	3
233	3
234	5
235	7
236	15
237	16
238	15
239	3
240	7
241	8
242	6
243	7
244	4
245	6
246	3
247	7
248	22
249	2
250	5
251	3
252	8
253	7
254	7
255	9
256	10
257	14
258	12
259	11
260	9
261	11
262	9
263	9
264	12
265	12
266	9
267	9
268	10
269	9
270	25
271	25
272	26
273	11
274	25
275	9
276	13
277	11
278	9
279	9
280	7
281	12
282	10
283	12
284	10
285	12
286	9
287	10
288	12
289	11
290	25
291	28
292	26
293	25
294	11
295	8
296	14
297	15
298	7
299	13
300	12
301	12
302	32
303	0
304	1
305	9
306	8
307	9
308	6
309	3
310	6
311	5
312	8
313	7
314	12
315	10
316	8
317	6
318	8
319	13
320	6
321	11
322	3
323	7
324	10
325	15
326	6
327	6
328	8
329	18
330	7
331	7
332	7
333	7
334	8
335	9
336	9
337	9
338	9
339	10
340	9
341	9
342	9
343	8
344	8
345	8
346	9
347	10
348	10
349	10
350	10
351	11
352	9
353	16
354	17
355	17
356	4
357	6
358	18
359	12
360	12
361	18
362	10
363	17
364	16
365	4
366	18
367	13
368	15
369	3
370	7
371	12
372	9
373	11
374	10
375	11
376	5
377	17
378	11
379	11
380	10
381	7
382	12
383	5
384	10
385	18
386	7
387	3
388	0
389	6
390	0
391	6
392	0
393	6
394	2
395	1
396	0
397	0
398	2
399	3
400	4
401	3
402	3
403	5
404	11
