Compound Id	Molar Refractivity
1	18.551
2	41.542
3	36.825
4	112.996
5	159.782
6	31.043
7	41.107
8	30.791
9	18.376
10	17.402
11	22.886
12	23.572
13	48.814
14	45.677
15	42.107
16	57.27
17	61.564
18	108.253
19	71.126
20	81.679
21	35.173
22	222.798
23	95.082
24	19.699
25	29.785
26	49.29
27	47.177
28	55.216
29	44.18
30	72.762
31	39.39
32	30.894
33	107.14
34	104.613
35	86.387
36	17.385
37	49.983
38	128.38
39	45.785
40	22.448
41	58.649
42	62.181
43	63.517
44	74.812
45	55.995
46	55.995
47	52.36
48	60.391
49	54.355
50	104.294
51	109.01
52	95.385
53	45.557
54	29.183
55	38.213
56	50.496
57	23.269
58	28.038
59	47.776
60	68.642
61	64.425
62	133.676
63	65.434
64	70.413
65	51.85
66	44.18
67	31.428
68	22.387
69	163.584
70	21.474
71	32.17
72	44.85
73	35.563
74	60.913
75	50.547
76	50.747
77	54.841
78	49.139
79	33.386
80	42.522
81	42.216
82	59.042
83	76.826
84	75.812
85	132.005
86	46.816
87	40.618
88	76.547
89	124.781
90	107.926
91	42.928
92	47.164
93	57.546
94	88.868
95	85.315
96	57.346
97	113.99
98	29.377
99	59.408
100	67.613
101	43.637
102	71.685
103	99.718
104	95.002
105	53.296
106	41.35
107	90.93
108	114.127
109	72.831
110	67.023
111	51.373
112	71.186
113	120.319
114	59.011
115	89.679
116	54.833
117	102.512
118	50.887
119	88.728
120	59.565
121	35.26
122	99.328
123	68.588
124	56.704
125	60.998
126	62.868
127	71.279
128	56.244
129	50.547
130	71.279
131	56.244
132	71.479
133	58.774
134	48.487
135	61.737
136	62.585
137	55.294
138	57.937
139	63.109
140	75.012
141	88.362
142	81.689
143	117.963
144	28.903
145	96.327
146	102.97
147	114.524
148	93.591
149	87.417
150	96.327
151	102.97
152	91.61
153	98.254
154	98.254
155	86.806
156	98.254
157	95.367
158	106.087
159	82.288
160	64.641
161	90.556
162	59.942
163	59.657
164	93.853
165	38.405
166	97.966
167	100.784
168	69.17
169	54.405
170	49.636
171	86.093
172	76.246
173	86.653
174	83.742
175	42.992
176	67.935
177	158.272
178	109.191
179	65.512
180	65.866
181	65.392
182	71.294
183	73.214
184	77.347
185	64.939
186	87.225
187	117.079
188	63.99
189	64.416
190	84.365
191	74.911
192	77.621
193	152.761
194	60.425
195	89.923
196	81.873
197	86.709
198	85.207
199	54.503
200	72.105
201	74.835
202	68.214
203	86.395
204	62.391
205	76.949
206	67.03
207	88.322
208	91.922
209	57.368
210	70.286
211	65.303
212	70.471
213	88.596
214	65.359
215	61.287
216	73.761
217	68.225
218	77.581
219	71.757
220	70.76
221	82.324
222	108.955
223	72.217
224	72.217
225	113.237
226	113.237
227	85.757
228	93.291
229	90.039
230	93.124
231	102.287
232	100.95
233	100.751
234	105.373
235	82.288
236	133.67
237	138.088
238	111.286
239	139.897
240	86.59
241	91.306
242	88.194
243	89.755
244	79.087
245	114.836
246	81.973
247	82.288
248	66.441
249	113.237
250	81.675
251	47.745
252	109.023
253	80.318
254	79.375
255	84.902
256	89.75
257	96.007
258	105.378
259	86.707
260	82.122
261	89.618
262	85.034
263	81.991
264	94.335
265	91.423
266	88.12
267	92.414
268	112.707
269	92.414
270	95.879
271	99.205
272	101.439
273	95.498
274	106.965
275	84.902
276	107.051
277	89.618
278	81.991
279	88.12
280	77.406
281	94.335
282	86.839
283	91.423
284	90.693
285	97.552
286	92.414
287	112.707
288	101.846
289	86.575
290	91.031
291	100.463
292	101.439
293	100.728
294	95.498
295	84.902
296	99.427
297	77.693
298	97.64
299	93.9
300	91.634
301	82.571
302	211.386
303	97.073
304	47.672
305	93.75
306	89.878
307	81.299
308	81.239
309	121.429
310	104.852
311	86.365
312	107.8
313	112.06
314	83.15
315	91.933
316	94.965
317	111.422
318	95.245
319	130.294
320	92.881
321	91.262
322	76.218
323	63.455
324	93.888
325	99.95
326	69.718
327	74.012
328	98.469
329	98.485
330	119.945
331	122.307
332	120.379
333	115.791
334	125.095
335	124.227
336	126.589
337	124.661
338	120.073
339	129.377
340	128.943
341	129.377
342	124.789
343	120.507
344	120.941
345	116.353
346	125.657
347	129.505
348	131.867
349	129.939
350	125.351
351	134.656
352	93.848
353	92.882
354	79.345
355	98.934
356	93.735
357	78.26
358	93.356
359	91.093
360	110.387
361	102.024
362	87.799
363	101.832
364	92.185
365	72.497
366	97.255
367	93.343
368	79.761
369	71.362
370	85.053
371	95.149
372	76.236
373	82.199
374	93.565
375	94.985
376	100.081
377	74.576
378	63.598
379	63.598
380	103.477
381	105.016
382	72.339
383	88.031
384	103.477
385	93.447
386	84.515
387	68.042
388	25.499
389	52.501
390	35.831
391	64.748
392	37.345
393	78.13
394	79.899
395	84.053
396	53.933
397	71.724
398	73.215
399	116.773
400	46.903
401	49.583
402	38.6
403	121.58
404	116.914
