Compound Id	a GSFragments descriptor
1	0
2	20
3	15
4	313
5	482
6	58
7	20
8	23
9	0
10	0
11	0
12	11
13	45
14	43
15	50
16	61
17	106
18	183
19	187
20	221
21	34
22	1648
23	136
24	1
25	58
26	78
27	22
28	124
29	30
30	131
31	19
32	34
33	274
34	222
35	170
36	1
37	78
38	339
39	26
40	3
41	65
42	74
43	74
44	136
45	52
46	53
47	35
48	64
49	56
50	222
51	235
52	196
53	25
54	13
55	20
56	37
57	6
58	11
59	127
60	88
61	118
62	326
63	96
64	100
65	37
66	29
67	15
68	0
69	430
70	0
71	1
72	59
73	23
74	151
75	64
76	61
77	94
78	34
79	15
80	19
81	32
82	170
83	142
84	150
85	329
86	39
87	19
88	178
89	315
90	522
91	19
92	13
93	97
94	197
95	142
96	120
97	248
98	9
99	117
100	90
101	25
102	141
103	312
104	294
105	80
106	19
107	203
108	223
109	105
110	131
111	54
112	163
113	487
114	117
115	260
116	80
117	222
118	104
119	246
120	45
121	25
122	312
123	183
124	99
125	147
126	195
127	300
128	85
129	80
130	304
131	86
132	271
133	128
134	59
135	66
136	76
137	66
138	72
139	71
140	160
141	225
142	108
143	478
144	10
145	280
146	316
147	370
148	262
149	262
150	280
151	316
152	262
153	298
154	298
155	251
156	298
157	294
158	156
159	108
160	79
161	222
162	166
163	202
164	219
165	65
166	294
167	294
168	173
169	45
170	40
171	211
172	83
173	101
174	95
175	30
176	118
177	456
178	287
179	59
180	138
181	144
182	194
183	194
184	73
185	140
186	184
187	403
188	83
189	83
190	302
191	92
192	148
193	378
194	54
195	116
196	100
197	101
198	108
199	105
200	209
201	212
202	168
203	240
204	130
205	225
206	145
207	259
208	263
209	115
210	189
211	149
212	282
213	301
214	115
215	80
216	75
217	183
218	240
219	202
220	168
221	83
222	234
223	130
224	129
225	245
226	246
227	197
228	213
229	209
230	208
231	240
232	240
233	256
234	256
235	108
236	352
237	352
238	261
239	697
240	108
241	116
242	101
243	312
244	202
245	195
246	83
247	108
248	219
249	245
250	89
251	79
252	187
253	101
254	89
255	107
256	113
257	119
258	137
259	107
260	101
261	113
262	107
263	101
264	119
265	113
266	113
267	119
268	149
269	119
270	119
271	125
272	131
273	119
274	137
275	107
276	137
277	113
278	101
279	113
280	95
281	119
282	107
283	113
284	119
285	125
286	119
287	149
288	131
289	107
290	113
291	125
292	131
293	125
294	119
295	107
296	131
297	347
298	224
299	248
300	212
301	180
302	1170
303	347
304	79
305	113
306	89
307	189
308	103
309	471
310	113
311	89
312	380
313	137
314	465
315	101
316	107
317	287
318	272
319	326
320	630
321	444
322	114
323	182
324	101
325	458
326	90
327	153
328	217
329	489
330	336
331	352
332	336
333	336
334	352
335	352
336	368
337	352
338	352
339	368
340	368
341	368
342	368
343	352
344	352
345	352
346	368
347	384
348	400
349	384
350	384
351	400
352	424
353	465
354	397
355	543
356	168
357	83
358	409
359	138
360	642
361	603
362	380
363	538
364	628
365	204
366	583
367	107
368	276
369	67
370	92
371	144
372	78
373	396
374	107
375	107
376	115
377	377
378	177
379	166
380	125
381	119
382	158
383	107
384	125
385	466
386	108
387	100
388	24
389	16
390	16
391	66
392	28
393	132
394	32
395	357
396	148
397	107
398	132
399	100
400	14
401	27
402	6
403	221
404	378
