Compound Id	Average superdelocalizability
1	0.2146
2	0.2204
3	0.2183
4	0.2186
5	0.2184
6	0.2179
7	0.2189
8	0.2175
9	0.2179
10	0.2117
11	0.2241
12	0.2212
13	0.2271
14	0.2231
15	0.2232
16	0.2231
17	0.2230
18	0.2242
19	0.2227
20	0.2226
21	0.2324
22	0.2375
23	0.2309
24	0.2308
25	0.2344
26	0.2525
27	0.2524
28	0.2525
29	0.2537
30	0.2511
31	0.2519
32	0.2509
33	0.2605
34	0.2610
35	0.2615
