Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	-0.82
2	-0.79
3	-0.74
4	-0.72
5	-0.70
6	-0.52
7	-0.50
8	-0.50
9	-0.47
10	-0.44
11	-0.43
12	-0.38
13	-0.37
14	-0.34
15	-0.32
16	-0.26
17	-0.25
18	-0.24
19	-0.22
20	-0.19
21	-0.17
22	-0.16
23	-0.10
24	-0.06
25	-0.06
26	-0.06
27	-0.02
28	-0.01
29	-0.01
30	0.00
31	0.03
32	0.04
33	0.04
34	0.05
35	0.05
36	0.05
37	0.08
38	0.10
39	0.12
40	0.13
41	0.14
42	0.14
43	0.17
44	0.17
45	0.18
46	0.20
47	0.20
48	0.22
49	0.23
50	0.24
51	0.25
52	0.25
53	0.27
54	0.28
55	0.29
56	0.29
57	0.30
58	0.32
59	0.33
60	0.33
61	0.37
62	0.37
63	0.37
64	0.37
65	0.38
66	0.38
67	0.39
68	0.39
69	0.40
70	0.41
71	0.42
72	0.43
73	0.43
74	0.44
75	0.45
76	0.45
77	0.45
78	0.46
79	0.46
80	0.47
81	0.49
82	0.51
83	0.51
84	0.52
85	0.52
86	0.53
87	0.53
88	0.54
89	0.56
90	0.57
91	0.57
92	0.59
93	0.60
94	0.61
95	0.66
96	0.66
97	0.66
98	0.67
99	0.67
100	0.68
101	0.68
102	0.68
103	0.68
104	0.69
105	0.71
106	0.74
107	0.75
108	0.75
109	0.75
110	0.76
111	0.80
112	0.80
113	0.82
114	0.82
115	0.83
116	0.84
117	0.84
118	0.86
119	0.86
120	0.87
121	0.87
122	0.87
123	0.89
124	0.92
125	0.93
126	0.94
127	0.95
128	0.98
129	0.99
130	1.00
131	1.04
132	1.07
133	1.07
134	1.08
135	1.09
136	1.09
137	1.10
138	1.12
139	1.12
140	1.13
141	1.13
142	1.16
143	1.16
144	1.18
145	1.18
146	1.22
147	1.22
148	1.22
149	1.23
150	1.24
151	1.24
152	1.25
153	1.26
154	1.27
155	1.30
156	1.30
157	1.36
158	1.36
159	1.36
160	1.37
161	1.39
162	1.42
163	1.43
164	1.43
165	1.47
166	1.51
167	1.52
168	1.53
169	1.57
170	1.59
171	1.60
172	1.62
173	1.63
174	1.65
175	1.66
176	1.67
177	1.69
178	1.71
179	1.71
180	1.73
181	1.75
182	1.78
183	1.80
184	1.81
185	1.87
186	1.88
187	1.89
188	1.89
189	1.89
190	1.98
191	2.03
192	2.08
193	2.12
194	2.12
195	2.19
196	2.21
197	2.31
198	2.42
199	2.43
200	2.60
201	2.64
202	2.66
203	2.74
