Compound Id	BCUT [BCUTc-1l]
6191	-0.180934560007560
6153	-0.157070169395391
16425	-0.095060841158137
6190	-0.190694408336470
11919	-0.166664271876185
67991	-0.339909794719149
291	-0.077922923146016
6084	-0.177757819850023
6094	-0.171994663421725
7555	-0.170621072609785
6120	-0.166165951905911
7712	-0.170508481000964
6308	-0.169263061234027
9646	-0.160865699071729
10781	-0.158168267600791
15802	-0.170501806850846
17976	-0.159445037749449
7767	-0.170505165176607
7604	-0.170395413617525
7010	-0.169151345619797
6163	-0.168103184644902
6340	-0.163517376075595
8560	-0.170505143266967
11094	-0.170501821810772
11023	-0.170392083283319
11055	-0.170456950743892
10786	-0.169039160744001
7619	-0.164615304071396
10755	-0.167985522230787
11551	-0.169039640115237
349	-0.17050515057365
11035	-0.170501799635569
11104	-0.164718465459546
10795	-0.163300418994225
10445	-0.159339711786173
7849	-0.170505157763355
17558	-0.170505157493955
13439	-0.159226402628809
13402	-0.167750255754351
14840	-0.170505164838869
13448	-0.159441197893197
13619	-0.170505171802890
7890	-0.170505178658034
11882	-0.170505185406833
11883	-0.170505192051744
10540	-0.170505205039350
7929	-0.170505229867955
11897	-0.170505235848442
11899	-0.170505241742207
12017	-0.170505247551124
12072	-0.170505253277011
11900	-0.170505258921635
11901	-0.170505264486716
11146	-0.170505269973922
11902	-0.170505275384877
10542	-0.170505296297109
11906	-0.170505316108148
8878	-0.143812901599762
11585	-0.323109505734421
13837650	-0.214484807142895
13853215	-0.191822073718457
9392	-0.202338364474167
7674	-0.146886345410680
6156	-0.166606562375243
18410	-0.170505132990297
7024	-0.146886307870935
15438	-0.145410214216331
8896	-0.152797442108960
14751	-0.145522378546778
221117	-0.161991077794157
7787	-0.152797442108960
8908	-0.152797442108960
8909	-0.152797442108960
8910	-0.152797442108960
6188	-0.203858870061096
10265264	-0.146761352920165
10179173	-0.146761352920165
21800	-0.161991077794157
10325078	-0.207625547228941
6111	-0.152797442108960
10265270	-0.151146393858043
15765	-0.161991077794157
10179239	-0.151146393858043
69569	-0.336726274812482
5730	-0.118298807364941
13837281	-0.140288695436193
9724	-0.161869443778995
7662	-0.163885829903596
13862559	-0.163492885850867
7518	-0.163097544231397
21106571	-0.163455258812117
13864445	-0.193320004760735
21106163	-0.197576157534289
21106540	-0.193058704984655
6339	-0.154690448228227
38364	-0.194059843090374
27488	-0.168657811926102
11776	-0.134044161255471
25677	-0.201617890707992
158870	-0.163859928836294
157093	-0.163991916924921
83374	-0.163991288252681
457144	-0.163838764617056
135925	-0.163666432969561
457145	-0.163923187868551
84188	-0.163174816488140
136000	-0.163248523441826
135983	-0.163543692034406
136001	-0.163542663592283
136002	-0.163177243524350
136003	-0.163267607212576
84235	-0.163560313082231
82755	-0.163949792459282
82712	-0.163874586932996
157094	-0.163811059767418
103011	-0.163950896378853
102798	-0.163613884420057
82762	-0.163691190305358
11974	-0.132204681538128
56793	-0.197822572346489
454495	-0.197839416773215
40191	-0.163822282414982
56791	-0.163881254710558
35581	-0.163937198225905
56774	-0.197829973769298
82765	-0.201624352844987
27793	-0.193024825390293
82754	-0.193295944291382
457138	-0.193296215442260
102897	-0.193296117763073
457139	-0.193288195027112
102947	-0.163578719650777
97173	-0.163859353190142
102720	-0.163859695909002
102801	-0.163614692457326
102833	-0.1978336831898
102721	-0.163809494129205
102856	-0.163653993792431
102933	-0.161726832572191
103066	-0.163784636820633
97172	-0.161727085192496
106355	-0.196887271862807
102741	-0.163834465199360
97055	-0.163321154291632
97198	-0.163844360812431
34874	-0.197838732267202
36972	-0.193301202808867
56788	-0.197839579489167
533188	-0.197561428005240
35579	-0.197839561392679
16182	-0.163962112971409
46262	-0.197602490258493
35580	-0.163997217532766
82818	-0.197822721229981
56790	-0.166369883857999
56795	-0.197822710267814
33458	-0.197543393174739
82777	-0.165378860702832
35584	-0.197841531636850
56785	-0.163951077433228
56792	-0.165237459511180
34189	-0.164025433748286
34859	-0.197836449226261
84346	-0.201629280070195
