Compound Id	Weight
6191	137.990419
6153	87.993613
16425	145.962490
6190	153.960869
11919	144.133427
67991	201.980374
291	16.0313
6084	30.046950
6094	44.0626
7555	58.078250
6120	58.078250
7712	72.0939
6308	72.0939
9646	72.0939
10781	114.140851
15802	128.156501
17976	128.156501
7767	86.109551
7604	86.109551
7010	86.109551
6163	86.109551
6340	86.109551
8560	100.125201
11094	100.125201
11023	100.125201
11055	100.125201
10786	100.125201
7619	100.125201
10755	100.125201
11551	100.125201
349	114.140851
11035	114.140851
11104	114.140851
10795	114.140851
10445	114.140851
7849	128.156501
17558	128.156501
13439	128.156501
13402	128.156501
14840	142.172151
13448	142.172151
13619	156.187801
7890	170.203451
11882	184.219101
11883	198.234751
10540	226.266051
7929	282.328652
11897	296.344302
11899	310.359952
12017	324.375602
12072	338.391252
11900	352.406902
11901	366.422552
11146	380.438202
11902	394.453852
10542	450.516453
11906	506.579053
8878	96.0939
11585	151.063329
13837650	97.969006
13853215	169.931318
9392	169.931318
7674	98.109551
6156	88.070827
18410	140.156501
7024	84.0939
15438	112.125201
8896	70.078250
14751	112.125201
221117	112.125201
7787	84.0939
8908	98.109551
8909	112.125201
8910	140.156501
6188	185.901768
10265264	112.125201
10179173	112.125201
21800	112.125201
10325078	213.880803
6111	42.046950
10265270	138.140851
15765	112.125201
10179239	138.140851
69569	275.999165
5730	151.875411
13837281	163.875411
9724	138.140851
7662	179.930033
13862559	179.930033
7518	189.918490
21106571	213.891061
13864445	179.930033
21106163	213.891061
21106540	213.891061
6339	341.688998
38364	223.879518
27488	223.879518
11776	311.778486
25677	289.922361
158870	229.945683
157093	229.945683
83374	229.945683
457144	229.945683
135925	229.945683
457145	229.945683
84188	229.945683
136000	229.945683
135983	229.945683
136001	229.945683
136002	229.945683
136003	229.945683
84235	229.945683
82755	263.906711
82712	263.906711
157094	263.906711
103011	263.906711
102798	263.906711
82762	263.906711
11974	389.688998
56793	289.922361
454495	289.922361
40191	289.922361
56791	289.922361
35581	289.922361
56774	323.883389
82765	323.883389
27793	263.906711
82754	263.906711
457138	263.906711
102897	263.906711
457139	263.906711
102947	263.906711
97173	263.906711
102720	263.906711
102801	263.906711
102833	263.906711
102721	263.906711
102856	263.906711
102933	263.906711
103066	263.906711
97172	263.906711
106355	263.906711
102741	297.867739
97055	297.867739
97198	297.867739
34874	289.922361
36972	289.922361
56788	289.922361
533188	289.922361
35579	289.922361
16182	289.922361
46262	289.922361
35580	289.922361
82818	289.922361
56790	289.922361
56795	289.922361
33458	289.922361
82777	289.922361
35584	289.922361
56785	289.922361
56792	289.922361
34189	289.922361
34859	357.844416
84346	357.844416
56760	357.844416
56755	357.844416
33666	357.844416
36973	323.883389
37744	323.883389
46894	323.883389
45444	323.883389
56769	323.883389
56780	323.883389
34847	323.883389
39406	323.883389
35081	323.883389
56781	323.883389
56771	323.883389
102834	297.867739
102722	297.867739
154865	297.867739
96948	297.867739
102743	297.867739
102857	297.867739
154866	297.867739
106356	297.867739
102787	297.867739
97240	297.867739
102742	297.867739
97257	331.828766
97224	331.828766
102923	331.828766
96868	331.828766
96864	331.828766
97234	331.828766
97233	331.828766
154062	331.828766
97142	331.828766
56782	391.805444
36977	391.805444
83414	391.805444
84348	391.805444
82823	391.805444
36975	323.883389
56778	323.883389
43354	323.883389
37779	323.883389
45445	323.883389
36974	323.883389
35585	323.883389
34848	323.883389
84344	323.883389
34850	323.883389
82819	323.883389
56772	323.883389
82820	323.883389
16415	323.883389
56779	323.883389
56768	323.883389
56777	323.883389
84345	323.883389
34668	323.883389
96965	365.789794
33198	365.789794
82783	357.844416
34852	357.844416
37000	357.844416
37019	357.844416
56765	357.844416
39198	357.844416
82740	357.844416
56761	357.844416
56756	357.844416
56766	357.844416
83413	357.844416
34851	357.844416
36976	357.844416
56767	357.844416
56763	357.844416
56787	289.922361
35583	289.922361
82807	289.922361
56794	289.922361
33386	289.922361
33457	289.922361
47912	289.922361
82817	289.922361
46893	289.922361
33280	289.922361
35582	289.922361
33304	289.922361
46263	289.922361
15827	399.750821
33407	425.766472
36985	425.766472
35205	425.766472
15637	425.766472
82821	425.766472
34853	357.844416
37745	357.844416
36978	357.844416
34190	357.844416
34191	357.844416
36771	357.844416
36710	357.844416
56757	357.844416
549017	357.844416
84347	357.844416
56764	357.844416
56758	357.844416
47914	357.844416
56762	357.844416
33984	357.844416
33983	357.844416
34860	391.805444
82738	391.805444
36982	391.805444
36979	391.805444
47915	391.805444
56783	391.805444
36981	391.805444
37004	391.805444
36980	391.805444
82751	459.727499
36989	459.727499
33282	323.883389
46285	323.883389
46284	323.883389
82806	323.883389
56776	323.883389
47913	323.883389
32952	323.883389
45446	323.883389
43353	323.883389
56773	323.883389
33281	289.922361
56786	289.922361
56789	289.922361
33456	289.922361
46264	289.922361
36990	425.766472
35912	425.766472
45448	425.766472
36987	425.766472
36988	425.766472
33986	391.805444
36983	391.805444
36986	391.805444
45447	391.805444
35566	391.805444
47916	391.805444
46137	391.805444
550258	391.805444
33985	391.805444
15484	493.688527
34854	357.844416
46136	357.844416
82736	357.844416
56759	357.844416
36984	357.844416
56775	323.883389
56770	323.883389
35206	459.727499
34192	425.766472
82822	425.766472
35108	391.805444
33316	357.844416
21106570	247.852088
23208	47.984744
4514529	34.968853
6132	85.973484
