Compound Id	ALOGP [ALogP]
10614293	2.450
11109	0.438
24142	-2.154
13622	-1.866
16180	-1.578
7891	-1.290
29025	-0.426
12635	-1.002
11121	0.150
7713	0.726
12809	-0.714
7833	-0.138
7556	0.471
7954	1.147
555074	0.638
4516601	0.350
4483639	0.671
4516599	0.506
4512361	0.350
4483638	0.671
4512642	0.506
6085	0.947
8544	0.691
7788	0.403
6149	3.298
10053	1.922
11117	1.447
6827	-1.318
7676	0.744
13875281	1.386
13875230	1.386
6128	0.945
391	0.0
71390	1.624
2916	1.496
558875	1.225
12446	0.980
7957	1.796
10113	1.996
6087	0.847
18971812	1.384
13299573	2.309
3631	2.534
15755	1.489
67470	1.489
15756	1.489
15524	1.489
14441700	1.058
2062437	1.988
11911	2.444
11154	1.686
30713	1.803
21106172	1.773
127983	-0.127
11148	0.582
10512	-0.057
10526	-0.345
24590970	2.185
11865	-0.633
6042	2.029
13875320	1.531
7673	0.889
13875258	1.531
13875392	1.531
21108548	1.9
14995	1.489
14994	1.489
15475	1.489
15478	1.489
518	N/A
967	3.261
12499	1.938
71433	3.060
9484	1.439
11099	1.477
11110	1.926
11086	0.656
14692	0.774
24263	2.143
11857	0.115
391428	2.143
6309	1.861
7557	1.415
558883	1.615
56020	1.615
553642	-0.173
16791	0.482
454209	0.306
9633	-1.185
9377	-0.609
9243	0.832
923	-0.392
7850	-0.921
7714	0.231
10437	0.519
6097	1.097
6083	0.991
10487	-0.746
9614	0.480
13861343	3.759
11756	1.045
15476	1.489
274	-0.147
56144	2.688
11864	-0.273
11845	0.015
6125	1.541
12456	-0.849
17880	-0.561
7558	1.072
29036	2.025
1087	-0.047
7001	1.773
10606755	1.497
55075	2.635
13868640	1.778
11351244	1.125
7090	1.098
7553	1.608
61213	1.299
23886	1.489
33421	1.489
15477	1.489
26010	1.489
30600	1.489
33455	1.489
33934	1.489
33932	1.489
15473	1.489
17099	1.489
17098	1.489
33933	1.489
15474	1.489
63863	1.257
454638	2.484
6121	0.797
6315	0.508
7330	0.998
6307	1.473
12219	-1.064
7848	-0.776
11863	-0.488
7810	-0.2
7766	0.088
7711	0.376
7552	0.664
6092	1.242
6088	1.522
26516	1.687
11087	1.420
8543	1.224
12209	0.303
9286	1.208
11806	0.591
6342	2.399
120464	0.426
7733	0.219
7738	-0.154
21111820	1.233
8329688	1.443
6735	0.889
92731	2.507
6326	1.956
19766	2.517
6665	1.298
512621	2.693
9642	1.242
10124	2.308
6118	0.941
12010	0.331
11830	0.619
10497	0.907
31029	1.195
10340	0.285
1108	0.642
236	0.0
13875283	1.122
13840690	0.756
6737	0.744
6789	0.744
15620	1.926
2927	2.741
3973	2.143
12442	1.392
6095	1.407
10675065	1.349
11961	1.483
21111772	1.483
12228	0.0
1406720	1.847
6364	1.387
7180	1.711
7182	1.884
10669	1.564
55090	1.102
61487	1.246
6100	1.773
10410	0.894
13492	-1.326
15747	-1.614
13487	-1.038
7385	-0.174
10404	-0.750
7419	-0.462
7219	0.307
7739	0.591
9903	-0.163
8868	-0.154
16159	2.526
13300034	3.003
2018460	2.837
61149	2.191
11954	1.483
13029	1.773
13875432	0.284
7151	1.977
63054	1.459
7098	0.638
9095782	1.086
6635	3.634
8356	-0.103
7128	0.573
15461	1.221
7521	1.284
7641	1.284
7672	-0.602
6967	1.284
21168808	1.030
7220	0.708
8876	0.0
2928	3.143
13030	1.773
13875441	0.429
10975	0.860
10870	0.860
218253	0.744
15488	0.744
6122	1.472
11727	-0.869
6316	1.501
12674	-0.659
8097	-0.451
21106032	0.936
551	-0.154
15621	1.926
6106	2.3
38403	2.236
7551	1.801
21111822	1.153
7681	0.511
8140	1.028
9360	0.019
61191	0.638
66675	4.308
20939	2.142
6999	2.568
7088	1.556
8531	0.614
7448	0.614
11660	0.949
8335	0.614
11409	0.949
7248	1.350
11661	1.350
221082	0.907
67653	-0.216
10831	1.284
26260	1.926
2283071	2.568
21112738	1.521
66567	1.890
65	1.028
11769	0.960
15489	0.744
6828	0.0
7183	1.215
7659	1.926
10253	1.215
6977	1.926
10236	1.926
7129	1.154
10829	1.284
68437	1.926
906	0.0
8067	4.466
14198	1.369
10979	2.721
7181	2.402
13836713	1.230
6103	0.864
7170	1.146
10534	1.466
21171407	2.139
71437	0.060
13063	0.307
13851576	0.9
7302	-0.154
2915	0.591
62826	1.996
11369	3.8
10857	1.028
13875219	0.284
13842573	0.429
10432	0.960
541032	1.746
17619	0.693
4611	-0.431
9990	1.874
28993	3.094
7815	-0.578
7560	0.286
7721	-0.002
12259	3.21
11667	0.692
10851	1.284
10813	1.284
8807	0.468
16641	0.883
11731	1.386
8950	1.029
13677	0.307
6736	0.642
10849	1.284
15619	1.926
4932499	2.568
6057	2.654
13860817	0.739
11778	0.739
12640	0.440
6480	0.642
776	-0.420
13047	2.517
18707	1.173
21106018	0.926
6402	1.516
68179	-1.948
10850	1.284
9350	0.019
10664	0.2
8577	-1.730
14349	-1.442
7852	-1.154
14680	-0.866
7776	-0.290
7420	0.530
66565	0.472
6592	0.456
21106020	1.404
13853953	1.404
10364	0.765
13860720	0.739
6633	1.028
69371	4.899
6478	0.125
6788	0.642
73412	1.080
10909	1.284
10918	1.284
21168831	1.011
10841	1.284
15861	1.926
21106146	1.302
21106013	1.404
21106036	1.620
9187483	0.889
7736	-0.420
21106169	0.649
12821	-0.426
10400	-0.034
1095	0.038
70682	0.073
11862	0.649
12044	0.642
12045	0.642
12047	0.642
12699	0.642
10864	1.549
7568	0.577
9326	0.019
10980	0.649
955	0.2
10772050	1.448
6079	0.505
9461	1.142
7817	-0.481
7732	0.385
1039	0.795
11871	0.731
7786	1.887
9581	0.428
7710	1.513
7809	0.937
7765	1.225
13872122	0.675
2923	1.523
9574	0.240
10972	0.649
11294	0.284
6588	0.660
6642	3.852
13875196	0.428
10908	1.284
12682	1.926
21106144	1.302
13863774	1.302
7138	0.660
66655	4.241
24326358	2.991
7238	-0.052
12069	-0.653
191367	-0.365
11799	-0.077
21106014	0.552
12478	-0.426
7315	0.460
23150	4.154
11729	1.046
14866	2.264
21105959	0.590
13865438	0.590
21106135	0.590
7383	1.156
62534	0.007
62408	0.007
7389	-0.635
13869451	-0.006
6974	0.429
7961	1.240
13835772	0.182
971	-0.460
11588	1.180
8800	0.0
66656	2.424
21106019	0.552
7615	0.211
13647	-0.942
7013	2.206
6135	0.426
13854248	-0.006
13869339	-0.006
13837686	0.284
13839082	0.182
553649	0.468
10536	-0.436
7239	0.693
7391	0.199
21111817	0.696
6102	0.045
4444102	-2.345
69982	2.508
9233	1.296
387	0.6
7299	0.456
7224	0.035
5739	0.0
8804	0.0
6338	0.789
13863618	-0.653
278	-0.309
29153	0.0
5979	3.376
