Compound Id	ChiPathCluster [VPC-5]
12635	0.0
11121	0.0
7713	0.0
12809	0.0
7833	0.0
7556	0.0
7954	0.0
555074	0.0
4516601	0.0
4483639	0.0
4516599	0.0
4512361	0.0
4483638	0.0
4512642	0.0
6085	0.0
8544	0.0
7788	0.0
6149	0.0
10053	0.0
11117	0.0
6827	1.5
7676	0.189
13875281	0.497
13875230	0.513
6128	0.0
391	0.0
71390	0.0
2916	0.0
558875	0.0
12446	0.177
7957	0.0
10113	0.0
6087	0.0
18971812	0.278
13299573	0.591
3631	0.231
15755	1.351
67470	1.187
15756	0.972
15524	0.972
14441700	0.057
2062437	0.046
11911	0.584
11154	0.0
30713	0.0
21106172	1.267
127983	0.0
11148	0.0
10512	0.0
10526	0.0
24590970	0.139
11865	0.0
6042	0.0
13875320	0.755
7673	0.327
13875258	0.450
13875392	0.777
21108548	0.442
14995	1.350
14994	1.364
15475	1.393
15478	1.102
518	N/A
967	2.875
12499	0.491
71433	0.612
9484	0.0
11099	0.0
11110	0.0
11086	0.306
14692	0.0
24263	2.299
11857	0.0
391428	2.299
6309	0.0
7557	0.0
558883	0.0
56020	0.0
553642	0.0
16791	0.0
454209	0.051
9633	0.0
9377	0.0
9243	0.0
923	0.0
7850	0.0
7714	0.0
10437	0.0
6097	0.0
6083	0.0
10487	0.491
9614	0.063
13861343	0.210
11756	0.0
15476	1.160
274	0.0
56144	0.771
11864	0.0
11845	0.0
6125	0.0
12456	0.0
17880	0.0
7558	0.0
29036	0.0
1087	0.0
7001	0.977
10606755	0.237
55075	6.338
13868640	0.596
11351244	0.674
7090	0.279
7553	0.0
61213	0.057
23886	1.364
33421	1.603
15477	1.603
26010	1.404
30600	1.199
33455	1.279
33934	1.114
33932	1.157
15473	0.996
17099	1.061
17098	0.913
33933	1.179
15474	0.829
63863	9.339
454638	8.694
6121	0.0
6315	0.0
7330	0.0
6307	0.0
12219	0.0
7848	0.0
11863	0.0
7810	0.0
7766	0.0
7711	0.0
7552	0.0
6092	0.0
6088	0.0
26516	0.425
11087	0.423
8543	0.0
12209	0.0
9286	0.0
11806	0.0
6342	0.0
120464	1.1
7733	0.0
7738	0.0
21111820	0.354
8329688	0.099
6735	1.312
92731	0.741
6326	0.0
19766	2.022
6665	0.718
512621	N/A
9642	0.0
10124	0.0
6118	0.0
12010	0.0
11830	0.0
10497	0.0
31029	0.0
10340	0.118
1108	0.167
236	0.0
13875283	0.209
13840690	0.272
6737	0.950
6789	0.736
15620	1.754
2927	1.839
3973	0.409
12442	0.0
6095	0.0
10675065	0.129
11961	1.345
21111772	1.035
12228	N/A
1406720	7.763
6364	3.829
7180	0.877
7182	0.882
10669	0.936
55090	0.401
61487	0.694
6100	0.0
10410	0.568
13492	0.273
15747	0.273
13487	0.273
7385	0.297
10404	0.273
7419	0.273
7219	0.254
7739	0.0
9903	0.760
8868	0.394
16159	0.669
13300034	2.757
2018460	1.106
61149	0.487
11954	1.467
13029	1.171
13875432	0.324
7151	2.114
63054	0.398
7098	0.365
9095782	0.125
6635	1.897
8356	0.726
7128	0.511
15461	1.594
7521	0.304
7641	0.470
7672	0.850
6967	0.455
21168808	0.354
7220	0.175
8876	0.5
2928	3.646
13030	1.142
13875441	0.512
10975	0.542
10870	0.585
218253	0.950
15488	0.748
6122	0.0
11727	0.0
6316	0.0
12674	0.898
8097	0.760
21106032	0.0
551	0.946
15621	1.424
6106	0.0
38403	0.107
7551	0.0
21111822	0.355
7681	0.224
8140	0.643
9360	0.153
61191	0.340
66675	13.5
20939	0.922
6999	1.055
7088	1.161
8531	0.552
7448	0.487
11660	0.395
8335	0.812
11409	0.686
7248	0.409
11661	0.318
221082	0.216
67653	0.0
10831	1.252
26260	1.768
2283071	1.706
21112738	0.0
66567	0.533
65	0.522
11769	0.642
15489	0.665
6828	0.5
7183	0.654
7659	0.914
10253	1.174
6977	0.712
10236	0.968
7129	0.365
10829	1.239
68437	1.706
906	0.5
8067	3.660
14198	3.583
10979	0.926
7181	0.877
13836713	0.0
6103	0.0
7170	1.005
10534	0.0
21171407	0.0
71437	6.699
13063	0.766
13851576	0.385
7302	0.293
2915	2.012
62826	0.366
11369	4.587
10857	0.773
13875219	0.240
13842573	0.366
10432	0.453
541032	3.983
17619	N/A
4611	0.305
9990	0.0
28993	0.275
7815	0.0
7560	0.0
7721	0.0
12259	1.979
11667	0.313
10851	1.098
10813	1.435
8807	1.195
16641	0.0
11731	0.0
8950	0.245
13677	0.984
6736	0.891
10849	1.075
15619	1.406
4932499	1.975
6057	2.275
13860817	0.683
11778	0.825
12640	0.1
6480	0.749
776	0.452
13047	1.708
18707	0.904
21106018	0.588
6402	3.618
68179	0.0
10850	1.222
9350	0.125
10664	0.280
8577	0.0
14349	0.0
7852	0.0
14680	0.0
7776	0.0
7420	0.273
66565	0.107
6592	1.336
21106020	0.335
13853953	0.542
10364	0.139
13860720	0.679
6633	0.769
69371	55.114
6478	1.456
6788	0.705
73412	0.0
10909	0.911
10918	0.911
21168831	0.309
10841	1.251
15861	1.378
21106146	0.429
21106013	0.465
21106036	0.338
9187483	1.276
7736	0.0
21106169	0.009
12821	0.221
10400	0.313
1095	0.0
70682	0.0
11862	0.0
12044	0.891
12045	0.717
12047	0.644
12699	1.523
10864	0.829
7568	0.0
9326	0.147
10980	0.487
955	0.231
10772050	0.312
6079	0.361
9461	0.044
7817	0.0
7732	0.0
1039	0.0
11871	0.0
7786	0.0
9581	0.218
7710	0.0
7809	0.0
7765	0.0
13872122	0.273
2923	0.972
9574	0.270
10972	0.643
11294	1.066
6588	0.853
6642	2.813
13875196	0.198
10908	1.006
12682	1.212
21106144	0.496
13863774	0.315
7138	0.173
66655	15.489
24326358	1.487
7238	0.147
12069	0.0
191367	0.0
11799	0.0
21106014	0.473
12478	0.187
7315	0.318
23150	18.371
11729	0.0
14866	1.319
21105959	0.457
13865438	0.292
21106135	0.355
7383	0.378
62534	0.278
62408	0.398
7389	0.133
13869451	0.369
6974	0.494
7961	0.231
13835772	0.283
971	0.075
11588	0.573
8800	1.953
66656	N/A
21106019	0.305
7615	0.0
13647	0.424
7013	0.421
6135	0.0
13854248	0.356
13869339	0.260
13837686	0.313
13839082	0.220
553649	0.376
10536	0.0
7239	0.440
7391	0.172
21111817	0.729
6102	0.0
4444102	1.341
69982	2.231
9233	0.0
387	0.0
7299	0.508
7224	0.126
5739	1.653
8804	2.444
6338	0.0
13863618	0.261
278	0.0
29153	1.829
5979	2.480
7827	0.0
18607	0.0
18219	0.0
11783	0.278
10586285	0.932
21105871	0.294
6739	0.650
434	0.448
10205670	0.0
24043	0.115
68676	0.836
6852	0.644
7546	0.0
15495	0.403
10328	0.619
7145	0.315
13846959	0.251
937	0.0
9363	0.049
62632	0.0
78998	0.0
11884	0.0
16177	0.0
15853	0.0
67360	0.0
11866	0.0
15846	0.0
29026	0.0
11846	0.0
7770	0.0
7717	0.0
19475	0.033
7685	0.254
87265	0.518
21106148	0.303
8817	1.794
7566	0.0
13853943	0.350
15486	0.220
18920	0.091
9391	0.023
28982	0.311
13839110	0.653
9824	1.341
11434292	N/A
65763	0.653
68328	13.263
331	0.339
21169510	0.706
7689	0.146
63906	0.431
2246	2.471
13837787	0.302
13839151	0.661
13865680	0.428
11604	0.355
12060	0.355
14678	0.330
11489	0.521
2991	0.574
21106365	1.611
23101	26.996
55123	0.0
12012	0.0
11125	0.0
7782	0.0
7734	0.0
7577	0.0
13630	0.278
7278	0.297
6781	0.443
13839128	0.467
7202	0.425
235	0.142
11584	0.562
13571291	0.0
6807	0.849
13839174	0.658
13839105	0.550
13846663	1.221
8657	0.234
11589	0.432
9579	0.246
11755	0.056
7761	0.118
10492	0.096
11784	0.161
11785	0.161
6311	0.0
21106524	0.431
89076	0.445
14227	0.532
19476	0.091
2185	0.259
62484	0.649
6838	0.717
10257	0.502
8799	2.584
10498	0.0
9349	0.145
13839123	0.553
11576	0.670
8071	0.596
21105795	0.241
8374	0.269
11761	1.633
7956	0.0
6794	0.746
924	0.396
12637	0.0
6775	0.325
5889	0.096
21106091	1.655
3951	0.0
763	0.0
5882	0.352
7140	0.416
238	0.196
9994	0.0
61001	0.567
2003	16.905
21168826	0.378
20124	0.810
8816	1.941
8788	2.612
11672	0.238
29008	0.0
6550	0.695
6688	0.856
61538	1.132
10246	1.106
79969	0.451
15093	0.435
7176	0.332
6840	0.944
7616	0.034
61111	0.054
4446445	0.0
4444608	0.0
394562	0.0
30595	0.607
8899	0.0
13876539	0.224
62310	0.403
7234	0.180
16804	2.277
21105998	0.968
12244	0.966
61411	1.621
6333	0.0
6706	0.741
8060	0.595
8341	0.579
10441	0.0
11833	0.0
6406	0.143
13835126	0.452
65701	0.664
6023	0.518
5678	2.297
10248	1.055
69177	1.566
10244	1.417
9911	0.829
1005	0.0
8552	0.032
7803	0.032
171	0.0
122090	21.990
8070	0.546
13846749	0.338
13859497	0.487
10652594	N/A
11841	0.236
11749	0.167
8569	0.0
