Compound Id	ChiPath [SP-3]
12635	2.207
11121	1.207
7713	0.707
12809	1.957
7833	1.457
7556	0.5
7954	0.0
555074	1.207
4516601	1.457
4483639	0.707
4516599	1.457
4512361	1.457
4483638	0.707
4512642	1.457
6085	0.0
8544	1.25
7788	1.5
6149	0.0
10053	0.0
11117	1.5
6827	3.966
7676	1.894
13875281	2.540
13875230	2.199
6128	0.0
391	0.0
71390	0.0
2916	0.0
558875	0.5
12446	0.866
7957	0.0
10113	0.816
6087	0.0
18971812	2.25
13299573	1.061
3631	2.303
15755	4.178
67470	4.269
15756	4.137
15524	4.137
14441700	1.061
2062437	1.732
11911	1.061
11154	0.0
30713	1.333
21106172	3.343
127983	0.0
11148	0.0
10512	0.957
10526	1.207
24590970	1.732
11865	1.457
6042	0.0
13875320	2.540
7673	1.894
13875258	2.305
13875392	2.199
21108548	2.305
14995	4.414
14994	4.406
15475	4.534
15478	4.387
518	N/A
967	4.976
12499	4.976
71433	1.061
9484	0.0
11099	0.707
11110	0.957
11086	1.894
14692	1.957
24263	3.748
11857	1.75
391428	3.748
6309	0.816
7557	0.5
558883	0.707
56020	0.707
553642	2.0
16791	1.457
454209	1.061
9633	1.707
9377	1.207
9243	0.0
923	0.0
7850	1.707
7714	0.707
10437	0.5
6097	0.0
6083	0.0
10487	1.894
9614	1.894
13861343	1.732
11756	0.866
15476	4.276
274	0.0
56144	3.376
11864	1.457
11845	1.207
6125	0.0
12456	1.957
17880	1.707
7558	0.5
29036	0.0
1087	0.0
7001	3.430
10606755	3.376
55075	4.976
13868640	2.305
11351244	2.633
7090	2.830
7553	0.5
61213	1.061
23886	4.906
33421	4.827
15477	4.327
26010	5.025
30600	4.760
33455	4.753
33934	4.844
33932	4.776
15473	4.621
17099	4.955
17098	4.704
33933	4.531
15474	4.788
63863	1.061
454638	6.770
6121	0.0
6315	0.816
7330	1.25
6307	0.816
12219	1.957
7848	1.707
11863	1.457
7810	1.207
7766	0.957
7711	0.707
7552	0.5
6092	0.0
6088	0.0
26516	2.422
11087	1.894
8543	0.707
12209	0.957
9286	1.333
11806	0.707
6342	1.333
120464	1.914
7733	0.707
7738	1.25
21111820	1.644
8329688	1.061
6735	3.933
92731	2.976
6326	0.816
19766	4.197
6665	4.135
512621	N/A
9642	0.0
10124	1.333
6118	0.0
12010	1.207
11830	0.957
10497	0.707
31029	0.5
10340	1.644
1108	1.894
236	1.5
13875283	2.305
13840690	2.302
6737	3.933
6789	3.802
15620	4.814
2927	5.979
3973	2.474
12442	0.5
6095	0.0
10675065	1.981
11961	3.343
21111772	3.430
12228	N/A
1406720	6.674
6364	4.406
7180	3.003
7182	3.003
10669	3.003
55090	1.061
61487	1.061
6100	0.0
10410	2.529
13492	3.441
15747	3.691
13487	3.191
7385	2.422
10404	2.941
7419	2.691
7219	2.302
7739	1.25
9903	3.216
8868	3.216
16159	1.782
13300034	5.820
2018460	2.091
61149	4.547
11954	3.702
13029	3.702
13875432	2.199
7151	4.087
63054	4.197
7098	3.161
9095782	2.25
6635	2.932
8356	3.099
7128	2.593
15461	3.622
7521	2.305
7641	2.199
7672	1.894
6967	2.540
21168808	1.644
7220	2.302
8876	3.466
2928	6.137
13030	3.343
13875441	2.199
10975	3.901
10870	3.930
218253	4.433
15488	4.293
6122	0.0
11727	0.5
6316	0.816
12674	3.966
8097	3.466
21106032	0.957
551	5.091
15621	4.756
6106	0.0
38403	2.303
7551	0.5
21111822	2.305
7681	1.894
8140	2.860
9360	2.199
61191	3.241
66675	2.25
20939	3.003
6999	3.430
7088	2.830
8531	3.046
7448	3.121
11660	2.713
8335	3.115
11409	2.813
7248	2.622
11661	2.713
221082	2.422
67653	1.957
10831	4.406
26260	4.572
2283071	5.348
21112738	0.5
66567	3.75
65	2.860
11769	2.199
15489	4.377
6828	3.966
7183	3.003
7659	2.414
10253	3.034
6977	2.860
10236	3.114
7129	2.593
10829	4.414
68437	4.922
906	3.466
8067	4.976
14198	4.204
10979	3.003
7181	3.003
13836713	0.5
6103	0.0
7170	3.641
10534	1.75
21171407	0.5
71437	4.344
13063	4.226
13851576	2.302
7302	4.116
2915	5.091
62826	2.474
11369	3.343
10857	3.114
13875219	2.305
13842573	2.305
10432	2.305
541032	4.197
17619	N/A
4611	3.119
9990	0.5
28993	2.175
7815	1.207
7560	0.5
7721	0.707
12259	4.197
11667	2.713
10851	4.269
10813	4.327
8807	4.841
16641	0.0
11731	0.5
8950	2.422
13677	4.248
6736	3.933
10849	4.276
15619	4.520
4932499	5.606
6057	5.979
13860817	2.860
11778	2.414
12640	1.644
6480	3.692
776	3.216
13047	4.197
18707	2.860
21106018	2.860
6402	4.204
68179	1.707
10850	4.178
9350	2.305
10664	2.920
8577	2.207
14349	1.957
7852	1.707
14680	1.457
7776	0.957
7420	2.691
66565	2.199
6592	5.091
21106020	3.003
13853953	3.034
10364	2.302
13860720	2.860
6633	3.114
69371	1.061
6478	4.841
6788	3.802
73412	0.957
10909	4.137
10918	4.137
21168831	2.422
10841	4.534
15861	4.861
21106146	2.920
21106013	2.920
21106036	3.354
9187483	6.860
7736	1.25
21106169	1.061
12821	2.622
10400	4.433
1095	1.25
70682	1.957
11862	1.457
12044	4.433
12045	4.293
12047	4.377
12699	5.866
10864	3.034
7568	0.5
9326	2.540
10980	3.003
955	3.003
10772050	1.732
6079	3.003
9461	1.280
7817	1.207
7732	0.707
1039	0.0
11871	1.457
7786	0.957
9581	2.622
7710	0.707
7809	1.207
7765	0.957
13872122	2.691
2923	3.252
9574	2.920
10972	2.920
11294	4.414
6588	4.486
6642	4.976
13875196	2.713
10908	4.387
12682	4.723
21106144	3.034
13863774	3.003
7138	2.593
66655	1.966
24326358	3.901
7238	2.302
12069	1.635
191367	1.385
11799	1.135
21106014	2.813
12478	2.713
7315	4.921
23150	1.061
11729	0.5
14866	3.649
21105959	2.813
13865438	2.713
21106135	2.622
7383	2.422
62534	2.832
62408	2.949
7389	2.422
13869451	2.199
6974	2.540
7961	1.061
13835772	2.540
971	1.894
11588	3.003
8800	6.733
66656	N/A
21106019	2.713
7615	0.866
13647	2.593
7013	1.394
6135	0.0
13854248	2.540
13869339	2.305
13837686	2.540
13839082	2.305
553649	4.433
10536	1.707
7239	2.302
7391	2.422
21111817	2.813
6102	0.0
4444102	7.923
69982	4.547
9233	0.707
387	1.333
7299	4.116
7224	2.302
5739	7.278
8804	8.624
6338	0.816
13863618	2.813
278	0.0
29153	6.738
5979	2.25
7827	1.207
18607	0.707
18219	0.707
11783	1.894
10586285	5.397
21105871	2.199
6739	3.933
434	2.920
10205670	0.816
24043	1.732
68676	4.087
6852	4.226
7546	0.986
15495	4.172
10328	2.540
7145	2.920
13846959	3.003
937	0.0
9363	1.894
62632	3.707
78998	3.457
11884	2.957
16177	2.707
15853	2.457
67360	2.207
11866	1.457
15846	1.957
29026	1.707
11846	1.207
7770	0.957
7717	0.707
19475	1.394
7685	1.894
87265	2.713
21106148	3.412
8817	7.327
7566	0.5
13853943	3.034
15486	2.332
18920	1.635
9391	1.732
28982	2.713
13839110	2.414
9824	5.650
11434292	N/A
65763	3.870
68328	2.871
331	3.034
21169510	2.2
7689	1.894
63906	2.713
2246	8.624
13837787	3.034
13839151	3.114
13865680	2.813
11604	2.622
12060	2.832
14678	3.101
11489	3.477
2991	4.787
21106365	5.344
23101	2.018
55123	1.707
12012	1.457
11125	1.207
7782	0.957
7734	0.707
7577	0.5
13630	1.894
7278	3.157
6781	3.349
13839128	2.860
7202	3.412
235	2.302
11584	3.509
13571291	0.5
6807	4.955
13839174	3.114
13839105	2.860
13846663	3.241
8657	2.622
11589	3.412
9579	3.003
11755	0.866
7761	1.385
10492	1.135
11784	1.894
11785	1.894
6311	0.816
21106524	2.813
89076	5.252
14227	2.920
19476	1.478
2185	4.433
62484	3.509
6838	6.147
10257	3.587
8799	8.626
10498	0.707
9349	2.305
13839123	2.860
11576	3.582
8071	3.034
21105795	2.622
8374	3.718
11761	0.943
7956	0.0
6794	3.365
924	2.593
12637	2.457
6775	3.115
5889	1.894
21106091	4.032
3951	1.333
763	0.0
5882	3.702
7140	2.920
238	2.593
9994	1.0
61001	3.882
2003	9.636
21168826	2.622
20124	3.802
8816	7.274
8788	8.616
11672	3.121
29008	1.25
6550	4.080
6688	5.156
61538	3.702
10246	3.343
79969	3.8
15093	2.940
7176	3.509
6840	5.344
7616	0.866
61111	1.894
4446445	1.707
4444608	1.207
394562	0.707
30595	3.553
8899	1.25
13876539	2.422
62310	3.922
7234	2.302
16804	4.976
21105998	3.354
12244	3.343
61411	4.197
6333	0.816
6706	3.377
8060	5.664
8341	3.802
10441	0.5
11833	0.957
6406	1.782
13835126	3.003
65701	3.003
6023	3.099
5678	9.213
10248	3.343
69177	4.197
10244	4.197
9911	3.430
1005	0.816
8552	1.385
7803	1.635
171	0.0
122090	2.768
8070	3.034
13846749	3.609
13859497	3.976
10652594	N/A
11841	1.563
11749	0.866
8569	1.707
12220	2.207
7823	1.207
11849	1.207
3168	0.707
455420	1.707
10709	0.707
13837797	1.207
71876	3.151
18688	2.2
62249	2.091
55084	2.351
7694	2.082
7482	1.832
11716	2.247
7515	1.747
7076	2.401
7757	3.082
7511	2.582
7509	2.332
29005	2.082
10420	1.832
7475	1.563
7463	1.478
11910	1.061
7872	2.385
7875	2.885
7913	3.385
8568	1.885
14846	2.747
7800	2.497
11843	1.635
29012	1.385
7538	2.247
7536	1.997
7706	1.135
11680	1.478
11706	1.747
10653	1.394
7012	1.394
11065	0.866
28981	2.121
8525	0.866
7081	1.732
6313	0.816
6335	0.816
441	1.707
7838	1.457
5949	1.207
29029	1.957
7772	0.957
256	0.707
512	0.5
172	0.0
15443	2.302
66021	1.894
8674	3.046
13863629	2.052
13835351	3.827
6773	3.956
16736486	9.321
6621	3.692
13860641	2.813
21106525	2.713
13854136	2.540
13835151	2.305
10991	2.622
13860692	2.199
1019	1.25
62517	2.742
10903	4.293
6177	1.732
7064	1.882
6341	1.333
259	0.866
13249	3.635
7701	1.135
7888	2.635
12013	3.135
2863	2.385
7866	2.135
10033	4.135
370	1.885
12071	4.635
10035	4.885
4963	3.034
6907	3.878
553171	2.546
2041618	N/A
9411	2.2
7559	0.5
15965	3.468
6897	3.199
6883	3.099
7211	3.702
21105897	3.653
5439	0.866
7190	3.003
7469	1.571
10001	0.943
11625	2.850
6586	4.486
6675	3.034
472932	2.279
7073	2.337
8554	1.5
55130	1.655
10433	1.934
11992	1.571
7671	1.748
10446	1.021
7657	1.655
22453	2.359
7065	1.882
11045	1.997
7472	1.571
11207996	1.571
29016	1.563
7747	1.321
7627	0.943
10571	1.782
11647	2.529
66809	2.302
13865424	2.713
7175	3.509
7157	3.426
21112023	3.003
11582	3.344
7172	3.641
16119	3.702
864	0.0
79280	3.261
28947	3.571
7042	4.098
13837760	2.540
76894	N/A
205483	3.509
7737	1.25
6322	0.816
7132	2.593
8763	9.999
13848808	3.553
10837	4.138
13869434	2.860
21159695	2.832
6835	4.377
21108576	3.003
7533	1.959
56559	4.135
9053802	3.135
29000	0.866
7434	2.121
6312	0.816
8398	1.394
11898	4.707
72522	4.457
7928	4.207
14348	3.957
2581	3.707
11891	3.457
7917	3.207
7915	2.957
7901	2.707
7892	2.457
7882	2.207
8574	1.957
932	1.707
7812	1.207
7837	1.457
6040	0.957
258	0.707
1004	0.5
682	0.0
13872989	0.5
8665	2.713
6950	3.216
552744	0.866
70806	6.128
11671339	4.914
10251740	2.343
69914	5.121
13862665	1.135
21168813	2.920
175	0.0
6630	3.114
13840647	3.114
13860491	2.860
13839012	4.433
20545	4.313
8012	1.782
9564	2.860
7044	4.098
11003	4.116
10452	2.871
6314	0.816
4510484	2.121
66896	5.218
10437074	1.894
21105878	3.121
13839308	2.422
6753	5.892
374462	2.049
13869462	2.860
21106519	3.101
13860775	2.813
21106015	0.5
11809	0.707
12823	2.713
6649	1.992
6035	3.509
61739	4.276
392447	2.877
7142	2.920
66895	4.218
66887	3.968
9893	3.199
63518	3.718
59482	3.468
10696	3.828
67414	6.75
7074	2.337
7670	1.748
10797	2.103
6176	1.732
7534	2.199
10791	1.782
28986	1.563
10788	1.782
7621	0.943
10777	1.333
12972	2.601
9976	2.101
7514	1.747
215929	1.997
11025	1.478
7016	1.394
7871	2.385
21153	2.635
7802	1.635
12218	2.135
12632	1.885
7760	1.385
11095	1.135
7607	0.866
6321	0.816
558020	1.894
7790	1.5
6881	3.099
12061	2.691
67460	2.941
6790	3.802
8319	3.933
62964	5.550
62467	2.920
11193	2.474
11591	3.412
10411	2.940
10181338	3.412
59573	1.914
14998	1.0
13837190	0.707
1020	1.5
8141	1.644
8186	3.003
11600	2.381
10169	6.582
10343	4.621
447	2.813
12643	1.894
13846658	4.377
11596	3.531
28973	3.351
27296	3.101
11651	2.832
466305	3.735
9218	2.850
8183	3.641
7189	3.003
4878	2.199
13848793	3.802
21108577	3.917
123	2.713
26824	2.871
7028	1.644
7478	1.563
62489	2.302
21429023	9.321
2275	1.394
13835344	3.412
11793	1.135
13871721	0.707
6164	1.061
65785	4.050
6674	3.034
10616	3.587
526	3.412
11228	0.816
7003	2.151
21106520	1.894
13874733	1.894
6780	3.466
8098	3.466
70714	1.894
28969	2.529
7241	2.302
6577	4.982
9120	4.075
13853758	3.003
11525	1.394
4481813	0.5
13876103	3.692
8058	5.339
6593	5.091
14672	1.061
13850082	3.316
63903	2.422
17443	2.302
62808	1.894
6855	4.523
13638	2.0
18717	2.091
15954	1.882
7622	0.943
7310	3.242
63156	1.207
12626	0.957
28994	0.5
61765	3.099
10772140	0.816
13860335	2.302
10939	2.540
3463	8.777
7679	1.894
6296	2.607
5894	0.816
11586	4.208
1448	4.098
217	0.0
