Compound Id	AutocorrelationCharge [ATSc4]
8351654	0.034
22408	0.0
73583	0.102
2340753	0.055
10325184	0.065
21111806	-0.069
21108550	-0.008
9325	0.038
9228	-0.005
4444456	-0.037
11708	0.0
6093	0.0
6148	0.0
13838404	0.0
6179	0.087
748	0.0
9256	0.187
10614293	0.0
11109	0.0
24142	0.0
13622	0.0
16180	0.0
7891	0.0
29025	0.0
12635	0.0
11121	0.0
7713	0.0
12809	0.0
7833	0.0
7556	0.0
7954	0.0
555074	0.001
4516601	0.001
4483639	0.001
4516599	0.0
4512361	0.001
4483638	0.001
4512642	0.0
6085	0.0
8544	0.0
7788	0.0
6149	0.0
10053	0.0
11117	0.0
6827	0.0
7676	-0.001
13875281	-0.001
13875230	0.0
6128	0.0
391	0.0
71390	0.0
2916	0.0
558875	0.009
12446	0.0
7957	0.0
10113	0.002
6087	0.0
18971812	0.086
13299573	-0.352
3631	0.232
15755	-0.033
67470	0.005
15756	0.004
15524	0.001
14441700	-0.004
2062437	0.047
11911	0.053
11154	0.0
30713	0.105
21106172	-0.045
127983	0.0
11148	0.0
10512	0.0
10526	0.0
24590970	0.043
11865	0.0
6042	0.0
13875320	-0.001
7673	0.0
13875258	0.0
13875392	0.0
21108548	-0.002
14995	-0.002
14994	0.006
15475	0.018
15478	0.018
518	0.0
967	-0.085
12499	-0.158
71433	0.0
9484	0.0
11099	0.0
11110	0.0
11086	0.001
14692	0.0
24263	0.001
11857	0.001
391428	0.001
6309	0.0
7557	0.0
558883	0.0
56020	0.0
553642	0.0
16791	0.005
454209	-0.002
9633	-0.001
9377	-0.001
9243	0.0
923	0.0
7850	0.0
7714	0.0
10437	0.0
6097	0.0
6083	0.0
10487	-0.001
9614	-0.001
13861343	0.067
11756	-0.030
15476	0.005
274	0.0
56144	0.009
11864	0.0
11845	0.0
6125	0.0
12456	0.0
17880	0.0
7558	0.0
29036	0.0
1087	0.0
7001	-0.034
10606755	-0.045
55075	-0.067
13868640	-0.002
11351244	0.0
7090	-0.009
7553	0.0
61213	0.051
23886	0.005
33421	-0.033
15477	-0.033
26010	0.018
30600	0.003
33455	-0.033
33934	0.0
33932	-0.002
15473	0.0
17099	0.018
17098	-0.001
33933	-0.032
15474	-0.001
63863	-0.037
454638	0.001
6121	0.0
6315	0.0
7330	0.0
6307	0.0
12219	0.0
7848	0.0
11863	0.0
7810	0.0
7766	0.0
7711	0.0
7552	0.0
6092	0.0
6088	0.0
26516	0.0
11087	0.0
8543	-0.043
12209	0.0
9286	0.147
11806	0.0
6342	0.070
120464	0.0
7733	0.007
7738	0.0
21111820	0.0
8329688	0.041
6735	0.0
92731	0.049
6326	0.042
19766	-0.069
6665	-0.068
512621	0.013
9642	0.0
10124	0.001
6118	0.0
12010	0.0
11830	0.0
10497	0.0
31029	0.0
10340	0.006
1108	0.0
236	0.0
13875283	-0.001
13840690	-0.001
6737	-0.001
6789	0.0
15620	0.0
2927	-0.004
3973	0.157
12442	0.030
6095	0.0
10675065	-0.009
11961	-0.065
21111772	-0.026
12228	0.0
1406720	0.0
6364	0.0
7180	0.0
7182	0.002
10669	-0.001
55090	0.0
61487	0.0
6100	0.0
10410	0.0
13492	0.0
15747	0.0
13487	0.0
7385	0.0
10404	0.0
7419	0.0
7219	0.0
7739	0.0
9903	0.0
8868	0.004
16159	0.009
13300034	0.032
2018460	-0.045
61149	0.0
11954	-0.005
13029	-0.005
13875432	-0.045
7151	-0.017
63054	-0.108
7098	0.018
9095782	0.101
6635	-0.003
8356	0.0
7128	0.0
15461	0.0
7521	0.0
7641	0.0
7672	0.0
6967	0.0
21168808	0.001
7220	0.0
8876	0.0
2928	0.004
13030	-0.075
13875441	-0.037
10975	-0.089
10870	-0.131
218253	-0.001
15488	0.0
6122	0.0
11727	-0.041
6316	0.021
12674	0.0
8097	0.0
21106032	0.009
551	0.006
15621	0.0
6106	0.0
38403	0.218
7551	0.017
21111822	0.0
7681	0.0
8140	-0.009
9360	-0.065
61191	0.025
66675	0.0
20939	0.001
6999	0.0
7088	0.0
8531	0.0
7448	0.0
11660	0.0
8335	0.0
11409	0.0
7248	0.0
11661	0.0
221082	0.0
67653	-0.001
10831	0.0
26260	0.0
2283071	0.0
21112738	0.002
66567	-0.275
65	-0.020
11769	-0.021
15489	-0.001
6828	0.0
7183	0.0
7659	0.0
10253	0.0
6977	0.0
10236	0.0
7129	0.0
10829	0.0
68437	0.0
906	0.0
8067	-0.075
14198	0.0
10979	0.008
7181	0.006
13836713	0.0
6103	0.0
7170	0.0
10534	0.0
21171407	0.0
71437	0.0
13063	0.0
13851576	0.0
7302	0.010
2915	0.001
62826	0.083
11369	0.002
10857	0.001
13875219	-0.004
13842573	-0.003
10432	-0.002
541032	-0.047
17619	0.016
4611	-0.004
9990	0.008
28993	0.001
7815	0.0
7560	0.0
7721	0.0
12259	0.0
11667	-0.003
10851	0.0
10813	0.0
8807	0.0
16641	0.0
11731	0.007
8950	0.0
13677	0.0
6736	0.0
10849	0.0
15619	0.0
4932499	0.0
6057	0.004
13860817	-0.018
11778	-0.085
12640	0.0
6480	0.001
776	0.001
13047	-0.061
18707	-0.003
21106018	-0.004
6402	0.001
68179	-0.025
10850	0.0
9350	-0.007
10664	-0.048
8577	0.0
14349	0.0
7852	0.0
14680	0.0
7776	0.0
7420	0.0
66565	-0.083
6592	0.0
21106020	-0.005
13853953	-0.053
10364	0.0
13860720	-0.009
6633	0.020
69371	0.003
6478	0.0
6788	0.0
73412	0.007
10909	0.0
10918	0.0
21168831	0.0
10841	0.0
15861	0.0
21106146	-0.015
21106013	-0.039
21106036	-0.123
9187483	0.0
7736	0.0
21106169	0.106
12821	-0.016
10400	0.003
1095	0.0
70682	0.0
11862	0.0
12044	0.0
12045	0.0
12047	0.0
12699	0.0
10864	-0.046
7568	0.037
9326	0.036
10980	0.008
955	-0.002
10772050	0.127
6079	0.011
9461	0.217
7817	0.007
7732	0.008
1039	0.0
11871	0.003
7786	0.003
9581	-0.063
7710	-0.029
7809	0.004
7765	0.006
13872122	0.0
2923	-0.138
9574	0.009
10972	0.002
11294	-0.004
6588	-0.015
6642	0.0
13875196	-0.010
10908	0.0
12682	0.0
21106144	-0.015
13863774	-0.015
7138	-0.015
66655	0.018
24326358	0.095
7238	0.009
12069	-0.008
191367	-0.008
11799	-0.008
21106014	-0.067
12478	0.007
7315	-0.082
23150	0.018
11729	0.001
14866	0.0
21105959	0.007
13865438	0.009
21106135	0.009
7383	0.0
62534	-0.012
62408	-0.013
7389	-0.012
13869451	-0.027
6974	0.020
7961	0.073
13835772	-0.002
971	-0.001
11588	0.001
8800	0.0
66656	0.017
21106019	0.009
7615	-0.008
13647	-0.015
7013	0.0
6135	0.0
13854248	0.015
13869339	-0.002
13837686	0.025
13839082	-0.001
553649	0.0
10536	0.001
7239	0.001
7391	0.011
21111817	-0.056
6102	0.0
4444102	-0.308
69982	-0.112
9233	0.001
387	-0.017
7299	0.0
7224	-0.008
5739	0.0
8804	0.0
6338	-0.009
13863618	-0.091
278	0.0
29153	0.0
5979	0.110
7827	0.001
18607	0.001
18219	-0.012
11783	0.033
10586285	0.283
21105871	-0.001
6739	-0.001
434	0.004
10205670	0.090
24043	-0.019
68676	-0.002
6852	0.009
7546	0.0
15495	-0.167
10328	0.011
7145	-0.034
13846959	-0.007
937	0.0
9363	-0.013
62632	-0.004
78998	-0.004
11884	-0.004
16177	-0.004
15853	-0.004
67360	-0.004
11866	-0.004
15846	-0.004
29026	-0.004
11846	-0.004
7770	-0.004
7717	-0.004
19475	-0.023
7685	-0.005
87265	0.002
21106148	-0.006
8817	0.0
7566	-0.005
13853943	-0.046
15486	-0.001
18920	0.0
9391	0.085
28982	-0.001
13839110	-0.001
9824	-0.008
11434292	-0.011
65763	-0.042
68328	0.018
331	-0.132
21169510	0.203
7689	-0.007
63906	0.006
2246	0.0
13837787	-0.068
13839151	-0.001
13865680	-0.001
11604	-0.001
12060	-0.001
14678	-0.001
11489	0.005
2991	-0.007
21106365	0.035
23101	-0.007
55123	-0.027
12012	-0.027
11125	-0.027
7782	-0.028
7734	-0.026
7577	-0.047
13630	-0.038
7278	-0.037
6781	-0.028
13839128	-0.001
7202	-0.005
235	-0.004
11584	-0.030
13571291	-0.003
6807	0.025
13839174	-0.002
13839105	-0.001
13846663	-0.001
8657	-0.059
11589	-0.008
9579	0.020
11755	-0.008
7761	-0.027
10492	-0.029
11784	0.039
11785	-0.047
6311	-0.009
21106524	-0.004
89076	0.016
14227	0.001
19476	-0.032
2185	-0.005
62484	-0.036
6838	0.006
10257	-0.114
8799	0.0
10498	-0.060
9349	-0.004
13839123	-0.002
11576	-0.008
8071	-0.098
21105795	0.006
8374	-0.030
11761	0.002
7956	0.0
6794	0.009
924	0.005
12637	-0.049
6775	-0.049
5889	0.0
21106091	-0.001
3951	-0.015
