Compound Id	ALOGP [ALogp2]
6191	4.823
6153	5.941
16425	1.423
6190	5.726
11919	8.757
67991	10.532
291	0.0
6084	0.465
6094	0.034
7555	0.224
6120	1.025
7712	0.580
6308	0.113
9646	4.832
10781	2.111
15802	0.014
17976	5.988
7767	1.101
7604	0.350
7010	0.116
6163	3.471
6340	1.313
8560	1.789
11094	0.092
11023	0.007
11055	1.910
10786	0.221
7619	1.460
10755	2.335
11551	1.033
349	2.642
11035	0.139
11104	2.746
10795	1.636
10445	6.004
7849	3.661
17558	0.074
13439	12.735
13402	0.736
14840	4.846
13448	10.479
13619	6.197
7890	7.714
11882	9.397
11883	11.245
10540	15.440
7929	25.821
11897	28.830
11899	32.006
12017	35.348
12072	38.855
11900	42.529
11901	46.368
11146	50.373
11902	54.544
10542	72.887
11906	93.884
8878	0.223
11585	0.546
13837650	2.286
13853215	6.706
9392	6.706
7674	0.048
6156	10.087
18410	0.861
7024	0.005
15438	0.124
8896	2.074
14751	0.802
221117	0.041
7787	2.986
8908	4.064
8909	5.308
8910	8.294
6188	7.763
10265264	1.662
10179173	1.662
21800	0.041
10325078	7.803
6111	0.746
10265270	0.550
15765	0.041
10179239	0.550
69569	18.124
5730	12.849
13837281	5.899
9724	1.640
7662	4.986
13862559	4.986
7518	2.667
21106571	8.864
13864445	4.986
21106163	8.864
21106540	8.864
6339	10.531
38364	5.652
27488	5.652
11776	7.110
25677	8.864
158870	4.986
157093	4.986
83374	4.986
457144	4.986
135925	4.986
457145	4.986
84188	4.986
136000	4.986
135983	4.986
136001	4.986
136002	4.986
136003	4.986
84235	4.986
82755	8.864
82712	8.864
157094	8.864
103011	8.864
102798	8.864
82762	8.864
11974	12.639
56793	8.864
454495	8.864
40191	8.864
56791	8.864
35581	8.864
56774	13.850
82765	13.850
27793	8.864
82754	8.864
457138	8.864
102897	8.864
457139	8.864
102947	8.864
97173	8.864
102720	8.864
102801	8.864
102833	8.864
102721	8.864
102856	8.864
102933	8.864
103066	8.864
97172	8.864
106355	8.864
102741	13.850
97055	13.850
97198	13.850
34874	8.864
36972	8.864
56788	8.864
533188	8.864
35579	8.864
16182	8.864
46262	8.864
35580	8.864
82818	8.864
56790	8.864
56795	8.864
33458	8.864
82777	8.864
35584	8.864
56785	8.864
56792	8.864
34189	8.864
34859	19.943
84346	19.943
56760	19.943
56755	19.943
33666	19.943
36973	13.850
37744	13.850
46894	13.850
45444	13.850
56769	13.850
56780	13.850
34847	13.850
39406	13.850
35081	13.850
56781	13.850
56771	13.850
102834	13.850
102722	13.850
154865	13.850
96948	13.850
102743	13.850
102857	13.850
154866	13.850
106356	13.850
102787	13.850
97240	13.850
102742	13.850
97257	19.943
97224	19.943
102923	19.943
96868	19.943
96864	19.943
97234	19.943
97233	19.943
154062	19.943
97142	19.943
56782	27.145
36977	27.145
83414	27.145
84348	27.145
82823	27.145
36975	13.850
56778	13.850
43354	13.850
37779	13.850
45445	13.850
36974	13.850
35585	13.850
34848	13.850
84344	13.850
34850	13.850
82819	13.850
56772	13.850
82820	13.850
16415	13.850
56779	13.850
56768	13.850
56777	13.850
84345	13.850
34668	13.850
96965	27.145
33198	27.145
82783	19.943
34852	19.943
37000	19.943
37019	19.943
56765	19.943
39198	19.943
82740	19.943
56761	19.943
56756	19.943
56766	19.943
83413	19.943
34851	19.943
36976	19.943
56767	19.943
56763	19.943
56787	8.864
35583	8.864
82807	8.864
56794	8.864
33386	8.864
33457	8.864
47912	8.864
82817	8.864
46893	8.864
33280	8.864
35582	8.864
33304	8.864
46263	8.864
15827	35.455
33407	35.455
36985	35.455
35205	35.455
15637	35.455
82821	35.455
34853	19.943
37745	19.943
36978	19.943
34190	19.943
34191	19.943
36771	19.943
36710	19.943
56757	19.943
549017	19.943
84347	19.943
56764	19.943
56758	19.943
47914	19.943
56762	19.943
33984	19.943
33983	19.943
34860	27.145
82738	27.145
36982	27.145
36979	27.145
47915	27.145
56783	27.145
36981	27.145
37004	27.145
36980	27.145
82751	44.873
36989	44.873
33282	13.850
46285	13.850
46284	13.850
82806	13.850
56776	13.850
47913	13.850
32952	13.850
45446	13.850
43353	13.850
56773	13.850
33281	8.864
56786	8.864
56789	8.864
33456	8.864
46264	8.864
36990	35.455
35912	35.455
45448	35.455
36987	35.455
36988	35.455
33986	27.145
36983	27.145
36986	27.145
45447	27.145
35566	27.145
47916	27.145
46137	27.145
550258	27.145
33985	27.145
15484	55.398
34854	19.943
46136	19.943
82736	19.943
56759	19.943
36984	19.943
56775	13.850
56770	13.850
35206	44.873
34192	35.455
82822	35.455
35108	27.145
33316	19.943
21106570	13.850
23208	0.668
4514529	0.0
6132	1.498
9016	5.279
4514586	0.0
4514549	0.0
11083	1.057
6988	1.057
11366	3.142
1253	0.735
3102535	3.626
6186	8.898
13836549	8.284
13868660	4.685
457140	4.986
107412	3.427
12197	2.168
61346	4.431
6187	8.898
13866746	5.753
13857694	2.216
13866817	2.216
9253	6.222
83734	5.727
5977	2.615
29040	4.890
6108	2.727
10054	3.161
16841	3.999
13837280	3.037
9254	4.825
21106179	1.055
692	0.782
12201	1.803
6151	9.066
62827	2.518
8883	0.723
13837988	2.216
13875356	3.160
13875212	3.160
11038	5.331
2282428	5.798
9251	5.761
71312	6.821
11153	0.601
454215	4.420
15077490	7.322
2018165	1.849
6119	3.316
2293678	7.402
109705	10.852
10765	1.639
56442	1.814
4449912	1.814
22814	0.0
99596	4.162
13835316	2.849
6098	1.004
14694	4.205
13836674	2.142
13875160	1.922
23055	1.575
14829	3.358
6105	0.228
553742	1.117
6104	1.151
558928	1.117
6086	0.882
2056044	9.332
3441	6.296
