Compound Id	BCUT [BCUTp-1h]
6191	3.4715
6153	2.2738
16425	4.9920
6190	5.5128
11919	9.0930
67991	7.7091
291	2.612
6084	3.9795
6094	5.1457
7555	5.7685
6120	6.3941
7712	6.3845
6308	7.0133
9646	7.6484
10781	9.2184
15802	8.4279
17976	8.9043
7767	6.6999
7604	7.3276
7010	7.6420
6163	8.2708
6340	7.6486
8560	7.0133
11094	7.4848
11023	7.9564
11055	8.5851
10786	8.2708
7619	7.6488
10755	8.8995
11551	8.2708
349	7.1715
11035	8.1136
11104	7.6491
10795	8.8995
10445	8.9043
7849	7.3277
17558	7.6027
13439	9.2186
13402	10.1570
14840	7.4073
13448	9.0616
13619	7.4849
7890	7.5252
11882	7.5636
11883	7.5843
10540	7.6140
7929	7.6375
11897	7.6404
11899	7.6428
12017	7.6448
12072	7.6466
11900	7.6482
11901	7.6497
11146	7.6511
11902	7.6524
10542	7.6575
11906	7.6622
8878	7.8994
11585	8.3735
13837650	6.8108
13853215	6.5354
9392	7.5579
7674	7.8268
6156	6.5844
18410	8.6274
7024	7.4640
15438	8.4006
8896	6.2911
14751	8.4505
221117	8.4455
7787	6.6538
8908	7.0166
8909	7.1980
8910	7.4701
6188	8.5809
10265264	7.9888
10179173	7.9888
21800	8.4455
10325078	8.7143
6111	4.84
10265270	9.2390
15765	8.4455
10179239	9.2390
69569	7.6415
5730	10.4394
13837281	9.7972
9724	9.7216
7662	9.2070
13862559	9.6664
7518	9.6009
21106571	10.3999
13864445	10.1591
21106163	9.9158
21106540	10.6481
6339	13.2116
38364	10.8234
27488	11.3161
11776	10.9320
25677	12.3346
158870	10.8361
157093	10.3498
83374	10.5773
457144	11.0663
135925	11.3531
457145	10.8361
84188	10.8218
136000	10.8218
135983	10.6109
136001	10.8218
136002	11.3315
136003	10.5980
84235	10.1148
82755	11.0797
82712	11.5553
157094	10.8404
103011	11.3108
102798	11.9498
82762	11.0833
11974	12.0994
56793	12.3336
454495	12.0891
40191	12.0891
56791	11.9668
35581	12.0891
56774	12.8226
82765	12.5781
27793	11.3035
82754	11.2221
457138	11.0998
102897	11.2221
457139	11.5553
102947	11.5553
97173	11.0673
102720	11.3108
102801	11.7998
102833	11.0673
102721	11.3108
102856	11.7998
102933	11.0832
103066	11.5553
97172	10.3561
106355	11.7998
102741	11.8008
97055	11.5696
97198	12.0443
34874	11.6011
36972	11.6001
56788	11.4778
533188	11.8446
35579	11.6011
16182	11.2439
46262	11.6001
35580	11.4897
82818	12.0891
56790	12.0891
56795	11.9668
33458	12.3336
82777	11.8446
35584	11.7223
56785	11.8446
56792	11.7223
34189	11.6117
34859	13.0681
84346	13.0671
56760	12.9448
56755	13.3116
33666	12.7013
36973	12.5781
37744	12.5781
46894	12.2113
45444	12.4558
56769	12.8226
56780	12.3346
34847	12.5781
39406	12.3336
35081	12.2113
56781	12.2113
56771	12.3336
102834	12.0443
102722	11.5553
154865	11.5553
96948	11.5553
102743	12.0443
102857	11.3444
154866	11.7998
106356	12.0443
102787	12.0443
97240	12.2888
102742	12.2888
97257	12.5333
97224	12.2888
102923	12.5343
96868	11.8008
96864	11.8008
97234	12.2888
97233	12.5333
154062	12.2888
97142	12.5343
56782	13.3116
36977	13.5561
83414	13.1893
84348	13.5561
82823	13.4338
36975	11.8446
56778	12.0891
43354	11.7223
37779	12.0891
45445	11.9668
36974	12.0891
35585	11.8446
34848	11.7223
84344	12.3336
34850	12.2113
82819	12.5781
56772	12.3336
82820	12.2113
16415	12.5781
56779	12.4558
56768	11.9668
56777	12.0891
84345	11.9668
34668	11.8446
96965	12.7778
33198	13.0223
82783	12.8226
34852	12.7003
37000	13.0671
37019	12.8226
56765	12.7003
39198	12.4558
82740	13.0671
56761	12.5781
56756	12.8226
56766	12.9448
83413	12.5781
34851	12.7003
36976	13.0671
56767	12.4558
56763	12.2113
56787	11.3668
35583	11.2333
82807	11.6001
56794	11.3556
33386	11.3056
33457	11.6001
47912	11.4778
82817	11.3556
46893	11.1111
33280	11.2333
35582	11.3556
33304	11.2333
46263	11.1111
15827	13.2678
33407	13.4348
36985	13.8006
35205	13.6783
15637	13.8016
82821	13.6783
34853	11.9678
37745	12.3336
36978	12.2113
34190	12.3346
34191	12.2113
36771	12.3336
36710	12.2113
56757	12.4558
549017	12.8226
84347	12.5781
56764	12.7003
56758	12.4558
47914	12.8226
56762	12.7003
33984	11.9678
33983	11.9678
