Compound Id	BCUT [BCUTp-1l]
558928	5.2662
6086	2.8285
2056044	2.8904
3441	3.7445
6130	3.8917
12577	2.4444
34863	6.9197
34866	6.8271
34665	6.3585
34664	6.4641
37904	6.7907
34864	6.4030
34188	6.5724
34865	6.1446
34868	6.3724
37905	6.7448
34869	6.1293
37918	6.6474
37915	6.3432
34867	6.3724
25605	6.7448
26011	6.1293
34870	6.6030
34666	6.5853
21924	6.1216
34667	6.3265
34871	6.3418
34873	6.1064
56784	6.7143
34872	6.1140
8351654	3.3957
22408	1.161
73583	3.7653
2340753	4.2756
10325184	4.5683
21111806	3.8268
21108550	3.8325
9325	3.8110
9228	3.9614
4444456	5.2530
11708	9.6699
6093	5.5384
6148	3.5008
13838404	8.2538
6179	7.0603
748	2.3345
9256	2.4214
10614293	5.9119
11109	5.0436
24142	5.1173
13622	5.1172
16180	5.1170
7891	5.1229
29025	5.1102
12635	5.1156
11121	5.0885
7713	4.9626
12809	5.1192
7833	5.1029
7556	4.7995
7954	4.4661
555074	5.1088
4516601	5.1179
4483639	5.0542
4516599	5.1401
4512361	5.1179
4483638	5.0542
4512642	5.1401
6085	3.6910
8544	6.2215
7788	6.5718
6149	4.8711
10053	6.6789
11117	6.6170
6827	6.9563
7676	5.8810
13875281	6.1959
13875230	6.0127
6128	2.5228
391	3.974
71390	4.4711
2916	6.6952
558875	6.7136
12446	5.1630
7957	5.1705
10113	5.2911
6087	3.9674
18971812	3.9321
13299573	3.1580
3631	2.8210
15755	6.4585
67470	6.2751
15756	6.2741
15524	6.2435
14441700	3.8110
2062437	3.5651
11911	6.0832
11154	6.6890
30713	4.0088
21106172	5.6944
127983	1.6090
11148	1.9204
10512	5.0822
10526	5.0998
24590970	4.5934
11865	5.1086
6042	6.5713
13875320	6.5464
7673	6.6325
13875258	5.9627
13875392	6.1573
21108548	4.1769
14995	6.6630
14994	6.6599
15475	6.7030
15478	6.6989
518	N/A
967	6.1834
12499	3.8003
71433	4.9001
9484	2.4772
11099	5.0061
11110	5.0653
11086	6.0211
14692	5.1206
24263	6.2814
11857	6.8953
391428	6.2814
6309	5.2169
7557	4.8872
558883	5.0857
56020	5.0857
553642	7.0590
16791	4.8338
454209	3.4659
9633	3.1882
9377	3.1587
9243	2.5692
923	2.2776
7850	5.1130
7714	5.0470
10437	4.9306
6097	4.6162
6083	5.1244
10487	5.9584
9614	3.8392
13861343	4.0945
11756	2.7223
15476	6.3362
274	1.9476
56144	4.0027
11864	4.3031
11845	4.3567
6125	5.5933
12456	4.3911
17880	4.3862
7558	4.0816
29036	7.0972
1087	4.0756
7001	5.4499
10606755	2.8637
55075	6.4619
13868640	7.2368
11351244	7.1620
7090	3.4215
7553	5.3080
61213	3.6405
23886	6.7965
33421	6.7601
15477	6.7853
26010	6.7295
30600	6.3418
33455	6.3279
33934	6.1140
33932	6.4029
15473	6.3103
17099	6.5724
17098	6.0987
33933	6.5242
15474	6.0901
63863	3.5448
454638	6.9708
6121	5.2450
6315	5.2932
7330	6.2926
6307	5.8992
12219	5.1198
7848	5.1222
11863	5.1269
7810	5.1363
7766	5.1551
7711	5.1927
7552	5.2680
6092	5.4183
6088	7.4144
26516	6.6480
11087	6.9187
8543	5.1682
12209	4.2409
9286	2.4673
11806	4.2388
6342	6.5680
120464	5.7667
7733	4.5951
7738	4.9345
21111820	6.0794
8329688	3.9298
6735	7.0935
92731	3.4203
6326	5.5887
19766	5.6944
6665	3.6020
512621	4.6133
9642	4.3270
10124	5.8886
6118	6.0491
12010	5.2083
11830	5.2991
10497	5.4806
31029	5.8429
10340	5.2105
1108	5.7682
236	6.0934
13875283	3.9178
13840690	5.56
6737	6.5377
6789	6.2140
15620	6.5809
2927	6.1783
3973	4.0504
12442	3.3414
6095	3.7672
10675065	2.9535
11961	6.4433
21111772	6.2629
12228	N/A
1406720	7.2441
6364	6.7302
7180	6.2148
7182	6.2160
10669	6.1254
55090	5.6091
61487	5.8993
6100	6.5665
10410	5.91
13492	5.1275
15747	5.1225
13487	5.1376
7385	5.2788
10404	5.1578
7419	5.1982
7219	5.4476
7739	6.8432
9903	6.8228
8868	5.9307
16159	5.8616
13300034	6.1402
2018460	3.9550
61149	2.9077
11954	6.2629
13029	5.8167
13875432	4.8387
7151	3.9799
63054	3.8572
7098	3.4560
9095782	3.4152
6635	7.2734
8356	5.6017
7128	6.0753
15461	5.9160
7521	5.84
7641	5.9189
7672	6.9429
6967	6.0765
21168808	6.5685
7220	5.4791
8876	6.8506
2928	6.1972
13030	5.5722
13875441	4.9833
10975	3.6785
10870	3.7396
218253	6.6752
15488	6.2807
6122	7.1959
11727	2.7981
6316	5.4196
12674	6.6469
8097	6.9134
21106032	5.2032
551	6.8377
15621	6.2139
6106	10.1321
38403	2.5634
7551	6.5453
21111822	5.9561
7681	6.6192
8140	5.2054
9360	3.8980
61191	3.4413
66675	5.0972
20939	6.1896
6999	6.3127
7088	6.6363
8531	5.5583
7448	5.4991
11660	5.4869
8335	5.6766
11409	5.6048
7248	5.5577
11661	5.5184
221082	5.4467
67653	5.2361
10831	6.4973
26260	6.2925
2283071	6.5273
21112738	4.2562
66567	3.1835
65	5.3277
11769	5.2696
15489	6.0834
6828	6.6369
7183	5.9190
7659	6.0764
10253	6.2325
6977	5.9978
10236	6.2341
7129	6.1198
10829	6.4973
68437	6.5675
906	6.8662
8067	7.4717
14198	6.4401
10979	6.2016
7181	6.2220
13836713	5.2814
6103	5.3727
7170	6.2281
10534	7.0861
21171407	5.8805
71437	8.2244
13063	5.6115
13851576	6.5951
7302	6.4984
2915	7.3814
62826	3.1750
11369	7.6334
10857	5.3277
13875219	4.7164
13842573	4.7887
10432	4.9319
541032	5.6846
17619	3.7781
4611	3.7618
9990	4.5301
28993	5.5742
7815	5.1329
7560	5.2412
7721	5.1793
12259	6.4745
11667	4.7217
10851	6.1353
10813	6.5760
8807	7.3633
16641	2.6250
11731	7.4276
8950	5.3188
13677	5.7754
6736	6.4187
10849	6.1746
15619	6.1886
4932499	6.4683
6057	6.1667
13860817	6.0184
11778	5.8962
12640	5.0394
6480	5.9076
776	6.6216
13047	6.0612
18707	5.2734
21106018	4.8736
6402	6.5773
68179	3.1027
10850	6.2532
9350	3.8686
10664	3.6230
8577	5.1184
14349	5.1289
7852	5.1308
14680	5.1252
7776	5.1484
7420	5.3251
66565	3.6553
6592	7.0344
21106020	3.6547
13853953	3.8381
10364	4.7166
13860720	5.7739
6633	5.5683
69371	6.0819
6478	7.3212
6788	6.0901
73412	5.2759
10909	6.1097
10918	6.1294
21168831	5.4053
10841	6.4103
15861	6.4496
21106146	3.6722
21106013	3.7158
21106036	3.5794
9187483	6.6641
7736	5.6285
