Compound Id	ChiPathCluster [SPC-6]
12635	0.0
11121	0.0
7713	0.0
12809	0.0
7833	0.0
7556	0.0
7954	0.0
555074	0.0
4516601	0.0
4483639	0.0
4516599	0.0
4512361	0.0
4483638	0.0
4512642	0.0
6085	0.0
8544	0.0
7788	0.0
6149	0.0
10053	0.0
11117	0.0
6827	1.886
7676	0.408
13875281	1.138
13875230	1.020
6128	0.0
391	0.0
71390	0.0
2916	0.0
558875	0.0
12446	0.0
7957	0.0
10113	0.0
6087	0.0
18971812	0.0
13299573	2.652
3631	2.357
15755	4.001
67470	3.748
15756	3.485
15524	3.544
14441700	0.0
2062437	0.0
11911	0.0
11154	0.0
30713	0.0
21106172	3.277
127983	0.0
11148	0.0
10512	0.0
10526	0.0
24590970	0.0
11865	0.0
6042	0.0
13875320	1.138
7673	0.408
13875258	1.138
13875392	1.020
21108548	1.138
14995	4.438
14994	4.326
15475	4.231
15478	3.836
518	N/A
967	7.020
12499	7.020
71433	0.0
9484	0.0
11099	0.0
11110	0.0
11086	0.408
14692	0.0
24263	3.108
11857	0.0
391428	3.108
6309	0.0
7557	0.0
558883	0.0
56020	0.0
553642	0.0
16791	0.0
454209	0.0
9633	0.0
9377	0.0
9243	0.0
923	0.0
7850	0.0
7714	0.0
10437	0.0
6097	0.0
6083	0.0
10487	0.408
9614	0.408
13861343	0.0
11756	0.0
15476	4.013
274	0.0
56144	3.320
11864	0.0
11845	0.0
6125	0.0
12456	0.0
17880	0.0
7558	0.0
29036	0.0
1087	0.0
7001	3.374
10606755	3.320
55075	7.020
13868640	1.138
11351244	0.766
7090	2.151
7553	0.0
61213	0.0
23886	4.374
33421	4.392
15477	4.370
26010	4.204
30600	3.744
33455	3.741
33934	3.564
33932	4.1
15473	3.385
17099	3.420
17098	3.131
33933	3.527
15474	2.880
63863	2.652
454638	13.701
6121	0.0
6315	0.0
7330	0.0
6307	0.0
12219	0.0
7848	0.0
11863	0.0
7810	0.0
7766	0.0
7711	0.0
7552	0.0
6092	0.0
6088	0.0
26516	0.637
11087	0.408
8543	0.0
12209	0.0
9286	0.0
11806	0.0
6342	0.0
120464	0.0
7733	0.0
7738	0.0
21111820	0.0
8329688	0.0
6735	3.033
92731	1.5
6326	0.0
19766	5.039
6665	6.807
512621	N/A
9642	0.0
10124	0.0
6118	0.0
12010	0.0
11830	0.0
10497	0.0
31029	0.0
10340	0.0
1108	0.408
236	0.0
13875283	1.138
13840690	0.493
6737	3.033
6789	2.711
15620	5.915
2927	5.395
3973	0.408
12442	0.0
6095	0.0
10675065	1.361
11961	3.277
21111772	3.374
12228	N/A
1406720	13.363
6364	5.705
7180	1.498
7182	1.498
10669	1.498
55090	0.0
61487	0.0
6100	0.0
10410	1.093
13492	0.650
15747	0.650
13487	0.650
7385	0.637
10404	0.650
7419	0.679
7219	0.493
7739	0.0
9903	1.414
8868	1.414
16159	0.236
13300034	5.539
2018460	0.816
61149	6.598
11954	3.511
13029	3.511
13875432	1.020
7151	4.235
63054	5.039
7098	3.298
9095782	0.0
6635	2.607
8356	1.374
7128	1.040
15461	2.541
7521	1.138
7641	1.020
7672	0.408
6967	1.138
21168808	0.0
7220	0.493
8876	1.414
2928	7.531
13030	3.277
13875441	1.020
10975	4.006
10870	4.682
218253	3.059
15488	2.634
6122	0.0
11727	0.0
6316	0.0
12674	1.886
8097	1.886
21106032	0.0
551	4.513
15621	5.311
6106	0.0
38403	2.357
7551	0.0
21111822	1.138
7681	0.408
8140	2.076
9360	1.020
61191	2.490
66675	0.0
20939	1.498
6999	3.374
7088	2.151
8531	1.352
7448	1.040
11660	1.069
8335	1.609
11409	1.305
7248	1.240
11661	1.069
221082	0.637
67653	0.0
10831	4.326
26260	5.214
2283071	6.448
21112738	0.0
66567	6.375
65	2.076
11769	1.020
15489	2.383
6828	1.886
7183	1.498
7659	1.747
10253	2.134
6977	2.076
10236	2.190
7129	1.040
10829	4.438
68437	5.829
906	1.886
8067	7.020
14198	4.893
10979	1.498
7181	1.498
13836713	0.0
6103	0.0
7170	2.566
10534	0.0
21171407	0.0
71437	6.080
13063	2.721
13851576	0.493
7302	1.579
2915	4.513
62826	0.408
11369	3.277
10857	2.190
13875219	1.138
13842573	1.138
10432	1.138
541032	5.039
17619	N/A
4611	0.754
9990	0.0
28993	0.346
7815	0.0
7560	0.0
7721	0.0
12259	5.039
11667	1.069
10851	3.748
10813	4.370
8807	4.496
16641	0.0
11731	0.0
8950	0.637
13677	3.264
6736	3.033
10849	4.013
15619	4.991
4932499	6.505
6057	5.395
13860817	2.076
11778	1.747
12640	0.0
6480	2.475
776	1.414
13047	5.039
18707	2.076
21106018	2.076
6402	4.893
68179	0.0
10850	4.001
9350	1.138
10664	1.982
8577	0.0
14349	0.0
7852	0.0
14680	0.0
7776	0.0
7420	0.679
66565	1.020
6592	4.513
21106020	1.498
13853953	2.134
10364	0.493
13860720	2.076
6633	2.190
69371	2.652
6478	4.496
6788	2.711
73412	0.0
10909	3.544
10918	3.485
21168831	0.637
10841	4.231
15861	5.010
21106146	1.982
21106013	1.982
21106036	2.771
9187483	4.209
7736	0.0
21106169	0.0
12821	1.240
10400	1.337
1095	0.0
70682	0.0
11862	0.0
12044	3.059
12045	2.634
12047	2.383
12699	5.938
10864	2.134
7568	0.0
9326	1.138
10980	1.498
955	1.498
10772050	0.0
6079	1.498
9461	0.707
7817	0.0
7732	0.0
1039	0.0
11871	0.0
7786	0.0
9581	1.240
7710	0.0
7809	0.0
7765	0.0
13872122	0.679
2923	2.357
9574	1.982
10972	1.982
11294	4.438
6588	4.209
6642	7.020
13875196	1.069
10908	3.836
12682	4.620
21106144	2.134
13863774	1.498
7138	1.040
66655	3.259
24326358	3.563
7238	0.493
12069	0.144
191367	0.144
11799	0.204
21106014	1.305
12478	1.069
7315	2.250
23150	2.652
11729	0.0
14866	2.490
21105959	1.305
13865438	1.069
21106135	1.240
7383	0.637
62534	1.224
62408	1.589
7389	0.637
13869451	1.020
6974	1.138
7961	0.0
13835772	1.138
971	0.408
11588	1.498
8800	8.260
66656	N/A
21106019	1.069
7615	0.0
13647	1.040
7013	0.0
6135	0.0
13854248	1.138
13869339	1.138
13837686	1.138
13839082	1.138
553649	1.337
10536	0.0
7239	0.493
7391	0.637
21111817	1.305
6102	0.0
4444102	9.028
69982	6.598
9233	0.0
387	0.0
7299	1.579
7224	0.493
5739	7.179
8804	10.548
6338	0.0
13863618	1.305
278	0.0
29153	8.110
5979	0.0
7827	0.0
18607	0.0
18219	0.0
11783	0.408
10586285	6.093
21105871	1.020
6739	3.033
434	1.982
10205670	0.0
24043	0.0
68676	2.964
6852	2.721
7546	0.0
15495	2.669
10328	1.138
7145	1.982
13846959	1.498
937	0.0
9363	0.408
62632	0.0
78998	0.0
11884	0.0
16177	0.0
15853	0.0
67360	0.0
11866	0.0
15846	0.0
29026	0.0
11846	0.0
7770	0.0
7717	0.0
19475	0.0
7685	0.408
87265	1.069
21106148	1.488
8817	7.629
7566	0.0
13853943	2.134
15486	0.348
18920	0.144
9391	0.0
28982	1.069
13839110	1.747
9824	6.417
11434292	N/A
65763	2.816
68328	3.664
331	2.134
21169510	1.443
7689	0.408
63906	1.069
2246	11.097
13837787	2.134
13839151	2.190
13865680	1.305
11604	1.240
12060	1.224
14678	1.267
11489	2.404
2991	2.983
21106365	4.325
23101	5.393
55123	0.0
12012	0.0
11125	0.0
7782	0.0
7734	0.0
7577	0.0
13630	0.408
7278	1.260
6781	2.588
13839128	2.076
7202	1.488
235	0.493
11584	1.853
13571291	0.0
6807	3.420
13839174	2.190
13839105	2.076
13846663	2.490
8657	1.240
11589	1.488
9579	1.498
11755	0.0
7761	0.144
10492	0.204
11784	0.408
11785	0.408
6311	0.0
21106524	1.305
89076	1.896
14227	1.982
19476	0.204
2185	1.337
62484	1.853
6838	3.651
10257	3.731
8799	11.231
10498	0.0
9349	1.138
13839123	2.076
11576	2.722
8071	2.134
21105795	1.240
8374	1.530
11761	0.236
7956	0.0
6794	1.540
924	1.040
12637	0.0
6775	1.609
5889	0.408
21106091	2.911
3951	0.0
763	0.0
5882	1.943
7140	1.982
238	1.040
9994	0.0
61001	3.713
2003	27.891
21168826	1.240
20124	2.711
8816	8.643
8788	11.776
11672	1.040
29008	0.0
6550	3.997
6688	6.332
61538	3.511
10246	3.277
79969	1.685
15093	1.685
7176	1.853
6840	4.325
7616	0.0
61111	0.408
4446445	0.0
4444608	0.0
394562	0.0
30595	2.614
8899	0.0
13876539	0.637
62310	2.704
7234	0.493
16804	7.020
21105998	2.771
12244	3.277
61411	5.039
6333	0.0
6706	3.358
8060	3.368
8341	2.711
10441	0.0
11833	0.0
6406	0.236
13835126	1.498
65701	1.498
6023	1.374
5678	10.042
10248	3.277
69177	5.039
10244	5.039
9911	3.374
1005	0.0
8552	0.144
7803	0.144
171	0.0
122090	6.460
8070	2.134
13846749	2.020
13859497	2.250
10652594	N/A
11841	0.236
11749	0.0
8569	0.0
