Compound Id	ChiCluster [SC-3]
12635	0.0
11121	0.0
7713	0.0
12809	0.0
7833	0.0
7556	0.0
7954	0.0
555074	0.0
4516601	0.0
4483639	0.0
4516599	0.0
4512361	0.0
4483638	0.0
4512642	0.0
6085	0.0
8544	0.0
7788	0.0
6149	2.0
10053	2.0
11117	0.0
6827	0.333
7676	0.289
13875281	0.471
13875230	0.577
6128	0.577
391	0.0
71390	0.577
2916	0.0
558875	0.0
12446	0.408
7957	0.577
10113	0.408
6087	0.0
18971812	2.5
13299573	3.121
3631	1.978
15755	0.827
67470	0.827
15756	0.911
15524	0.911
14441700	1.561
2062437	1.655
11911	1.561
11154	0.0
30713	0.667
21106172	0.953
127983	0.0
11148	0.0
10512	0.0
10526	0.0
24590970	1.655
11865	0.0
6042	2.0
13875320	0.471
7673	0.289
13875258	0.577
13875392	0.577
21108548	0.577
14995	0.744
14994	0.744
15475	0.731
15478	0.805
518	N/A
967	1.155
12499	1.155
71433	1.561
9484	2.0
11099	0.0
11110	0.0
11086	0.289
14692	0.0
24263	1.435
11857	0.0
391428	1.435
6309	0.408
7557	0.0
558883	0.0
56020	0.0
553642	0.0
16791	0.0
454209	1.561
9633	0.0
9377	0.0
9243	0.0
923	0.0
7850	0.0
7714	0.0
10437	0.0
6097	0.0
6083	0.0
10487	0.289
9614	0.289
13861343	1.655
11756	0.408
15476	0.827
274	0.0
56144	2.366
11864	0.0
11845	0.0
6125	0.577
12456	0.0
17880	0.0
7558	0.0
29036	0.577
1087	0.0
7001	0.943
10606755	2.366
55075	1.155
13868640	0.577
11351244	0.408
7090	1.510
7553	0.0
61213	1.561
23886	0.744
33421	0.749
15477	0.749
26010	0.731
30600	0.827
33455	0.827
33934	0.827
33932	0.827
15473	0.911
17099	0.805
17098	0.911
33933	0.911
15474	0.911
63863	3.121
454638	2.095
6121	0.577
6315	0.408
7330	0.0
6307	0.408
12219	0.0
7848	0.0
11863	0.0
7810	0.0
7766	0.0
7711	0.0
7552	0.0
6092	0.0
6088	0.0
26516	0.204
11087	0.289
8543	0.0
12209	0.0
9286	0.667
11806	0.0
6342	0.667
120464	1.207
7733	0.0
7738	0.0
21111820	0.289
8329688	1.561
6735	0.538
92731	1.488
6326	0.408
19766	1.049
6665	2.242
512621	N/A
9642	0.0
10124	0.667
6118	0.577
12010	0.0
11830	0.0
10497	0.0
31029	0.0
10340	0.289
1108	0.289
236	0.0
13875283	0.577
13840690	0.204
6737	0.538
6789	0.622
15620	0.954
2927	1.355
3973	1.339
12442	0.0
6095	0.0
10675065	0.977
11961	0.953
21111772	0.943
12228	N/A
1406720	2.260
6364	1.388
7180	0.789
7182	0.789
10669	0.789
55090	1.561
61487	1.561
6100	0.0
10410	0.612
13492	0.204
15747	0.204
13487	0.204
7385	0.204
10404	0.204
7419	0.204
7219	0.204
7739	0.0
9903	0.333
8868	0.333
16159	0.569
13300034	1.877
2018460	1.570
61149	2.232
11954	0.856
13029	0.856
13875432	0.577
7151	1.164
63054	1.049
7098	1.799
9095782	2.5
6635	1.052
8356	0.402
7128	0.5
15461	1.195
7521	0.577
7641	0.577
7672	0.289
6967	0.471
21168808	0.289
7220	0.204
8876	0.333
2928	2.373
13030	0.953
13875441	0.577
10975	1.289
10870	1.228
218253	0.538
15488	0.622
6122	0.577
11727	0.0
6316	0.408
12674	0.333
8097	0.333
21106032	0.0
551	0.605
15621	1.032
6106	0.0
38403	1.978
7551	0.0
21111822	0.577
7681	0.289
8140	0.760
9360	0.577
61191	1.799
66675	2.5
20939	0.789
6999	0.943
7088	1.510
8531	0.408
7448	0.408
11660	0.493
8335	0.333
11409	0.402
7248	0.493
11661	0.493
221082	0.204
67653	0.0
10831	0.744
26260	1.038
2283071	1.215
21112738	0.0
66567	3.25
65	0.760
11769	0.577
15489	0.622
6828	0.333
7183	0.789
7659	0.866
10253	0.705
6977	0.760
10236	0.664
7129	0.5
10829	0.744
68437	0.936
906	0.333
8067	1.155
14198	1.409
10979	0.789
7181	0.789
13836713	0.0
6103	0.0
7170	1.0
10534	0.0
21171407	0.0
71437	1.539
13063	0.537
13851576	0.204
7302	0.408
2915	0.605
62826	1.339
11369	0.953
10857	0.664
13875219	0.577
13842573	0.577
10432	0.577
541032	1.049
17619	N/A
4611	0.612
9990	0.0
28993	0.697
7815	0.0
7560	0.0
7721	0.0
12259	1.049
11667	0.493
10851	0.827
10813	0.749
8807	0.611
16641	0.0
11731	0.0
8950	0.204
13677	0.469
6736	0.538
10849	0.827
15619	1.116
4932499	1.128
6057	1.355
13860817	0.760
11778	0.866
12640	0.289
6480	0.538
776	0.333
13047	1.049
18707	0.760
21106018	0.760
6402	1.409
68179	0.0
10850	0.827
9350	0.577
10664	0.789
8577	0.0
14349	0.0
7852	0.0
14680	0.0
7776	0.0
7420	0.204
66565	0.577
6592	0.605
21106020	0.789
13853953	0.705
10364	0.204
13860720	0.760
6633	0.664
69371	3.121
6478	0.611
6788	0.622
73412	0.0
10909	0.911
10918	0.911
21168831	0.204
10841	0.731
15861	1.010
21106146	0.789
21106013	0.789
21106036	0.994
9187483	0.955
7736	0.0
21106169	1.561
12821	0.493
10400	0.408
1095	0.0
70682	0.0
11862	0.0
12044	0.538
12045	0.622
12047	0.622
12699	0.811
10864	0.705
7568	0.0
9326	0.471
10980	0.789
955	0.789
10772050	1.655
6079	0.789
9461	1.561
7817	0.0
7732	0.0
1039	0.0
11871	0.0
7786	0.0
9581	0.493
7710	0.0
7809	0.0
7765	0.0
13872122	0.204
2923	0.607
9574	0.789
10972	0.789
11294	0.744
6588	0.772
6642	1.155
13875196	0.493
10908	0.805
12682	1.093
21106144	0.705
13863774	0.789
7138	0.5
66655	2.768
24326358	0.896
7238	0.204
12069	0.408
191367	0.408
11799	0.408
21106014	0.402
12478	0.493
7315	0.697
23150	3.121
11729	0.0
14866	1.714
21105959	0.402
13865438	0.493
21106135	0.493
7383	0.204
62534	0.493
62408	0.402
7389	0.204
13869451	0.577
6974	0.471
7961	1.561
13835772	0.471
971	0.289
11588	0.789
8800	0.822
66656	N/A
21106019	0.493
7615	0.408
13647	0.5
7013	0.289
6135	0.577
13854248	0.471
13869339	0.577
13837686	0.471
13839082	0.577
553649	0.408
10536	0.0
7239	0.204
7391	0.204
21111817	0.402
6102	0.0
4444102	1.843
69982	2.232
9233	0.0
387	0.667
7299	0.408
7224	0.204
5739	0.939
8804	1.155
6338	0.408
13863618	0.402
278	0.0
29153	0.889
5979	2.5
7827	0.0
18607	0.0
18219	0.0
11783	0.289
10586285	1.972
21105871	0.577
6739	0.538
434	0.789
10205670	0.408
24043	0.204
68676	0.874
6852	0.537
7546	0.204
15495	0.607
10328	0.471
7145	0.789
13846959	0.789
937	0.0
9363	0.289
62632	0.0
78998	0.0
11884	0.0
16177	0.0
15853	0.0
67360	0.0
11866	0.0
15846	0.0
29026	0.0
11846	0.0
7770	0.0
7717	0.0
19475	0.289
7685	0.289
87265	0.493
21106148	0.704
8817	0.878
7566	0.0
13853943	0.705
15486	0.289
18920	0.408
9391	1.655
28982	0.493
13839110	0.866
9824	0.737
11434292	N/A
65763	0.902
68328	2.414
331	0.705
21169510	1.570
7689	0.289
63906	0.493
2246	1.161
13837787	0.705
13839151	0.664
13865680	0.402
11604	0.493
12060	0.493
14678	0.493
11489	0.622
2991	0.526
21106365	0.667
23101	4.328
55123	0.0
12012	0.0
11125	0.0
7782	0.0
7734	0.0
7577	0.0
13630	0.289
7278	0.493
6781	0.636
13839128	0.760
7202	0.704
235	0.204
11584	0.691
13571291	0.0
6807	0.805
13839174	0.664
13839105	0.760
13846663	1.799
8657	0.493
11589	0.704
9579	0.789
11755	0.408
7761	0.408
10492	0.408
11784	0.289
11785	0.289
6311	0.408
21106524	0.402
89076	0.612
14227	0.789
19476	0.289
2185	0.408
62484	0.691
6838	0.667
10257	0.939
8799	1.094
10498	0.0
9349	0.577
13839123	0.760
11576	0.971
8071	0.705
21105795	0.493
8374	0.402
11761	0.816
7956	0.0
6794	0.333
924	0.5
12637	0.0
6775	0.333
5889	0.289
21106091	1.483
3951	0.667
763	0.0
5882	1.0
7140	0.789
238	0.5
9994	0.0
61001	2.010
2003	2.686
21168826	0.493
20124	0.622
8816	0.816
8788	1.1
11672	0.408
29008	0.0
6550	0.744
6688	1.631
61538	0.856
10246	0.953
79969	0.704
15093	0.901
7176	0.691
6840	0.667
7616	0.408
61111	0.289
4446445	0.0
4444608	0.0
394562	0.0
30595	0.607
8899	0.0
13876539	0.204
62310	0.607
7234	0.204
16804	1.155
21105998	0.994
12244	0.953
61411	1.049
6333	0.408
6706	0.994
8060	0.812
8341	0.622
10441	0.0
11833	0.0
6406	0.569
13835126	0.789
65701	0.789
6023	0.402
5678	1.211
10248	0.953
69177	1.049
10244	1.049
9911	0.943
1005	0.408
8552	0.408
7803	0.408
171	0.577
122090	4.048
8070	0.705
13846749	0.691
13859497	0.537
10652594	N/A
11841	0.816
11749	0.408
8569	0.0
