Compound Id	VP
2	2.04
4	3.84
6	3.82
7	1.17
8	3.16
9	1.59
12	3.37
13	4.39
14	3.69
15	2.51
27	-4.21
32	-0.26
39	1.88
41	-1.5
42	-2.76
55	3.3
57	2.34
62	2.23
74	3.3
77	1.52
78	0.81
83	-0.8
85	-2.01
100	1.93
101	1.62
112	-4.82
119	1.46
127	-0.46
133	-1.3
135	3.35
148	-2.87
154	-2.42
157	0.21
161	-3.13
168	-6.37
