Compound Id	Hydrophobicity
1	0.03
2	0.37
3	1.42
4	0.14
5	0.20
6	0.81
7	-1.00
8	0.50
9	0.85
10	1.59
11	2.65
12	0.23
13	2.10
14	0.28
15	0.48
16	0.95
17	-0.86
18	0.15
19	1.73
20	2.79
21	0.45
22	0.93
23	2.09
24	0.18
25	0.18
26	0.56
27	0.91
28	1.96
29	0.36
30	1.21
31	0.89
32	0.34
33	0.52
34	1.05
35	2.10
36	3.37
37	3.80
38	4.36
39	4.89
