Compound Id	c
13837650	0.183
29015	0.123
258	0.165
7714	0.222
7882	-0.058
7837	0.035
7812	0.115
932	-0.034
6040	0.15
1004	0.139
10445	0.32
6320	0.127
6312	0.188
6146	0.211
21011	0.115
3644	0.099
29000	0.073
175	0.313
6102	0.413
236	0.142
7224	0.097
7673	-0.017
6321	0.246
29012	0.248
5730	0.199
7676	0.065
5977	0.191
7787	0.159
7679	0.038
14840	0.186
8569	0.176
121365	0.332
6104	0.319
3168	0.35
12181	0.213
7890	0.114
682	0.222
8525	0.328
7219	0.093
9614	0.139
8560	0.297
7767	0.333
864	0.276
6335	0.351
14672	0.341
7674	0.246
7641	0.122
11752	0.284
11815	0.22
13014	0.056
6334	0.09
28994	0.114
12814	0.147
7849	0.24
349	0.231
6967	0.083
7712	0.369
7636	0.004
7521	0.166
29080	0
7737	0.223
1108	0.125
13619	0.058
