Compound Id	Logarithmic effective membrane permeability at pH 7.4
B1	-4.95
B2	-4.91
B3	-4.55
B4	-5.95
B5	-4.5
B6	-6.45
B7	-6.83
B8	-5.31
B9	-6.3
B10	-5.1
B11	-6.19
B12	-4.75
B13	-6.01
B14	-4.43
B15	-5.83
B16	-4.33
B17	-4.56
B18	-4.63
B19	-4.71
B20	-6.24
B21	-5.58
B22	-4.41
B23	-4.5
B24	-6.42
B25	-5.4
B26	-4.89
B27	-4.49
B28	-6.01
B29	-4.59
B30	-4.49
B31	-7.2
B32	-4.15
B33	-6.56
B34	-6.29
B35	-7
B36	-4.44
B37	-4.57
B38	-7.01
B39	-4.91
B40	-5.86
B41	-5.78
B42	-4.48
B43	-4.57
B44	-7.11
B45	-4.64
B46	-4.99
B47	-6.7
B48	-5.62
B49	-4.75
B50	-4.84
B51	-6.18
B52	-5.35
B53	-5.81
B54	-7.3
B55	-7.19
B56	-6.06
B57	-6.23
B58	-6.38
B59	-6.08
B60	-4.5
B61	-4.4
