Compound Id	Logarithmic effective membrane permeability at pH 5
A1	-7.08
A2	-5.69
A3	-4.88
A4	-4.48
A5	-5.13
A6	-7.05
A7	-6.92
A8	-4.55
A9	-6.41
A10	-4.49
A11	-6.64
A12	-4.61
A13	-4.44
A14	-5.46
A15	-7
A16	-4.07
A17	-8.41
A18	-4.76
A19	-4.82
A20	-6.77
A21	-4.82
A22	-6.61
A23	-5.41
A24	-5.97
A25	-6.93
A26	-4.38
A27	-4.49
A28	-5.53
A29	-6.01
A30	-7.23
A31	-7.45
A32	-6.76
A33	-4.79
A34	-7.27
A35	-5.99
A36	-4.61
