Compound Id	Logarithmic effective membrane permeability at pH 9
B1	-4.93
B2	-4.76
B3	-4.34
B4	-5.95
B5	-4.31
B6	-6.23
B7	-6.63
B8	-4.89
B9	-5.69
B10	-4.84
B11	-5.53
B12	-4.54
B13	-6.03
B14	-4.21
B15	-5.51
B16	-4.17
B17	-4.29
B18	-4.44
B19	-4.42
B20	-6.02
B21	-5.51
B22	-4.3
B23	-4.51
B24	-6.43
B25	-5.32
B26	-4.69
B27	-4.47
B28	-5.97
B29	-4.51
B30	-4.25
B31	-7.13
B32	-3.96
B33	-6.05
B34	-5.61
B35	-7
B36	-4.44
B37	-4.51
B38	-6.25
B39	-4.92
B40	-5.27
B41	-5.32
B42	-4.46
B43	-4.28
B44	-7.04
B45	-4.6
B46	-4.72
B47	-6.35
B48	-5.11
B49	-4.59
B50	-4.45
B51	-6
B52	-4.74
B53	-5.77
B54	-7.26
B55	-7.07
B56	-5.76
B57	-5.84
B58	-6.52
B59	-5.83
B60	-4.48
B61	-4.33
