Compound Id	Logarithmic effective membrane permeability at pH 3
A1	-7.23
A2	-5.5
A3	-4.79
A4	-4.35
A5	-5.16
A6	-7.13
A7	-6.71
A8	-4.53
A9	-6.27
A10	-4.39
A11	-6.13
A12	-4.52
A13	-4.28
A14	-5.45
A15	-6.77
A16	-3.92
A17	-8.48
A18	-4.67
A19	-4.6
A20	-6.6
A21	-4.36
A22	-6.17
A23	-4.66
A24	-6.25
A25	-6.95
A26	-4.62
A27	-4.42
A28	-4.87
A29	-5.48
A30	-7.36
A31	-7.35
A32	-6.99
A33	-4.73
A34	-7.34
A35	-5.5
A36	-4.55
