Compound Id	Volume of the isopotential surface with electrostatic potential < -10 kcal/mol
1	40.44
2	47.97
3	39.71
4	42.21
5	38.43
6	35.58
7	38.70
8	41.47
9	44.33
10	42.64
11	32.71
12	36.61
13	41.60
14	43.34
15	45.98
16	35.77
17	39.16
18	38.63
19	41.16
20	34.18
21	41.05
22	39.97
23	36.58
24	36.72
25	40.99
26	42.85
27	41.15
28	46.71
29	43.04
30	37.11
31	45.04
32	41.73
33	48.16
34	39.95
35	46.18
36	46.77
37	40.83
38	37.69
39	36.51
40	35.50
41	41.62
42	32.21
43	34.46
44	39.02
45	37.93
46	35.87
47	44.45
48	36.12
49	39.39
50	37.40
51	30.65
52	33.36
53	44.58
54	35.85
55	33.26
56	38.52
57	36.02
58	33.63
59	33.03
60	41.23
61	39.71
62	35.97
63	36.76
64	39.53
65	45.75
66	42.38
67	47.37
68	36.45
69	33.48
70	39.73
71	31.03
72	32.46
73	40.10
74	31.28
75	41.27
76	39.49
77	45.92
78	34.76
79	35.14
80	32.98
81	30.52
82	29.49
83	31.36
84	37.80
85	38.27
86	35.76
87	33.08
88	25.83
89	34.63
90	42.72
91	30.70
92	37.65
93	45.66
94	29.41
95	42.67
96	40.89
97	26.87
98	32.56
99	40.24
100	29.57
101	40.93
102	24.11
103	38.47
104	32.25
105	27.88
106	35.03
107	41.96
108	27.15
109	32.55
110	33.75
111	30.74
112	31.61
113	31.02
114	38.66
115	35.89
116	40.68
117	29.37
118	31.45
119	21.69
120	43.71
121	34.01
122	27.49
123	29.22
124	25.71
125	24.80
126	31.64
127	29.66
128	25.89
129	27.73
130	28.98
131	27.92
132	27.82
133	25.02
134	36.69
135	34.31
136	22.87
137	24.65
138	29.71
139	30.49
140	33.92
141	31.00
142	16.45
143	25.53
144	27.64
145	31.03
146	19.04
147	1.90
148	27.50
149	15.72
150	17.97
151	21.35
152	27.07
153	21.36
154	39.49
155	46.32
156	42.89
157	39.79
158	29.75
159	41.10
160	48.00
161	45.14
162	42.31
163	34.89
164	45.53
165	38.19
166	36.19
167	40.15
168	39.15
169	40.41
170	39.25
171	38.80
172	21.27
173	44.77
174	28.05
175	46.98
176	26.22
177	29.79
178	30.05
179	25.90
180	26.28
181	41.47
182	21.13
183	28.46
184	28.47
185	22.41
186	29.59
187	24.13
188	19.23
189	31.31
190	28.76
191	25.27
192	26.69
193	23.75
194	25.47
195	26.54
196	30.38
197	18.73
198	29.28
199	36.74
200	23.22
201	50.41
202	37.22
203	44.46
204	33.74
205	46.20
206	39.70
207	46.44
208	49.71
209	40.58
210	34.80
211	39.23
212	38.09
213	45.03
214	40.76
215	39.70
216	45.37
217	32.07
218	42.47
219	32.57
220	28.38
221	38.97
222	28.64
223	31.55
224	29.48
225	40.93
226	35.87
227	34.29
228	31.13
229	30.06
230	41.48
231	42.20
232	28.51
233	27.84
234	25.58
235	32.10
236	35.97
237	13.28
238	30.53
239	30.72
240	40.75
241	43.67
242	34.98
243	38.88
244	42.64
245	27.68
246	27.38
247	24.85
248	24.33
249	33.09
250	13.62
