Compound Id	The largest positive charge on a hydrogen atom
1	0.229
2	0.210
3	0.221
4	0.219
5	0.181
6	0.217
7	0.200
8	0.219
9	0.210
10	0.177
11	0.217
12	0.200
13	0.173
14	0.219
15	0.217
16	0.175
17	0.173
18	0.220
19	0.179
20	0.166
21	0.212
22	0.166
23	0.166
24	0.209
25	0.221
26	0.221
27	0.175
28	0.220
29	0.209
30	0.166
31	0.177
32	0.221
33	0.172
34	0.181
35	0.166
36	0.172
37	0.173
38	0.166
39	0.168
40	0.166
41	0.221
42	0.166
43	0.220
44	0.166
45	0.166
46	0.166
47	0.179
48	0.228
49	0.166
50	0.168
51	0.166
52	0.166
53	0.208
54	0.217
55	0.217
56	0.168
57	0.166
58	0.210
59	0.217
60	0.180
61	0.245
62	0.218
63	0.219
64	0.175
65	0.175
66	0.181
67	0.172
68	0.219
69	0.166
70	0.221
71	0.217
72	0.167
73	0.176
74	0.166
75	0.180
76	0.166
77	0.179
78	0.166
79	0.173
80	0.219
81	0.166
82	0.166
83	0.169
84	0.219
85	0.175
86	0.166
87	0.166
88	0.175
89	0.166
90	0.166
91	0.217
92	0.217
93	0.221
94	0.217
95	0.216
96	0.167
97	0.169
98	0.218
99	0.166
100	0.170
101	0.217
102	0.169
103	0.174
104	0.166
105	0.217
106	0.166
107	0.175
108	0.217
109	0.166
110	0.167
111	0.160
112	0.166
113	0.166
114	0.217
115	0.221
116	0.217
117	0.219
118	0.164
119	0.171
120	0.172
121	0.221
122	0.173
123	0.217
124	0.169
125	0.169
126	0.174
127	0.169
128	0.169
129	0.217
130	0.166
131	0.162
132	0.219
133	0.217
134	0.217
135	0.194
136	0.220
137	0.217
138	0.221
139	0.217
140	0.172
141	0.166
142	0.169
143	0.172
144	0.217
145	0.217
146	0.218
147	0.181
148	0.217
149	0.172
150	0.175
151	0.173
152	0.160
153	0.173
154	0.218
155	0.162
156	0.162
157	0.219
158	0.164
159	0.219
160	0.220
161	0.219
162	0.219
163	0.162
164	0.220
165	0.162
166	0.220
167	0.220
168	0.216
169	0.219
170	0.163
171	0.219
172	0.221
173	0.219
174	0.219
175	0.220
176	0.168
177	0.186
178	0.217
179	0.217
180	0.168
181	0.182
182	0.219
183	0.167
184	0.167
185	0.232
186	0.162
187	0.219
188	0.172
189	0.219
190	0.162
191	0.219
192	0.166
193	0.166
194	0.166
195	0.217
196	0.217
197	0.166
198	0.217
199	0.219
200	0.221
201	0.220
202	0.210
203	0.219
204	0.168
205	0.172
206	0.186
207	0.172
208	0.172
209	0.172
210	0.220
211	0.175
212	0.220
213	0.166
214	0.175
215	0.166
216	0.166
217	0.217
218	0.175
219	0.217
220	0.217
221	0.169
222	0.217
223	0.166
224	0.220
225	0.166
226	0.166
227	0.217
228	0.169
229	0.219
230	0.217
231	0.221
232	0.219
233	0.219
234	0.171
235	0.160
236	0.166
237	0.183
238	0.180
239	0.161
240	0.161
241	0.179
242	0.217
243	0.219
244	0.219
245	0.166
246	0.166
247	0.219
248	0.164
249	0.217
250	0.222
