Compound Id	Molecular weight
1	152.16
2	124.15
3	138.13
4	154.18
5	153.20
6	138.18
7	138.13
8	137.15
9	154.18
10	154.18
11	265.45
12	138.13
13	124.15
14	124.15
15	133.16
16	136.16
17	138.18
18	136.16
19	168.21
20	108.15
21	137.15
22	94.12
23	108.15
24	168.21
25	151.18
26	152.16
27	166.19
28	154.18
29	182.19
30	108.15
31	152.16
32	152.16
33	149.16
34	166.19
35	112.11
36	119.13
37	154.15
38	122.18
39	136.16
40	122.18
41	152.16
42	122.18
43	150.19
44	122.18
45	122.18
46	122.18
47	182.19
48	152.17
49	128.56
50	150.19
51	122.18
52	122.18
53	137.15
54	136.21
55	136.21
56	150.19
57	173.01
58	203.04
59	136.21
60	152.16
61	153.15
62	142.59
63	164.22
64	122.13
65	130.10
66	166.19
67	119.13
68	152.21
69	128.56
70	166.19
71	153.15
72	187.04
73	130.10
74	136.21
75	231.05
76	162.12
77	182.19
78	173.01
79	156.62
80	166.24
81	142.59
82	150.24
83	163.00
84	164.22
85	158.59
86	142.59
87	136.21
88	180.99
89	220.01
90	186.22
91	150.24
92	136.21
93	246.23
94	150.24
95	185.24
96	198.23
97	163.00
98	346.79
99	212.26
100	156.62
101	170.22
102	163.00
103	146.55
104	173.01
105	178.30
106	156.62
107	198.23
108	164.27
109	201.07
110	221.48
111	162.25
112	150.24
113	164.27
114	184.25
115	194.25
116	170.22
117	180.27
118	251.90
119	197.44
120	228.26
121	208.28
122	191.01
123	176.28
124	163.00
125	206.36
126	279.91
127	163.00
128	241.89
129	220.39
130	184.68
131	330.79
132	208.33
133	206.36
134	249.11
135	373.91
136	197.44
137	220.39
138	264.40
139	229.12
140	184.12
141	184.12
142	208.00
143	184.12
144	184.12
145	198.15
146	236.00
147	184.07
148	198.15
149	208.00
150	266.32
151	231.88
152	488.57
153	231.88
154	151.18
155	109.14
156	109.14
157	124.15
158	165.26
159	124.15
160	126.12
161	110.12
162	110.12
163	143.58
164	126.12
165	109.14
166	144.56
167	144.56
168	123.17
169	138.18
170	137.20
171	189.01
172	247.88
173	186.22
174	222.36
175	140.15
176	167.13
177	167.13
178	154.14
179	153.15
180	167.13
181	123.12
182	155.12
183	153.15
184	187.59
185	275.07
186	154.14
187	157.11
188	157.11
189	155.12
190	188.58
191	157.11
192	139.12
193	173.56
194	187.59
195	153.15
196	218.01
197	173.56
198	425.68
199	166.24
200	247.88
201	126.12
202	124.15
203	110.12
204	164.22
205	124.15
206	210.25
207	124.15
208	119.13
209	138.18
210	150.19
211	122.13
212	144.56
213	112.11
214	122.13
215	134.19
216	112.11
217	136.21
218	166.19
219	153.15
220	136.21
221	164.22
222	153.15
223	128.56
224	179.00
225	200.25
226	220.01
227	201.07
228	163.00
229	180.27
230	170.22
231	228.26
232	194.30
233	194.30
234	197.44
235	250.37
236	184.12
237	166.08
238	390.90
239	423.71
240	124.16
241	139.17
242	137.20
243	152.21
244	124.15
245	139.12
246	139.12
247	157.11
248	296.90
249	207.12
250	182.08
