Compound Id	Energy of the lowest unoccupied molecular orbital
1	0.140
2	0.388
3	-0.482
4	0.338
5	0.266
6	0.333
7	-0.574
8	-0.177
9	0.412
10	0.388
11	0.425
12	-0.590
13	0.391
14	0.341
15	0.063
16	-0.459
17	0.422
18	-0.380
19	0.318
20	0.370
21	-0.265
22	0.398
23	0.431
24	0.324
25	0.210
26	-0.489
27	-0.404
28	0.415
29	-0.475
30	0.394
31	-0.485
32	-0.478
33	-0.429
34	-0.452
35	0.059
36	-0.509
37	-0.786
38	0.399
39	-0.517
40	0.347
41	-0.397
42	0.387
43	-0.443
44	0.374
45	0.436
46	0.386
47	-0.505
48	-0.443
49	0.030
50	-0.290
51	0.435
52	0.402
53	-0.312
54	0.382
55	0.431
56	-0.483
57	-0.049
58	-0.007
59	0.358
60	-0.454
61	-0.584
62	0.019
63	0.393
64	-0.433
65	-0.321
66	-0.453
67	-0.413
68	0.330
69	0.095
70	-0.367
71	-1.153
72	-0.012
73	-0.318
74	0.415
75	-0.702
76	-0.348
77	-0.428
78	0.020
79	0.053
80	0.330
81	0.080
82	0.431
83	-0.259
84	-0.041
85	0.027
86	0.133
87	0.408
88	-0.568
89	0.024
90	-0.239
91	0.471
92	0.430
93	-0.786
94	0.445
95	0.104
96	-0.485
97	-0.245
98	-0.610
99	-0.375
100	0.141
101	-0.119
102	-0.325
103	-0.264
104	-0.074
105	0.455
106	0.147
107	-0.629
108	0.470
109	0.109
110	-0.226
111	0.437
112	0.436
113	0.477
114	0.242
115	-0.367
116	-0.161
117	0.330
118	-0.349
119	-0.502
120	-0.574
121	-0.363
122	-0.893
123	0.442
124	-0.285
125	0.470
126	-0.924
127	-0.236
128	-0.514
129	0.383
130	0.114
131	-0.621
132	0.329
133	0.474
134	-0.399
135	-0.901
136	-0.578
137	0.429
138	-0.368
139	-2.534
140	-1.863
141	-1.952
142	-1.441
143	-2.262
144	-1.887
145	-1.893
146	-1.650
147	-1.296
148	-1.825
149	-1.579
150	-0.978
151	-0.817
152	-1.193
153	-0.752
154	0.253
155	0.522
156	0.439
157	0.268
158	0.418
159	0.332
160	0.133
161	0.233
162	0.297
163	0.043
164	0.029
165	0.406
166	0.001
167	-0.111
168	0.413
169	0.215
170	0.406
171	-0.186
172	-0.830
173	-0.229
174	0.294
175	0.226
176	-1.755
177	-1.486
178	-1.116
179	-1.141
180	-1.456
181	-0.796
182	-1.321
183	-1.109
184	-1.195
185	-1.105
186	-1.120
187	-1.333
188	-1.447
189	-1.160
190	-0.960
191	-1.447
192	-1.065
193	-1.264
194	-1.346
195	-1.007
196	-1.398
197	-1.388
198	-0.987
199	0.213
200	-0.928
201	0.247
202	0.344
203	0.321
204	0.319
205	0.394
206	0.198
207	0.303
208	-0.500
209	0.327
210	-0.364
211	-0.547
212	-0.008
213	0.013
214	-0.446
215	0.348
216	0.025
217	0.446
218	-0.455
219	-1.126
220	0.432
221	-0.473
222	-1.090
223	0.019
224	-0.263
225	0.232
226	-0.070
227	0.085
228	-0.262
229	0.345
230	-0.086
231	-0.370
232	0.330
233	0.327
234	-0.555
235	-0.366
236	-1.934
237	-0.994
238	-1.422
239	-0.882
240	0.527
241	0.476
242	0.445
243	0.215
244	0.222
245	-1.166
246	-1.184
247	-1.284
248	-1.453
249	-1.585
250	-1.122
