Compound Id	Heat of formation in gas at 25C
1	17.89
2	20.24
3	24.82
4	30.15
5	32.15
6	35
7	36.92
8	40.27
9	39.96
10	41.66
11	41.02
12	44.35
13	42.49
14	44.89
15	46.6
16	45.96
17	49.29
18	46.65
19	48.3
20	48.17
21	45.34
22	48.96
23	49.82
24	51.5
25	50.82
26	50.69
27	53.71
28	51.16
29	52.44
30	53.21
31	52.61
32	50.91
33	50.4
34	52.61
35	53.57
36	51.73
37	51.97
38	50.48
39	51.38
40	53.99
41	54.54
44	56.19
45	58.83
56	57.7
57	58.12
58	60.53
59	57.31
61	59.97
62	57.47
63	56.42
68	57.07
69	56.81
70	58.16
71	56.67
72	55.37
74	54.48
75	55.81
76	59.67
77	62.17
80	61.8
108	62.22
121	62.08
126	67.29
