Compound Id	Boiling point
1	109.15
2	184.55
3	231.05
4	272.65
5	261.45
6	309.25
7	300.95
8	282.65
9	342.15
10	333.45
11	336.45
12	322.85
13	331.15
14	371.55
15	363.15
16	365.15
17	352.35
18	362.95
19	353.65
20	359.25
21	366.65
22	354.05
23	398.85
24	390.75
25	391.15
26	390.85
27	379.95
28	388.75
29	382.55
30	382.15
31	385.15
32	390.85
33	391.65
34	383.15
35	372.35
36	387.85
37	386.55
38	388.75
39	391.35
40	379.65
41	423.92
42	415.95
43	416.95
44	415.55
45	405.85
46	413.65
47	406.65
48	409.15
49	408.35
50	410.45
51	413.25
52	409.15
53	408.35
54	416.15
55	414.35
56	404.85
57	399.65
58	397.15
59	410.85
60	412.15
61	404.45
62	399.65
63	413.65
64	411.15
65	406.95
66	413.75
67	413.55
68	413.42
69	406.15
70	395.85
71	414.65
72	406.98
73	414.75
74	409.88
75	419.35
76	447.27
77	440.15
78	440.95
79	438.85
80	438.25
81	428.15
82	437.46
83	426.15
84	429.95
85	431.69
86	433.02
87	434.35
88	439.15
89	433.15
90	433.15
91	430.65
92	435.25
93	439.15
94	436.79
95	431.15
96	420.85
97	421.15
98	421.35
99	433.25
100	436.15
101	430.15
102	428.85
103	426.15
104	430.15
105	417.95
106	425.95
107	437.15
108	428.83
109	437.15
110	437.15
111	439.15
112	433.15
113	432.85
114	436.95
115	440.15
116	431.45
117	440.15
118	440.15
119	433.15
120	433.15
121	431.15
122	428.05
123	421.55
124	426.45
125	421.35
126	410.61
127	437.74
128	426.15
129	435.35
130	434.15
131	443.65
132	432.15
133	420.15
134	442.15
135	437.15
136	437.15
137	431.15
138	430.15
139	438.15
140	443.15
141	439.45
142	435.15
143	436.15
144	439.2
145	432.44
146	441.15
147	428.45
148	442.59
149	447.15
150	430.19
