Compound Id	Critical temperature
2	305.42
3	369.95
4	425.16
5	408.13
6	469.77
7	460.95
8	433.75
9	507.85
10	498.05
11	504.35
12	489.35
13	500.25
14	540.16
15	531.05
16	535.55
17	520.85
18	537.75
19	520.25
20	536.15
21	540.75
22	531.45
23	569.35
24	561.15
25	565.15
26	563.15
27	552.15
28	566.15
29	555.15
30	552.15
31	563.99
32	571.15
33	565.15
34	567.15
35	544.3
36	576.15
37	568.15
38	568.15
39	578.15
40	543.95
41	595.15
42	588.15
43	591.15
44	591.45
45	575.15
46	588.15
47	579.15
48	580.95
49	579.15
50	587.15
51	595.85
52	585.45
53	590.95
54	591.15
55	591.45
56	591.25
57	574.15
58	569.75
59	599.25
60	597.35
61	582.55
62	582.25
63	603.75
64	595.85
65	603.45
66	600.35
67	585.45
68	607.65
69	592.75
70	574.75
71	607.65
72	595.75
73	611.75
74	597.35
75	615.95
