Compound Id	Density at 25C
10	648.52
11	659.76
12	644.46
13	657.02
14	679.5
15	674.34
16	682.88
17	669.48
18	690.81
19	668.23
20	689.16
21	693.92
22	685.64
23	698.54
24	693.87
25	701.73
26	700.71
27	691.11
28	708.16
29	696.17
30	689.37
31	705.95
32	715.15
33	709.45
34	712.03
35	687.84
36	722.3
37	715.09
38	715.2
39	723.54
40	721.7
42	709.6
43	716.7
44	716.3
45	706.6
46	722
47	711.5
48	713.6
49	704.5
50	721.6
51	727.5
52	716.6
53	718.3
54	722.5
55	722.3
56	725.7
57	711.8
58	703.2
59	733.5
60	735.1
61	717.9
62	720.05
63	741.4
64	729
65	724.2
66	736
67	738
68	752.97
69	735.22
70	715.61
71	751.11
72	731
73	750.8
74	734.1
75	749.92
81	720.8
82	734.4
83	722.6
84	726.4
85	723.6
86	720.2
87	735.1
88	741.8
89	732.9
90	732.9
91	731.2
92	743.2
93	735.9
94	734.3
95	738.5
96	725.7
97	728.1
98	723.8
99	748.8
100	748.5
101	745.1
102	734.7
103	734.6
104	737.3
105	719
106	736.2
107	752.7
108	739
109	753.5
110	751.9
111	739.8
112	732.2
113	731.8
114	746.3
115	746.6
116	736.8
117	746.8
118	747.2
119	732.1
120	735.4
121	760.89
122	751.3
123	733.6
124	742.4
125	731.6
126	714.8
127	765.6
128	744.9
129	758.6
130	745.6
131	778.9
132	744.7
133	730.2
134	759.9
135	751.6
137	751.4
138	736.8
139	759.8
140	759.6
141	757.5
142	747.2
143	743.6
144	776.75
145	763.61
146	778
147	753.1
148	773.5
149	775.5
150	754.57
