Compound Id	Heat capacity at 300K
10	143.01
11	140.88
12	142.26
13	142.21
14	166
15	165.4
16	164.5
17	167.7
18	161.8
19	171.7
20	166.7
21	166.8
22	164.2
23	188.7
24	188.2
25	186.82
26	188.03
27	189.33
28	185.18
29	193.35
30	186.52
31	191.96
32	182.72
33	190.58
34	186.77
35	189.45
36	188.2
37	192.72
38	193.05
39	189.07
40	188.28
42	210.9
43	209.7
44	210.4
45	212.4
46	207.7
47	217.1
48	208.2
49	210.4
50	214
51	206.8
52	214.6
53	217.2
54	213
55	214.3
56	209.9
57	210.7
58	209.1
59	213.3
60	214
61	212.5
62	213.5
63	210.5
64	216.1
65	219.7
66	214.1
67	215.2
68	213.34
69	208.5
70	215.77
71	219.5
72	205
73	213.4
74	209
75	217.86
81	235.1
82	230.5
83	239.4
84	231.8
85	231.9
86	233.2
87	237.1
88	229.3
89	238.3
90	229.6
91	239.3
92	230.1
93	235.8
94	236.5
95	232.5
96	234.7
97	230.5
98	234.8
99	235.1
100	237.6
101	233.9
102	228.5
103	238.9
104	234.1
105	246.3
106	234.2
107	233.6
108	234.1
109	235.6
110	235.1
111	238.5
112	243.4
113	234.3
114	236.2
115	236.2
116	240.9
117	238.6
118	239.2
119	237.7
120	239.2
121	238.2
122	229.4
123	235.8
124	239.2
125	229.2
126	229.8
127	241.5
128	234
129	231.8
130	243.1
131	238
132	227.7
133	236.1
134	238.2
135	243
137	235
138	240.8
139	228.2
140	235.5
141	242.5
142	246.9
143	231.8
144	234.3
145	234.2
146	223.7
147	227.3
148	229
149	224.8
150	234.5
