Compound Id	Refraction index at 25C
10	1.3687
11	1.3739
12	1.366
13	1.3723
14	1.3851
15	1.3823
16	1.3861
17	1.38
18	1.3895
19	1.3788
20	1.3884
21	1.3971
22	1.3869
23	1.3951
24	1.3926
25	1.3961
26	1.3955
27	1.391
28	1.3988
29	1.3929
30	1.39
31	1.3978
32	1.4018
33	1.3992
34	1.4007
35	1.389
36	1.4052
37	1.402
38	1.4017
39	1.4055
40	1.4057
42	1.4008
43	1.404
44	1.4041
45	1.3995
46	1.4064
47	1.4011
48	1.4015
49	1.3985
50	1.4063
51	1.4091
52	1.4046
53	1.4053
54	1.407
55	1.4067
56	1.4082
57	1.401
58	1.3973
59	1.4119
60	1.412
61	1.4037
62	1.4052
63	1.4154
64	1.4091
65	1.4054
66	1.4134
67	1.4128
68	1.4214
69	1.4125
70	1.4046
71	1.42
72	1.4101
73	1.4197
74	1.4115
75	1.4184
81	1.406
82	1.4127
83	1.4069
84	1.4089
85	1.4084
86	1.4062
87	1.4142
88	1.4159
89	1.4115
90	1.4115
91	1.4122
92	1.4167
93	1.4136
94	1.4131
95	1.4145
96	1.4092
97	1.4101
98	1.4178
99	1.4202
100	1.4195
101	1.4169
102	1.4131
103	1.4143
104	1.416
105	1.4071
106	1.4149
107	1.4236
108	1.417
109	1.4235
110	1.4229
111	1.4151
112	1.4114
113	1.4111
114	1.4185
115	1.4183
116	1.4141
117	1.4184
118	1.4187
119	1.4113
120	1.4132
121	1.426
122	1.4193
123	1.4119
124	1.4185
125	1.4132
126	1.4055
127	1.4298
128	1.4196
129	1.4267
130	1.4204
131	1.4368
132	1.4174
133	1.4107
134	1.4247
135	1.4203
137	1.4202
138	1.4232
139	1.4246
140	1.4244
141	1.4235
142	1.4167
143	1.4172
144	1.4341
145	1.4281
146	1.4397
147	1.4199
148	1.431
149	1.432
150	1.4246
