Compound Id	Molar volume at 20C
6	115.205
7	116.426
8	122.074
9	130.688
10	131.933
11	129.717
12	132.744
13	130.24
14	146.54
15	147.656
16	145.821
17	148.695
18	144.153
19	148.949
20	144.53
21	143.517
22	145.191
23	162.592
24	163.663
25	161.832
26	162.105
27	164.285
28	160.395
29	163.093
30	164.697
31	160.879
32	158.814
33	160.072
34	159.526
35	165.083
36	157.292
37	158.852
38	158.794
39	157.026
41	178.713
42	179.773
43	177.952
44	178.15
45	180.507
46	176.653
47	179.12
48	179.371
49	180.914
50	176.897
51	175.349
52	177.386
53	176.897
54	176.41
55	175.685
56	175.878
57	179.22
58	181.346
59	173.78
60	173.498
61	177.656
62	177.787
63	172.055
64	175.445
65	177.386
66	173.077
67	172.844
68	169.495
69	173.557
70	178.256
71	169.928
72	174.537
73	170.093
74	173.804
75	170.185
