Compound Id	Heat of vaporization at 25C
6	26.42
7	24.59
8	21.78
9	31.55
10	29.86
11	30.27
12	27.69
13	29.12
14	36.55
15	34.8
16	35.08
17	32.43
18	34.24
19	32.88
20	33.02
21	35.22
22	32.04
23	41.48
24	39.68
25	39.83
26	39.67
27	37.29
28	38.79
29	37.76
30	37.86
31	37.93
32	39.02
33	39.4
34	36.91
35	35.13
36	37.22
37	37.61
38	38.52
39	37.99
41	46.44
42	44.65
43	44.75
44	44.75
45	42.28
46	43.79
47	42.87
48	42.87
49	42.82
50	42.66
51	43.84
52	42.98
53	42.66
54	44.81
55	44.81
56	41.91
57	40.57
58	40.17
59	42.23
60	42.93
61	41.42
62	40.84
63	42.28
64	43.84
65	42.98
66	43.04
67	43.95
68	41
69	41
70	38.1
71	41.75
72	42.02
73	42.55
74	42.93
75	43.36
