Compound Id	Standard heat of formation at 25C
4	126.23
5	134.61
6	146.54
7	154.58
8	168.6
9	167.3
10	174.42
11	171.74
12	185.68
13	177.9
14	187.95
15	195.1
16	192.43
17	206.37
18	195.31
19	202.22
20	201.68
21	189.83
22	204.99
23	208.59
24	215.62
25	212.77
26	212.23
27	223.99
28	214.53
29	216.04
30	220.14
31	218.34
32	211.68
33	209.38
34	220.27
35	224.29
36	216.58
37	217.59
38	210.39
39	215.12
40	226.05
41	228.35
44	235.26
45	246.31
56	241.58
57	243.34
58	253.43
59	239.95
61	242.71
62	240.62
63	236.22
68	238.94
69	237.85
70	243.5
71	237.31
72	231.82
74	228.1
75	233.67
