Compound Id	Overall hydrogen bond basicity
1	0.14
2	0.25
3	0.03
4	0
5	0.12
6	0.48
7	0.51
8	0
9	0.23
10	0.27
11	0.45
12	0.12
13	0.47
14	0.12
15	0.1
16	0.26
17	0.2
18	0
19	0.16
20	0.18
21	0.45
22	0
23	0.18
24	0.1
25	0.49
26	0
27	0.45
28	0.27
29	0.27
30	0.27
31	0.48
32	0.25
33	0.1
34	0.51
35	0.54
36	0.16
37	0.45
38	0.6
39	0.14
40	0.16
41	0.51
42	0.48
43	0.4
44	0.79
45	0.45
46	0.51
47	0.85
48	0.36
49	0.48
50	0.64
51	0.56
52	0.45
53	0.48
54	0.58
55	0.63
56	0.51
57	0.8
58	0.52
59	0.51
60	0.48
61	0.48
62	0.48
63	0.86
64	0.48
65	0.49
66	0.83
67	0.4
68	0.57
69	0.49
70	0.51
71	0.51
72	0.51
73	0.45
74	0.45
75	0.45
76	0.45
77	0.45
78	0.48
79	0.48
80	0.48
81	0.48
82	0.48
83	0.14
84	0.15
85	0.15
86	0.16
87	0.19
88	0.1
89	0.67
90	0.76
91	0.66
