Compound Id	solute excess molar refractivity
1	0.344
2	0.571
3	0.9
4	0
5	0.339
6	0.14
7	0.111
8	0
9	0.967
10	0.653
11	0.445
12	0.349
13	-0.02
14	0.356
15	0.184
16	0.711
17	0.605
18	0
19	0.603
20	0.63
21	0.049
22	0.332
23	0.604
24	0.46
25	0.015
26	0.225
27	-0.01
28	0.733
29	0.723
30	0.723
31	0.155
32	0.677
33	0.191
34	0.111
35	0.29
36	0.849
37	0.071
38	0.227
39	0.601
40	0.623
41	0.123
42	0.211
43	0.387
44	0.099
45	0.106
46	0.123
47	0.156
48	0.427
49	0.246
50	0.291
51	0.212
52	0.142
53	0.199
54	0.366
55	0.554
56	0.186
57	0.249
58	0.613
59	0.166
60	0.209
61	0.217
62	0.224
63	0.267
64	0.21
65	0.179
66	0.201
67	0.76
68	0.46
69	0.179
70	0.143
71	0.123
72	0.119
73	0.106
74	0.071
75	0.056
76	0.029
77	0.033
78	0.246
79	0.236
80	0.224
81	0.21
82	0.199
83	0.601
84	0.613
85	0.604
86	0.602
87	0.607
88	0.511
89	0.398
90	0.383
91	0.513
