Compound Id	Overall hydrogen bond acidity
1	0
2	0
3	0
4	0
5	0
6	0.37
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0.6
26	0
27	0
28	0
29	0
30	0
31	0.37
32	0
33	0
34	0
35	0
36	0
37	0
38	0.31
39	0
40	0
41	0
42	0.37
43	0.02
44	0
45	0
46	0
47	0
48	0.32
49	0.37
50	0
51	0.33
52	0
53	0.37
54	0
55	0.5
56	0.6
57	0
58	0
59	0
60	0.37
61	0.37
62	0.37
63	0
64	0.37
65	0.04
66	0.3
67	0.2
68	0.32
69	0.04
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0.37
79	0.37
80	0.37
81	0.37
82	0.37
83	0
84	0
85	0
86	0
87	0
88	0
89	0.2
90	0
91	0.39
