Compound Id	solute dipolarity/polarizability
1	0.35
2	0.82
3	0.8
4	0
5	0.4
6	0.39
7	0.65
8	0
9	0.9
10	0.52
11	0.49
12	0.4
13	0.53
14	0.4
15	0.2
16	0.8
17	0.46
18	0
19	0.48
20	0.51
21	0.54
22	0.35
23	0.3
24	0.24
25	0.57
26	0.1
27	0.52
28	0.8
29	0.8
30	0.8
31	0.39
32	1.2
33	0.15
34	0.65
35	0.57
36	0.65
37	0.6
38	0.27
39	0.52
40	0.52
41	0.68
42	0.39
43	1.22
44	0.79
45	0.62
46	0.68
47	0.85
48	0.54
49	0.42
50	1.34
51	0.36
52	0.64
53	0.42
54	1.3
55	0.73
56	0.55
57	0.8
58	0.84
59	0.7
60	0.39
61	0.39
62	0.42
63	0.89
64	0.42
65	0.7
66	0.5
67	1.09
68	0.54
69	0.7
70	0.68
71	0.68
72	0.68
73	0.62
74	0.6
75	0.6
76	0.6
77	0.6
78	0.42
79	0.42
80	0.42
81	0.42
82	0.42
83	0.52
84	0.51
85	0.5
86	0.49
87	0.49
88	0.22
89	0.55
90	0.33
91	0.63
