Compound Id	Longest length of the minimum energy conformation
1	5.578
2	6.906
3	6.453
4	6.771
5	11.3
6	22.807
7	6.221
8	8.009
9	9.018
10	11.195
11	13.84
12	8.813
13	25.318
14	7.53
15	13.018
16	9.56
17	8.868
18	6.82
19	8.173
20	7.785
21	6.328
22	4.329
23	7.843
24	5.699
25	22.075
26	5.271
27	7.638
28	7.084
29	8.238
30	5.741
31	17.809
32	6.315
33	8.039
34	6.831
35	8.803
36	7.331
37	8.831
38	6.855
39	5.889
40	6.742
41	9.321
42	7.798
43	5.105
44	9.859
45	6.375
46	9.321
47	7.072
48	5.078
49	4.054
50	6.454
51	4.326
52	5.081
53	11.552
54	4.355
55	6.245
56	5.838
57	9.204
58	4.941
59	5.595
60	8.886
61	5.314
62	6.554
63	7.571
64	9.053
65	4.316
66	10.074
67	6.105
68	4.889
69	4.316
70	6.819
71	9.321
72	11.813
73	6.375
74	8.831
75	11.307
76	13.795
77	16.298
78	4.054
79	5.313
80	6.554
81	9.053
82	11.552
83	5.889
84	7.284
85	8.368
86	7.2
87	8.19
88	7.47
89	10
90	6.4
91	11.47
