Compound Id	Logarithm of the gas-hexadecane partition coefficient
1	2.933
2	4.007
3	5.089
4	2.946
5	5.143
6	9.5
7	3.089
8	3.044
9	5.52
10	4.984
11	5.697
12	4.138
13	10.25
14	3.611
15	4.38
16	5.328
17	5.17
18	2.503
19	4.506
20	4.275
21	2.932
22	2.39
23	4.812
24	4.119
25	9.6
26	2.907
27	3.481
28	4.353
29	4.848
30	3.872
31	7.48
32	4.35
33	2.45
34	3.089
35	3.741
36	3.856
37	3.353
38	3.4
39	3.325
40	3.839
41	3.76
42	3.53
43	3.07
44	3.747
45	2.314
46	3.76
47	4.214
48	3.241
49	1.485
50	3.367
51	1.764
52	1.911
53	4.619
54	3.6
55	3.357
56	3.681
57	3.876
58	3.022
59	2.287
60	4.433
61	2.413
62	2.601
63	4.479
64	3.61
65	1.696
66	3.806
67	4.007
68	3.758
69	1.696
70	2.755
71	3.76
72	4.735
73	2.314
74	3.353
75	4.351
76	5.364
77	6.373
78	1.485
79	2.031
80	2.601
81	3.61
82	4.619
83	3.325
84	3.778
85	4.23
86	4.084
87	4.59
88	4.649
89	4.794
90	4.688
91	5.479
