Compound Id	aqueous-phase hydroxyl radical reaction rate constant as logkOH
1	9.82
2	10.04
3	10.08
4	9.72
5	10.08
6	9.86
7	9.88
8	10.04
9	10.08
10	10.3
11	10.51
12	10.41
13	9.58
14	10.28
15	10.41
16	10.3
17	10.3
18	8.08
19	9.26
20	9.56
21	9.66
22	9.66
23	9.72
24	9.73
25	9.79
26	9.82
27	9.89
28	9.96
29	9.85
30	9.85
31	9.57
32	9.79
33	9.89
34	8.99
35	9.28
36	9.45
37	9.28
38	9.52
39	8.77
40	9.58
41	9.62
42	9.49
43	9.59
44	9.32
45	9.85
46	9.87
47	9.89
48	9.26
49	9.23
50	9.4
51	9.34
52	9.51
53	9.11
54	9.56
55	9.67
