Compound Id	n-Octanol–water partition coefficient
1	2.34
2	1.69
3	1.52
4	1.46
5	2.04
6	2.02
7	2.26
8	2.49
9	2.35
10	1.89
11	3.29
12	2.9
13	1.8
14	2.16
15	2.03
16	2.64
17	2.55
18	1.85
19	1.37
20	1.39
21	1.84
22	1.03
23	1.4
24	1.39
25	1.76
26	1.88
27	2.86
28	2.91
29	2.92
30	2.1
31	4.03
32	1.96
33	1.89
34	2
35	2.04
36	1.54
37	1.46
38	2.92
39	3.69
40	5.12
