Compound Id	Maximum acceptor superdelocalizability
1	0.27105
2	0.28168
3	0.25447
4	0.28827
5	0.29504
6	0.26807
7	0.29585
8	0.25417
9	0.25571
10	0.29878
11	0.25458
12	0.28519
13	0.26702
14	0.30430
15	0.29407
16	0.25262
17	0.25824
18	0.26293
19	0.25544
20	0.25832
21	0.25710
22	0.25912
23	0.29670
24	0.33114
25	0.35047
26	0.25900
27	0.25371
28	0.26668
29	0.30154
30	0.29120
31	0.25566
32	0.31029
33	0.25373
34	0.28936
35	0.29543
36	0.30823
37	0.25934
38	0.26113
39	0.30757
40	0.31579
41	0.25534
42	0.26118
43	0.27431
44	0.26043
45	0.26255
46	0.28861
47	0.26455
48	0.30233
49	0.25826
50	0.27118
51	0.27706
52	0.32158
53	0.29117
54	0.32232
55	0.26161
56	0.26852
57	0.30365
58	0.30178
59	0.30875
60	0.28680
61	0.27099
62	0.32494
63	0.30743
64	0.26218
65	0.29424
66	0.35753
67	0.27538
68	0.28995
69	0.35672
70	0.27646
71	0.33412
72	0.29357
73	0.35435
74	0.25554
75	0.26686
76	0.26607
77	0.32766
78	0.28280
79	0.31721
80	0.27761
81	0.25977
82	0.28563
83	0.26110
84	0.29022
85	0.27571
86	0.28789
87	0.31201
88	0.36920
89	0.31315
90	0.30820
91	0.25769
92	0.28754
93	0.25995
94	0.36239
95	0.36861
96	0.33197
97	0.33457
98	0.37968
99	0.45647
100	0.25902
101	0.33392
102	0.30643
103	0.28192
104	0.25820
105	0.25652
106	0.28763
107	0.28256
108	0.27106
109	0.32586
110	0.29842
111	0.36429
112	0.36727
