Compound Id	Hydrophobicity
1	3.52
2	4.32
3	0.73
4	-0.31
5	1.90
6	2.90
7	5.18
8	4.55
9	-0.18
10	1.54
11	1.87
12	-0.83
13	2.66
14	4.10
15	1.50
16	-1.35
17	4.06
18	0.37
19	2.01
20	0.19
21	3.15
22	0.26
23	1.79
24	-0.13
25	0.93
26	0.48
27	3.61
28	2.04
29	0.95
30	-2.34
31	2.34
32	3.04
33	1.20
34	3.65
35	-0.84
36	-1.83
37	0.05
38	1.34
39	-0.67
40	2.85
41	1.73
42	-0.21
43	-3.20
44	0.17
45	0.42
46	-0.01
47	-0.93
48	0.84
49	-0.52
50	0.50
